updatedAt,market,symbol,name,orderbook_fetch_status,orderbook_source_label,bidRatio,totalBidQty,totalAskQty,bid1,bid1Qty,ask1,ask1Qty
2026-07-22 18:24:26 KST,kr,329180,HD현대중공업,OK,KIS orderbook snapshot,30.0,4637,10795,464000.0,419,464500.0,173
2026-07-22 18:24:26 KST,kr,006260,LS,OK,KIS orderbook snapshot,66.8,5089,2525,284500.0,81,285000.0,475
2026-07-22 18:24:26 KST,kr,034020,두산에너빌리티,OK,KIS orderbook snapshot,72.9,109950,40941,69200.0,6998,69300.0,9040
2026-07-22 18:24:26 KST,kr,005380,현대차,OK,KIS orderbook snapshot,44.1,8981,11376,417500.0,309,418000.0,2692
2026-07-23 10:10:15 KST,kr,078930,GS,OK,KIS orderbook snapshot,34.6,2778,5246,88700.0,477,88800.0,1523
2026-07-23 10:10:15 KST,kr,138040,메리츠금융지주,OK,KIS orderbook snapshot,13.7,1204,7564,116700.0,681,116800.0,573
2026-07-23 10:10:15 KST,kr,035900,JYP Ent.,OK,KIS orderbook snapshot,40.4,1886,2788,44300.0,224,44350.0,315
2026-07-23 10:10:15 KST,kr,329180,HD현대중공업,OK,KIS orderbook snapshot,29.8,1139,2683,477500.0,4,478000.0,846
2026-07-23 10:10:15 KST,kr,003490,대한항공,OK,KIS orderbook snapshot,36.4,64670,112776,25350.0,10466,25400.0,21145
2026-07-23 10:10:15 KST,kr,011070,LG이노텍,OK,KIS orderbook snapshot,35.6,903,1632,683000.0,120,684000.0,257
2026-07-23 10:10:15 KST,kr,086900,메디톡스,OK,KIS orderbook snapshot,45.3,843,1017,70000.0,91,70200.0,110
2026-07-23 10:10:15 KST,kr,KOSDAQ,KOSDAQ,ERROR,KIS orderbook snapshot,,,,,,,
2026-07-23 10:10:15 KST,kr,066970,엘앤에프,OK,KIS orderbook snapshot,62.2,1404,855,85700.0,134,85900.0,109
2026-07-23 10:10:15 KST,kr,012450,한화에어로스페이스,OK,KIS orderbook snapshot,24.1,591,1866,903000.0,213,904000.0,225
2026-07-23 10:10:15 KST,kr,145020,휴젤,OK,KIS orderbook snapshot,28.9,619,1524,232500.0,133,233000.0,146
2026-07-23 10:10:15 KST,kr,103590,일진전기,OK,KIS orderbook snapshot,22.0,1165,4121,63900.0,80,64000.0,624
2026-07-23 10:10:16 KST,kr,078930,GS,OK,KIS orderbook snapshot,34.2,2674,5142,88700.0,373,88800.0,1419
2026-07-23 10:10:16 KST,kr,138040,메리츠금융지주,OK,KIS orderbook snapshot,13.7,1204,7564,116700.0,681,116800.0,573
2026-07-23 10:10:16 KST,kr,035900,JYP Ent.,OK,KIS orderbook snapshot,40.3,1886,2793,44300.0,224,44350.0,315
2026-07-23 10:10:16 KST,kr,329180,HD현대중공업,OK,KIS orderbook snapshot,29.8,1139,2683,477500.0,4,478000.0,846
2026-07-23 10:10:16 KST,kr,003490,대한항공,OK,KIS orderbook snapshot,36.4,64670,112774,25350.0,10466,25400.0,21143
2026-07-23 10:10:16 KST,kr,011070,LG이노텍,OK,KIS orderbook snapshot,35.8,910,1632,683000.0,126,684000.0,257
2026-07-23 10:10:16 KST,kr,086900,메디톡스,OK,KIS orderbook snapshot,45.3,843,1017,70000.0,91,70200.0,110
2026-07-23 10:10:16 KST,kr,KOSDAQ,KOSDAQ,ERROR,KIS orderbook snapshot,,,,,,,
2026-07-23 10:10:16 KST,kr,066970,엘앤에프,OK,KIS orderbook snapshot,62.2,1404,855,85700.0,134,85900.0,109
2026-07-23 10:10:16 KST,kr,012450,한화에어로스페이스,OK,KIS orderbook snapshot,24.1,592,1866,903000.0,214,904000.0,225
2026-07-23 10:10:16 KST,kr,145020,휴젤,OK,KIS orderbook snapshot,28.9,619,1524,232500.0,133,233000.0,146
2026-07-23 10:10:16 KST,kr,103590,일진전기,OK,KIS orderbook snapshot,22.0,1165,4126,63900.0,80,64000.0,629
2026-07-28 16:30:39 KST,kr,207940,삼성바이오로직스,OK,KIS orderbook snapshot,30.7,2414,5442,1547000.0,10,1549000.0,2012
