카드,아이콘,설명,건수,TOP,상세파일,우선순위,구분
오늘 우선 확인,🎯,진입가·손절가·목표가를 먼저 확인할 후보,0,후보 없음,v73_action_clean_kr.csv,1,buy
눌림목 진입 후보,🪜,추격보다 눌림/기준가 근처 진입을 기다릴 후보,0,후보 없음,v73_pullback_clean_kr.csv,2,buy
수급 급증 후보,💚,외국인·기관·거래대금 흐름을 우선 보는 후보,0,후보 없음,v73_flow_clean_kr.csv,3,buy
실적·저평가 후보,💎,재무·KPI·밸류에이션을 같이 확인할 후보,14,DB하이텍 (000990),v73_company_clean_kr.csv,4,value
매수금지·주의,🚫,신규매수보다 제외·관망이 우선인 후보,0,후보 없음,v73_risk_clean_kr.csv,5,risk
