시장,종목코드,종목명,DART상태,오류,재무상태,데이터출처,PER표시,PBR표시,ROE표시,매출표시,순이익표시,부채비율표시,영업이익률표시,다음 행동
한국주식,131970,두산테스나,NO_FINANCIALS,,재무 데이터 부족,DART 응답 없음,-,-,-,-,-,-,-,DART 재무제표 응답이 비어 있습니다. 사업연도/보고서 확인이 필요합니다.
한국주식,222800,심텍,NO_FINANCIALS,,재무 데이터 부족,DART 응답 없음,-,-,-,-,-,-,-,DART 재무제표 응답이 비어 있습니다. 사업연도/보고서 확인이 필요합니다.
