symbol,ticker,code,종목코드,name,종목명,market,시장,avg_price,평균단가,quantity,보유수량,current_price,last_price,현재가,가격기준시각,가격출처,quote_source_label,수익률,평가손익,data_status,price_data_status,다음행동,updated_at
131970,131970,131970,131970,두산테스나,두산테스나,한국주식,한국주식,178200,"₩178,200",30,30,169000.0,169000.0,"₩169,000",2026-05-26 10:13:04 KST,KIS 현재가 · 2026-05-26 10:13:04 KST,KIS 현재가,-5.16%,"-₩276,000",현재가 반영,success,보유 유지/축소/익절 여부는 손절가와 목표가 기준으로 확인,2026-05-26 10:13:04 KST
222800,222800,222800,222800,심텍,심텍,한국주식,한국주식,98200,"₩98,200",55,55,132400.0,132400.0,"₩132,400",2026-05-26 10:13:04 KST,KIS 현재가 · 2026-05-26 10:13:04 KST,KIS 현재가,+34.83%,"+₩1,881,000",현재가 반영,success,보유 유지/축소/익절 여부는 손절가와 목표가 기준으로 확인,2026-05-26 10:13:04 KST
