시장,종목코드,종목명,데이터상태,종합점수,가치점수,성장점수,안정성점수,PER,PBR,ROE,매출,영업이익,순이익,핵심요약,다음행동,current_price,last_price,현재가,quote_fallback_price,실시간현재가,quote_source,quote_source_label,data_status,price_data_status,current_price_source
한국주식,131970,두산테스나,정상,51.5,50.0,50.1,55.0,-,-,0.35,3038.7억,-9.4억,15.1억,"가치 50.0, 성장 50.1, 안정성 55.0 기준으로 종합 51.5점입니다.",무리한 추격 금지,169000.0,169000.0,"169,000원",169000.0,"169,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
한국주식,222800,심텍,정상,39.7,38.0,44.6,37.0,-,-,-28.55,1.4조,118.7억,-1645.8억,"가치 38.0, 성장 44.6, 안정성 37.0 기준으로 종합 39.7점입니다.",무리한 추격 금지,132400.0,132400.0,"132,400원",132400.0,"132,400원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
한국주식,005930,삼성전자,정상,64.1,58.0,63.3,73.0,-,-,10.36,333.6조,43.6조,45.2조,"가치 58.0, 성장 63.3, 안정성 73.0 기준으로 종합 64.1점입니다.",무리한 추격 금지,299500.0,299500.0,"299,500원",299500.0,"299,500원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
한국주식,000660,SK하이닉스,정상,72.3,66.0,80.0,73.0,-,-,35.59,97.1조,47.2조,42.9조,"가치 66.0, 성장 80.0, 안정성 73.0 기준으로 종합 72.3점입니다.",관심 유지 · 눌림 확인,2064000.0,2064000.0,"2,064,000원",2064000.0,"2,064,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
한국주식,005380,현대차,정상,53.3,50.0,55.9,55.0,-,-,8.12,186.3조,11.5조,10.4조,"가치 50.0, 성장 55.9, 안정성 55.0 기준으로 종합 53.3점입니다.",무리한 추격 금지,682000.0,682000.0,"682,000원",682000.0,"682,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
한국주식,035420,NAVER,정상,58.9,50.0,66.7,63.0,-,-,6.28,12.0조,2.2조,1.8조,"가치 50.0, 성장 66.7, 안정성 63.0 기준으로 종합 58.9점입니다.",무리한 추격 금지,201000.0,201000.0,"201,000원",201000.0,"201,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
