구분,상태,핵심 판단,보조 지표
시장 국면,파일 없음,-,-
시장 폭,파일 없음,-,-
데이터 상태,OK,-,"status:OK, updated_at:2026-05-22 17:37:28, rows:13, csv:reports/api_data_status_center.csv"
포트폴리오 리스크,OK,-,"updated_at:2026-05-22 17:37:26, history_days:1, status:OK, latest_date:2026-05-22"
