시장,우선순위,행동,종목,기준가,손절가,목표가,초보자 안내,이유,가격기준
미국주식,높음,신규매수 가능 후보,Alphabet (GOOGL),$392.46,$386.57,$431.71,현재가가 기준가 근처이고 손절가를 지킬 수 있을 때만 분할 매수를 검토합니다.,GOOGL: 손익비·차트 위치는 참고 가능하나 거래량 확인 필요; 유사 조건 n=2로 기대값은 참고 수준,intraday_realtime_snapshot.csv
미국주식,높음,신규매수 가능 후보,DELL (DELL),$228.40,$221.03,$251.24,현재가가 기준가 근처이고 손절가를 지킬 수 있을 때만 분할 매수를 검토합니다.,DELL: 손익비·차트 위치는 참고 가능하나 거래량 확인 필요; 유사 조건 n=0로 기대값은 참고 수준,v52_action_board_light.csv
미국주식,높음,신규매수 가능 후보,Energy ETF (XLE),$60.14,$58.54,$66.15,현재가가 기준가 근처이고 손절가를 지킬 수 있을 때만 분할 매수를 검토합니다.,ENERGY ETF: 손익비·차트 위치는 참고 가능하나 거래량 확인 필요; 유사 조건 n=0로 기대값은 참고 수준,v52_action_board_light.csv
미국주식,높음,신규매수 가능 후보,Nasdaq 100 ETF (QQQ),$686.62,$678.38,$755.28,현재가가 기준가 근처이고 손절가를 지킬 수 있을 때만 분할 매수를 검토합니다.,NASDAQ 100 ETF: 손익비·차트 위치는 참고 가능하나 거래량 확인 필요; 유사 조건 n=0로 기대값은 참고 수준,intraday_realtime_snapshot.csv
미국주식,높음,신규매수 가능 후보,ON Semiconductor (ON),$103.33,$100.01,$113.66,현재가가 기준가 근처이고 손절가를 지킬 수 있을 때만 분할 매수를 검토합니다.,ON SEMICONDUCTOR: 손익비·차트 위치는 참고 가능하나 거래량 확인 필요; 유사 조건 n=0로 기대값은 참고 수준,v52_action_board_light.csv
미국주식,높음,신규매수 가능 후보,S&P 500 ETF (SPY),$726.98,$718.25,$799.68,현재가가 기준가 근처이고 손절가를 지킬 수 있을 때만 분할 매수를 검토합니다.,S&P 500 ETF: 손익비·차트 위치는 참고 가능하나 거래량 확인 필요; 유사 조건 n=0로 기대값은 참고 수준,v52_action_board_light.csv
미국주식,높음,신규매수 가능 후보,Seagate (STX),$714.29,$688.60,$785.72,현재가가 기준가 근처이고 손절가를 지킬 수 있을 때만 분할 매수를 검토합니다.,SEAGATE: 손익비·차트 위치는 참고 가능하나 거래량 확인 필요; 유사 조건 n=0로 기대값은 참고 수준,v52_action_board_light.csv
미국주식,높음,신규매수 가능 후보,Semiconductor ETF (SOXX),$478.24,$465.43,$526.06,현재가가 기준가 근처이고 손절가를 지킬 수 있을 때만 분할 매수를 검토합니다.,SEMICONDUCTOR ETF: 손익비·차트 위치는 참고 가능하나 거래량 확인 필요; 유사 조건 n=2로 기대값은 참고 수준,intraday_realtime_snapshot.csv
미국주식,높음,신규매수 가능 후보,VanEck Semiconductor ETF (SMH),$531.16,$520.90,$584.28,현재가가 기준가 근처이고 손절가를 지킬 수 있을 때만 분할 매수를 검토합니다.,VANECK SEMICONDUCTOR ETF: 손익비·차트 위치는 참고 가능하나 거래량 확인 필요; 유사 조건 n=3로 기대값은 참고 수준,v52_action_board_light.csv
미국주식,높음,신규매수 가능 후보,WALMART (WMT),$131.82,$130.24,$145.00,현재가가 기준가 근처이고 손절가를 지킬 수 있을 때만 분할 매수를 검토합니다.,WALMART: 손익비·차트 위치는 참고 가능하나 거래량 확인 필요; 유사 조건 n=0로 기대값은 참고 수준,v52_action_board_light.csv
미국주식,높음,신규매수 가능 후보,Western Digital (WDC),$441.89,$424.10,$486.08,현재가가 기준가 근처이고 손절가를 지킬 수 있을 때만 분할 매수를 검토합니다.,WESTERN DIGITAL: 손익비·차트 위치는 참고 가능하나 거래량 확인 필요; 유사 조건 n=0로 기대값은 참고 수준,v52_action_board_light.csv
