시장,종목코드,종목명,분류,기준가,1일상승확률,3일상승확률,5일상승확률,신뢰도,다음 행동
한국주식,005930,삼성전자,실적·저평가,-,54%,57%,59%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,000660,SK하이닉스,실적·저평가,-,54%,57%,59%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,005380,현대차,실적·저평가,-,54%,57%,59%,기록 축적 중,실제 결과가 쌓이면 자동 보정
