시장,종목코드,종목명,분류,1일상승확률,3일상승확률,5일상승확률,신뢰도점수,데이터충분도,근거1,근거2,다음행동
한국주식,131970,두산테스나,실적저평가,57%,60%,62%,60.0,낮음,기준가·재무·후보 분류 확인,실제 outcome_history가 쌓이면 자동 보정,확률만 보지 말고 현재가·수급·뉴스를 함께 확인
한국주식,222800,심텍,실적저평가,57%,60%,62%,60.0,낮음,기준가·재무·후보 분류 확인,실제 outcome_history가 쌓이면 자동 보정,확률만 보지 말고 현재가·수급·뉴스를 함께 확인
