symbol,market,source_group,quote_available,quote_partial_available,quote_full_available,orderbook_available,flow_available,sector_flow_available,quote_status,orderbook_status,flow_status,quote_source,quote_failure_reason,orderbook_failure_reason,flow_failure_reason,normalized_symbol,symbol_format_valid,market_session,likely_root_cause,recoverable,recommended_action,updated_at
000100,한국주식,unknown,False,False,False,False,False,False,market_closed,market_closed,unknown,missing,market_closed,market_closed,unknown,000100,True,closed,market_closed,False,장마감 시간: 장중 재확인 필요,2026-05-25 16:09:16
000270,한국주식,unknown,False,False,False,False,False,False,market_closed,market_closed,unknown,missing,market_closed,market_closed,unknown,000270,True,closed,market_closed,False,장마감 시간: 장중 재확인 필요,2026-05-25 16:09:16
000660,한국주식,unknown,False,False,False,False,False,False,market_closed,market_closed,kr_flow_market_closed,missing,market_closed,market_closed,kr_flow_market_closed,000660,True,closed,market_closed,False,장마감 시간: 장중 재확인 필요,2026-05-25 16:09:16
000720,한국주식,unknown,False,False,False,False,False,False,market_closed,market_closed,unknown,missing,market_closed,market_closed,unknown,000720,True,closed,market_closed,False,장마감 시간: 장중 재확인 필요,2026-05-25 16:09:16
000990,한국주식,unknown,False,False,False,False,False,False,market_closed,market_closed,kr_flow_market_closed,missing,market_closed,market_closed,kr_flow_market_closed,000990,True,closed,market_closed,False,장마감 시간: 장중 재확인 필요,2026-05-25 16:09:16
001440,한국주식,unknown,False,False,False,False,False,False,market_closed,market_closed,unknown,missing,market_closed,market_closed,unknown,001440,True,closed,market_closed,False,장마감 시간: 장중 재확인 필요,2026-05-25 16:09:16
003490,한국주식,unknown,False,False,False,False,False,False,market_closed,market_closed,unknown,missing,market_closed,market_closed,unknown,003490,True,closed,market_closed,False,장마감 시간: 장중 재확인 필요,2026-05-25 16:09:16
003670,한국주식,unknown,False,False,False,False,False,False,market_closed,market_closed,unknown,missing,market_closed,market_closed,unknown,003670,True,closed,market_closed,False,장마감 시간: 장중 재확인 필요,2026-05-25 16:09:16
005380,한국주식,unknown,False,False,False,False,False,False,market_closed,market_closed,unknown,missing,market_closed,market_closed,unknown,005380,True,closed,market_closed,False,장마감 시간: 장중 재확인 필요,2026-05-25 16:09:16
005490,한국주식,unknown,False,False,False,False,False,False,market_closed,market_closed,unknown,missing,market_closed,market_closed,unknown,005490,True,closed,market_closed,False,장마감 시간: 장중 재확인 필요,2026-05-25 16:09:16
005930,한국주식,unknown,False,False,False,False,False,False,market_closed,market_closed,kr_flow_market_closed,missing,market_closed,market_closed,kr_flow_market_closed,005930,True,closed,market_closed,False,장마감 시간: 장중 재확인 필요,2026-05-25 16:09:16
006260,한국주식,unknown,False,False,False,False,False,False,market_closed,market_closed,unknown,missing,market_closed,market_closed,unknown,006260,True,closed,market_closed,False,장마감 시간: 장중 재확인 필요,2026-05-25 16:09:16
006360,한국주식,unknown,False,False,False,False,False,False,market_closed,market_closed,unknown,missing,market_closed,market_closed,unknown,006360,True,closed,market_closed,False,장마감 시간: 장중 재확인 필요,2026-05-25 16:09:16
006400,한국주식,unknown,False,False,False,False,False,False,market_closed,market_closed,unknown,missing,market_closed,market_closed,unknown,006400,True,closed,market_closed,False,장마감 시간: 장중 재확인 필요,2026-05-25 16:09:16
007660,한국주식,unknown,False,False,False,False,False,False,market_closed,market_closed,kr_flow_market_closed,missing,market_closed,market_closed,kr_flow_market_closed,007660,True,closed,market_closed,False,장마감 시간: 장중 재확인 필요,2026-05-25 16:09:16
