signalDate,symbol,setup,regime,rsi14,distMa20Pct,entry,grossPnlPct,netPnlPct,outcome,barsHeld,exitDate
2012-01-26,KOSPI,BREAKOUT,BULL,70.7,4.5,1960.7,2.75,2.25,WIN,10,2012-02-09
2012-01-27,KOSPI,BREAKOUT,BULL,72.5,4.6,1956.63,1.895,1.395,WIN,10,2012-02-10
2012-01-30,KOSPI,BREAKOUT,BULL,71.3,3.0,1943.25,3.216,2.716,WIN,10,2012-02-13
2012-01-31,KOSPI,BREAKOUT,BULL,78.5,3.4,1948.57,2.775,2.275,WIN,10,2012-02-14
2012-02-01,KOSPI,BREAKOUT,BULL,76.1,3.2,1982.23,2.174,1.674,WIN,10,2012-02-15
2012-02-02,KOSPI,BREAKOUT,BULL,81.4,4.3,1982.24,0.767,0.267,WIN,10,2012-02-16
2012-02-03,KOSPI,BREAKOUT,BULL,75.2,3.4,1994.21,1.467,0.967,WIN,10,2012-02-17
2012-02-06,KOSPI,BREAKOUT,BULL,73.9,3.1,1976.77,2.435,1.935,WIN,10,2012-02-20
2012-02-07,KOSPI,BREAKOUT,BULL,81.3,3.2,1985.21,1.966,1.466,WIN,10,2012-02-21
2012-02-08,KOSPI,BREAKOUT,BULL,80.1,3.8,1998.2,1.524,1.024,WIN,10,2012-02-22
2012-02-09,KOSPI,BREAKOUT,BULL,81.4,4.0,2010.04,-0.111,-0.611,LOSS,10,2012-02-23
2012-02-09,KOSDAQ,BREAKOUT,BULL,62.9,1.3,527.54,2.576,2.076,WIN,10,2012-02-23
2012-02-10,KOSPI,BREAKOUT,BULL,70.4,2.5,2000.66,0.961,0.461,WIN,10,2012-02-24
2012-02-10,KOSDAQ,BREAKOUT,BULL,64.5,2.0,530.85,2.504,2.004,WIN,10,2012-02-24
2012-02-13,KOSPI,BREAKOUT,BULL,66.4,2.7,1999.53,-0.419,-0.919,LOSS,10,2012-02-27
2012-02-13,KOSDAQ,BREAKOUT,BULL,73.0,2.7,535.38,0.553,0.053,WIN,10,2012-02-27
2012-02-14,KOSPI,BREAKOUT,BULL,64.7,2.3,2012.0,-0.413,-0.913,LOSS,10,2012-02-28
2012-02-14,KOSDAQ,BREAKOUT,BULL,75.4,3.0,538.13,0.413,-0.087,LOSS,10,2012-02-28
2012-02-15,KOSPI,BREAKOUT,BULL,68.1,3.0,2005.37,1.241,0.741,WIN,10,2012-02-29
2012-02-15,KOSDAQ,BREAKOUT,BULL,74.0,3.3,537.7,0.855,0.355,WIN,10,2012-02-29
2012-02-16,KOSDAQ,BREAKOUT,SIDE,70.9,2.7,540.78,0.59,0.09,WIN,10,2012-03-02
2012-02-17,KOSPI,BREAKOUT,BULL,69.7,2.3,2041.51,-1.247,-1.747,LOSS,10,2012-03-05
2012-02-17,KOSDAQ,BREAKOUT,BULL,82.5,3.4,543.3,-0.655,-1.155,LOSS,10,2012-03-05
2012-02-20,KOSPI,BREAKOUT,BULL,67.6,2.1,2022.05,-1.073,-1.573,LOSS,10,2012-03-06
2012-02-20,KOSDAQ,BREAKOUT,BULL,81.0,3.2,542.89,-1.708,-2.208,LOSS,10,2012-03-06
2012-02-21,KOSPI,BREAKOUT,BULL,66.8,1.8,2018.07,-1.78,-2.28,LOSS,10,2012-03-07
2012-02-21,KOSDAQ,BREAKOUT,BULL,79.8,3.4,544.91,-2.281,-2.781,LOSS,10,2012-03-07
