카드,아이콘,설명,건수,TOP,상세파일,우선순위,구분
오늘 우선 확인,🎯,기준가·손절가·목표가,0,-,v75_action_clean_kr.csv,1,buy
눌림목 진입 후보,🪜,추격보다 기준가 대기,0,-,v75_pullback_clean_kr.csv,2,buy
수급 급증 후보,💚,거래대금·수급 흐름,0,-,v75_flow_clean_kr.csv,3,buy
<<<<<<< HEAD
실적·저평가 후보,💎,재무·KPI·밸류,2,두산테스나,v75_company_clean_kr.csv,4,value
=======
실적·저평가 후보,💎,재무·KPI·밸류,3,삼성전자,v75_company_clean_kr.csv,4,value
>>>>>>> 406077dbd4079231d812b3e19dce6fc7291c4dce
매수금지·주의,🚫,제외·관망 우선,0,-,v75_risk_clean_kr.csv,5,risk
