시장,종목코드,종목명,데이터상태,데이터출처,매출,영업이익,순이익,자산,부채,자본,오류
미국주식,SNDK,SanDisk,정상,Finnhub,-,-,-,-,-,-,
미국주식,NBIS,Nebius,정상,Finnhub,-,-,-,-,-,-,
미국주식,CRCL,Circle,정상,Finnhub,-,-,-,-,-,-,
미국주식,BMNR,BMNR,정상,Finnhub,-,-,-,-,-,-,
미국주식,AAOI,AAOI,정상,Finnhub,-,-,-,-,-,-,
미국주식,AAPL,AAPL,정상,Finnhub,-,-,-,-,-,-,
미국주식,ACHR,ACHR,정상,Finnhub,-,-,-,-,-,-,
미국주식,ALAB,ALAB,정상,Finnhub,-,-,-,-,-,-,
미국주식,XLE,XLE,정상,Finnhub,-,-,-,-,-,-,
미국주식,AMD,AMD,정상,Finnhub,-,-,-,-,-,-,
미국주식,DDOG,DDOG,정상,Finnhub,-,-,-,-,-,-,
미국주식,INTC,INTC,정상,Finnhub,-,-,-,-,-,-,
미국주식,AMZN,AMZN,정상,Finnhub,-,-,-,-,-,-,
미국주식,NVDA,NVDA,정상,Finnhub,-,-,-,-,-,-,
미국주식,ANET,ANET,정상,Finnhub,-,-,-,-,-,-,
미국주식,CRWD,CRWD,정상,Finnhub,-,-,-,-,-,-,
