시장,종목코드,종목명,분류,1일상승확률,3일상승확률,5일상승확률,다음행동
한국주식,095340,095340,수급,62%,65%,67%,실제 결과가 쌓이면 자동 보정
한국주식,004020,004020,수급,62%,65%,67%,실제 결과가 쌓이면 자동 보정
한국주식,010950,010950,수급,62%,65%,67%,실제 결과가 쌓이면 자동 보정
한국주식,131970,131970,수급,62%,65%,67%,실제 결과가 쌓이면 자동 보정
한국주식,012450,012450,수급,62%,65%,67%,실제 결과가 쌓이면 자동 보정
한국주식,277810,277810,수급,62%,65%,67%,실제 결과가 쌓이면 자동 보정
한국주식,000990,DB하이텍 (000990),오늘확인,58%,61%,63%,실제 결과가 쌓이면 자동 보정
한국주식,375500,DL이앤씨 (375500),오늘확인,58%,61%,63%,실제 결과가 쌓이면 자동 보정
한국주식,329180,HD현대중공업 (329180),오늘확인,58%,61%,63%,실제 결과가 쌓이면 자동 보정
한국주식,032640,LG유플러스 (032640),오늘확인,58%,61%,63%,실제 결과가 쌓이면 자동 보정
한국주식,017670,SK텔레콤 (017670),오늘확인,58%,61%,63%,실제 결과가 쌓이면 자동 보정
한국주식,000660,SK하이닉스 (000660),오늘확인,58%,61%,63%,실제 결과가 쌓이면 자동 보정
한국주식,058470,리노공업 (058470),오늘확인,58%,61%,63%,실제 결과가 쌓이면 자동 보정
한국주식,005930,삼성전자 (005930),오늘확인,58%,61%,63%,실제 결과가 쌓이면 자동 보정
한국주식,222800,심텍 (222800),오늘확인,58%,61%,63%,실제 결과가 쌓이면 자동 보정
한국주식,003550,LG,수급,62%,65%,67%,실제 결과가 쌓이면 자동 보정
한국주식,000100,유한양행,수급,62%,65%,67%,실제 결과가 쌓이면 자동 보정
한국주식,010120,엘에스일렉트릭,수급,62%,65%,67%,실제 결과가 쌓이면 자동 보정
