market,category,추천건수,검증완료,승률,평균수익률,최대하락폭,업데이트
KR,실적저평가,2,0,결과 누적 전,결과 누적 전,결과 누적 전,2026-05-26 08:22:57
US,실적저평가,4,0,결과 누적 전,결과 누적 전,결과 누적 전,2026-05-26 08:22:57
,,1,0,결과 누적 전,결과 누적 전,결과 누적 전,2026-05-26 08:22:57
KR,실적저평가,4,0,결과 누적 전,결과 누적 전,결과 누적 전,2026-05-26 07:29:29
US,실적저평가,5,0,결과 누적 전,결과 누적 전,결과 누적 전,2026-05-26 07:29:29
