시장,종목코드,종목명,현재가,기준가,손절가,목표가,호가,수급점수,다음행동
미국주식,GOOGL,Alphabet (GOOGL),직전장 기준 확인 필요,$382.97,$363.82,$421.27,장중 미수신 · 직전장 기준,-,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
미국주식,AMZN,Amazon (AMZN),직전장 기준 확인 필요,$266.32,$253.00,$292.95,장중 미수신 · 직전장 기준,61.8,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
미국주식,CAT,Caterpillar (CAT),$879.89,$879.89,$835.90,$967.88,장중 미수신 · 직전장 기준,-,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
미국주식,CRCL,Circle (CRCL),$113.12,$113.12,$107.46,$124.43,장중 미수신 · 직전장 기준,-,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
미국주식,NET,Cloudflare (NET),직전장 기준 확인 필요,$216.17,$205.36,$237.79,장중 미수신 · 직전장 기준,-,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
미국주식,COST,Costco (COST),직전장 기준 확인 필요,"$1,028.24",$976.83,"$1,131.06",장중 미수신 · 직전장 기준,-,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
미국주식,INTC,Intel (INTC),$119.84,$119.84,$113.85,$131.82,장중 미수신 · 직전장 기준,62.6,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
미국주식,LITE,Lumentum (LITE),$946.90,$946.90,$899.56,"$1,041.59",장중 미수신 · 직전장 기준,-,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
미국주식,NVDA,NVIDIA (NVDA),직전장 기준 확인 필요,$215.33,$204.56,$236.86,장중 미수신 · 직전장 기준,60.9,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
미국주식,NBIS,Nebius (NBIS),$214.77,$214.77,$204.03,$236.25,장중 미수신 · 직전장 기준,-,장중 현재가가 없으면 직전장 기준으로 진입가·거래대금을 먼저 확인
