시장,지표,값,등락률,해석,출처
미국주식,S&P500,"7,473.47",0.37%,강세 참고,yfinance 직전 장 기준
미국주식,NASDAQ,"26,343.97",0.19%,강세 참고,yfinance 직전 장 기준
미국주식,VIX,16.59,-0.66%,약세/주의 참고,yfinance 직전 장 기준
