시장,종목코드,종목명,데이터상태,데이터출처,매출,영업이익,순이익,자산,부채,자본,오류
한국주식,131970,두산테스나,정상,DART,3038.7억,-9.4억,15.1억,7037.8억,7037.8억,4370.8억,
한국주식,222800,심텍,정상,DART,1.4조,118.7억,-1645.8억,1.6조,1.6조,5763.7억,
한국주식,003550,LG,정상,DART,-,9121.7억,1.0조,34.0조,3.6조,30.3조,
한국주식,000100,유한양행,정상,DART,2.2조,1043.7억,1853.2억,3.2조,8586.4억,2.4조,
한국주식,010120,엘에스일렉트릭,정상,DART,5.0조,4264.1억,2842.6억,5.0조,2.8조,2.1조,
한국주식,000270,기아,정상,DART,114.1조,9.1조,7.6조,99.0조,37.8조,61.2조,
한국주식,259960,크래프톤,정상,DART,3.3조,1.1조,7337.0억,9.4조,2.2조,7.2조,
한국주식,000660,SK하이닉스,정상,DART,97.1조,47.2조,42.9조,176.1조,55.4조,120.7조,
한국주식,003490,대한항공,정상,DART,-,1.1조,6472.7억,50.4조,38.9조,11.5조,
한국주식,000720,현대건설,정상,DART,31.1조,6530.1억,5590.7억,27.8조,27.8조,10.1조,
한국주식,028670,팬오션,정상,DART,5.4조,4919.5억,3014.1억,10.9조,10.9조,5.7조,
한국주식,000810,삼성화재해상보험,정상,DART,5.2조,2.7조,2.0조,96.5조,75.2조,21.3조,
한국주식,278470,에이피알,정상,DART,1.5조,3655.2억,2896.5억,7717.4억,3259.4억,4458.0억,
한국주식,000990,DB하이텍,정상,DART,1.4조,2772.9억,2525.8억,3.0조,3.0조,2.2조,
한국주식,375500,DL이앤씨 (375500),정상,DART,7.4조,3869.5억,3701.9억,9.7조,9.7조,5.2조,
한국주식,329180,HD현대중공업 (329180),정상,DART,17.6조,2.0조,1.4조,26.2조,16.8조,9.3조,
