시장,종목코드,종목명,분류,현재가,기준가,손절가,목표가,호가,수급점수,뉴스요약,재무요약,다음행동,가격출처
한국주식,131970,두산테스나,기업분석,-,-,-,-,장중 데이터 없으면 직전장 기준,-,-,"가치 50.0, 성장 50.1, 안정성 55.0 기준으로 종합 51.5점입니다.",무리한 추격 금지,실시간값 없으면 직전장·후보·보유 파일 기준
한국주식,222800,심텍,기업분석,-,-,-,-,장중 데이터 없으면 직전장 기준,-,-,"가치 38.0, 성장 44.6, 안정성 37.0 기준으로 종합 39.7점입니다.",무리한 추격 금지,실시간값 없으면 직전장·후보·보유 파일 기준
한국주식,005930,삼성전자,기업분석,-,-,-,-,장중 데이터 없으면 직전장 기준,-,-,"가치 58.0, 성장 63.3, 안정성 73.0 기준으로 종합 64.1점입니다.",무리한 추격 금지,실시간값 없으면 직전장·후보·보유 파일 기준
한국주식,000660,SK하이닉스,기업분석,-,-,-,-,장중 데이터 없으면 직전장 기준,-,-,"가치 66.0, 성장 80.0, 안정성 73.0 기준으로 종합 72.3점입니다.",관심 유지 · 눌림 확인,실시간값 없으면 직전장·후보·보유 파일 기준
한국주식,005380,현대차,기업분석,-,-,-,-,장중 데이터 없으면 직전장 기준,-,-,"가치 50.0, 성장 55.9, 안정성 55.0 기준으로 종합 53.3점입니다.",무리한 추격 금지,실시간값 없으면 직전장·후보·보유 파일 기준
한국주식,035420,NAVER,기업분석,-,-,-,-,장중 데이터 없으면 직전장 기준,-,-,"가치 50.0, 성장 66.7, 안정성 63.0 기준으로 종합 58.9점입니다.",무리한 추격 금지,실시간값 없으면 직전장·후보·보유 파일 기준
