시장,지표,값,등락률,해석,출처
한국주식,KOSPI,"7,847.71",0.41%,강세 참고,yfinance 직전 장 기준
한국주식,KOSDAQ,"1,161.13",4.99%,강세 참고,yfinance 직전 장 기준
한국주식,USD/KRW,"1,512.11",0.51%,강세 참고,yfinance 직전 장 기준
