카드,아이콘,설명,건수,TOP,상세파일,우선순위,구분
오늘 우선 확인,🎯,기준가·손절가·목표가 먼저 확인,0,후보 없음,v74_action_clean_kr.csv,1,buy
눌림목 진입 후보,🪜,추격보다 기준가 근처 대기,0,후보 없음,v74_pullback_clean_kr.csv,2,buy
수급 급증 후보,💚,거래대금·수급 흐름 확인,0,후보 없음,v74_flow_clean_kr.csv,3,buy
실적·저평가 후보,💎,재무·KPI·밸류 확인,2,두산테스나,v74_company_clean_kr.csv,4,value
매수금지·주의,🚫,신규매수보다 제외·관망,0,후보 없음,v74_risk_clean_kr.csv,5,risk
