condition_key,sample_count,avg_return_1d,avg_return_3d,avg_return_5d,avg_return_10d,tp1_hit_rate_5d,stop_hit_rate_5d,tp_first_rate,stop_first_rate,market_outperform_rate_5d,sector_outperform_rate_5d,expected_return_5d
score_unknown|rr_unknown|entry_unknown|sector=지수형|chart=unknown|news_unknown|market=unknown|entry=unknown|agg_unknown,207,0.0,0.0,4.8626,0.0,59.9,33.82,45.41,19.32,0.0,0.0,4.8626
score_unknown|rr_fail|entry_unknown|sector=지수형|chart=unknown|news_S|market=이벤트 변동성장|entry=unknown|agg_unknown,145,0.0,0.0,7.4976,0.0,79.31,17.24,71.03,8.97,0.0,0.0,7.4976
score_unknown|rr_unknown|entry_unknown|sector=지수형|chart=unknown|news_unknown|market=이벤트 변동성장|entry=unknown|agg_unknown,64,0.0,0.0,6.4749,0.0,71.88,40.62,53.12,21.88,0.0,0.0,6.4749
score_unknown|rr_unknown|entry_unknown|sector=unknown|chart=unknown|news_unknown|market=unknown|entry=unknown|agg_unknown,59,0.0,0.0,4.838,0.0,62.71,20.34,54.24,11.86,0.0,0.0,4.838
score_unknown|rr_1.5_1.99|entry_unknown|sector=지수형|chart=unknown|news_S|market=이벤트 변동성장|entry=unknown|agg_unknown,43,0.0,0.0,6.4703,0.0,81.4,16.28,69.77,4.65,0.0,0.0,6.4703
score_unknown|rr_2_2.99|entry_unknown|sector=지수형|chart=unknown|news_S|market=이벤트 변동성장|entry=unknown|agg_unknown,39,0.0,0.0,9.4848,0.0,89.74,17.95,76.92,5.13,0.0,0.0,9.4848
score_unknown|rr_3+|entry_unknown|sector=지수형|chart=unknown|news_S|market=이벤트 변동성장|entry=unknown|agg_unknown,29,0.0,0.0,7.2358,0.0,86.21,6.9,86.21,6.9,0.0,0.0,7.2358
score_unknown|rr_fail|entry_unknown|sector=전기차/성장주|chart=unknown|news_A|market=데이터 부족|entry=unknown|agg_unknown,18,0.0,0.0,5.6295,0.0,66.67,38.89,55.56,27.78,0.0,0.0,5.6295
score_unknown|rr_fail|entry_unknown|sector=지수형|chart=unknown|news_A|market=데이터 부족|entry=unknown|agg_unknown,17,0.0,0.0,4.8145,0.0,52.94,17.65,52.94,17.65,0.0,0.0,4.8145
score_unknown|rr_unknown|entry_unknown|sector=지수형|chart=unknown|news_unknown|market=데이터 부족|entry=unknown|agg_unknown,17,0.0,0.0,1.2876,0.0,23.53,17.65,23.53,17.65,0.0,0.0,1.2876
score_unknown|rr_unknown|entry_unknown|sector=전기차/성장주|chart=unknown|news_unknown|market=unknown|entry=unknown|agg_unknown,16,0.0,0.0,8.523,0.0,81.25,12.5,75.0,6.25,0.0,0.0,8.523
score_unknown|rr_unknown|entry_unknown|sector=전기차/성장주|chart=unknown|news_unknown|market=데이터 부족|entry=unknown|agg_unknown,16,0.0,0.0,3.0488,0.0,43.75,37.5,43.75,37.5,0.0,0.0,3.0488
score_unknown|rr_unknown|entry_unknown|sector=반도체/AI|chart=unknown|news_unknown|market=unknown|entry=unknown|agg_unknown,14,0.0,0.0,5.0616,0.0,71.43,14.29,64.29,7.14,0.0,0.0,5.0616
