market,mode,horizon,recommendations,universeCount,conditionalOrders,filledCount,avgReturn,recommendationReport,tradeValidationReport,status
kr,conservative,short,5,5,5,1,체결 기준 산출됨,reports/mone_v36_final_recommendations_kr_conservative_short.csv,reports/mone_v36_final_trade_validation_kr_conservative_short.csv,OK
kr,conservative,swing,5,5,5,5,체결 기준 산출됨,reports/mone_v36_final_recommendations_kr_conservative_swing.csv,reports/mone_v36_final_trade_validation_kr_conservative_swing.csv,OK
kr,conservative,mid,5,5,5,5,체결 기준 산출됨,reports/mone_v36_final_recommendations_kr_conservative_mid.csv,reports/mone_v36_final_trade_validation_kr_conservative_mid.csv,OK
kr,balanced,short,8,8,8,0,,reports/mone_v36_final_recommendations_kr_balanced_short.csv,reports/mone_v36_final_trade_validation_kr_balanced_short.csv,OK
kr,balanced,swing,8,8,8,3,체결 기준 산출됨,reports/mone_v36_final_recommendations_kr_balanced_swing.csv,reports/mone_v36_final_trade_validation_kr_balanced_swing.csv,OK
kr,balanced,mid,8,8,8,8,체결 기준 산출됨,reports/mone_v36_final_recommendations_kr_balanced_mid.csv,reports/mone_v36_final_trade_validation_kr_balanced_mid.csv,OK
kr,aggressive,short,12,12,12,2,체결 기준 산출됨,reports/mone_v36_final_recommendations_kr_aggressive_short.csv,reports/mone_v36_final_trade_validation_kr_aggressive_short.csv,OK
kr,aggressive,swing,12,12,12,8,체결 기준 산출됨,reports/mone_v36_final_recommendations_kr_aggressive_swing.csv,reports/mone_v36_final_trade_validation_kr_aggressive_swing.csv,OK
kr,aggressive,mid,12,12,12,12,체결 기준 산출됨,reports/mone_v36_final_recommendations_kr_aggressive_mid.csv,reports/mone_v36_final_trade_validation_kr_aggressive_mid.csv,OK
us,conservative,short,5,5,5,3,체결 기준 산출됨,reports/mone_v36_final_recommendations_us_conservative_short.csv,reports/mone_v36_final_trade_validation_us_conservative_short.csv,OK
us,conservative,swing,5,5,5,5,체결 기준 산출됨,reports/mone_v36_final_recommendations_us_conservative_swing.csv,reports/mone_v36_final_trade_validation_us_conservative_swing.csv,OK
us,conservative,mid,5,5,5,5,체결 기준 산출됨,reports/mone_v36_final_recommendations_us_conservative_mid.csv,reports/mone_v36_final_trade_validation_us_conservative_mid.csv,OK
us,balanced,short,8,8,8,4,체결 기준 산출됨,reports/mone_v36_final_recommendations_us_balanced_short.csv,reports/mone_v36_final_trade_validation_us_balanced_short.csv,OK
us,balanced,swing,5,5,5,1,체결 기준 산출됨,reports/mone_v36_final_recommendations_us_balanced_swing.csv,reports/mone_v36_final_trade_validation_us_balanced_swing.csv,OK
us,balanced,mid,8,8,8,7,체결 기준 산출됨,reports/mone_v36_final_recommendations_us_balanced_mid.csv,reports/mone_v36_final_trade_validation_us_balanced_mid.csv,OK
us,aggressive,short,12,12,12,4,체결 기준 산출됨,reports/mone_v36_final_recommendations_us_aggressive_short.csv,reports/mone_v36_final_trade_validation_us_aggressive_short.csv,OK
us,aggressive,swing,12,12,12,11,체결 기준 산출됨,reports/mone_v36_final_recommendations_us_aggressive_swing.csv,reports/mone_v36_final_trade_validation_us_aggressive_swing.csv,OK
us,aggressive,mid,12,12,12,12,체결 기준 산출됨,reports/mone_v36_final_recommendations_us_aggressive_mid.csv,reports/mone_v36_final_trade_validation_us_aggressive_mid.csv,OK
