시장,항목,행수,상태,설명
국장,수급·거래대금,0,확인 필요,국장 원본을 내부 market/6자리 코드 기준으로 복구. 수급값 부족 시 거래대금 fallback 사용.
국장,실적·저평가,2,데이터 부족,DART/Finnhub/SEC 재무 응답과 종목 매핑이 필요합니다.
국장,뉴스,30,정상,뉴스 요약 카드용 원천 데이터
국장,API 키,5,인식,"{""DART_API_KEY"": true, ""FINNHUB_API_KEY"": true, ""GNEWS_API_KEY"": true, ""APIFY_TOKEN"": true, ""SEC_USER_AGENT"": true}"
국장,수급 원본 진단,0,관리자 확인,관리자모드에서 파일별 KR/US 행수 확인
미장,수급·거래대금,0,확인 필요,국장 원본을 내부 market/6자리 코드 기준으로 복구. 수급값 부족 시 거래대금 fallback 사용.
미장,실적·저평가,4,데이터 부족,DART/Finnhub/SEC 재무 응답과 종목 매핑이 필요합니다.
미장,뉴스,30,정상,뉴스 요약 카드용 원천 데이터
미장,API 키,5,인식,"{""DART_API_KEY"": true, ""FINNHUB_API_KEY"": true, ""GNEWS_API_KEY"": true, ""APIFY_TOKEN"": true, ""SEC_USER_AGENT"": true}"
미장,수급 원본 진단,0,관리자 확인,관리자모드에서 파일별 KR/US 행수 확인
