시장,종목코드,종목명,데이터상태,데이터출처,PER,PBR,ROE,매출,영업이익,순이익,자산,부채,자본,부채비율,영업이익률,순이익률,가치점수,성장점수,안정성점수,종합점수,핵심요약,다음행동,오류,분류,current_price,last_price,현재가,quote_fallback_price,실시간현재가,quote_source,quote_source_label,data_status,price_data_status,current_price_source
한국주식,131970,두산테스나,정상,DART,-,-,0.35,3038.7억,-9.4억,15.1억,7037.8억,7037.8억,4370.8억,161.02,-0.31,0.5,50.0,50.1,55.0,51.5,"가치 50.0, 성장 50.1, 안정성 55.0 기준으로 종합 51.5점입니다.",무리한 추격 금지,,company,174700.0,174700.0,"174,700원",174700.0,"174,700원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
한국주식,222800,심텍,정상,DART,-,-,-28.55,1.4조,118.7억,-1645.8억,1.6조,1.6조,5763.7억,281.13,0.84,-11.67,38.0,44.6,37.0,39.7,"가치 38.0, 성장 44.6, 안정성 37.0 기준으로 종합 39.7점입니다.",무리한 추격 금지,,company,131300.0,131300.0,"131,300원",131300.0,"131,300원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
한국주식,005930,삼성전자,정상,DART,-,-,10.36,333.6조,43.6조,45.2조,566.9조,130.6조,436.3조,29.94,13.07,13.55,58.0,63.3,73.0,64.1,"가치 58.0, 성장 63.3, 안정성 73.0 기준으로 종합 64.1점입니다.",무리한 추격 금지,,company,299750.0,299750.0,"299,750원",299750.0,"299,750원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
한국주식,000660,SK하이닉스,정상,DART,-,-,35.59,97.1조,47.2조,42.9조,176.1조,55.4조,120.7조,45.95,48.59,44.21,66.0,80.0,73.0,72.3,"가치 66.0, 성장 80.0, 안정성 73.0 기준으로 종합 72.3점입니다.",관심 유지 · 눌림 확인,,company,2048000.0,2048000.0,"2,048,000원",2048000.0,"2,048,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
한국주식,005380,현대차,정상,DART,-,-,8.12,186.3조,11.5조,10.4조,368.8조,241.2조,127.6조,188.95,6.16,5.56,50.0,55.9,55.0,53.3,"가치 50.0, 성장 55.9, 안정성 55.0 기준으로 종합 53.3점입니다.",무리한 추격 금지,,company,684000.0,684000.0,"684,000원",684000.0,"684,000원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
한국주식,035420,NAVER,정상,DART,-,-,6.28,12.0조,2.2조,1.8조,41.1조,41.1조,29.0조,141.9,18.35,15.11,50.0,66.7,63.0,58.9,"가치 50.0, 성장 66.7, 안정성 63.0 기준으로 종합 58.9점입니다.",무리한 추격 금지,,company,203750.0,203750.0,"203,750원",203750.0,"203,750원",KIS Open API,KIS 현재가,API 현재가 수신,success,KIS 현재가
