시장,구역,행수,상태,내용,다음행동,업데이트시각
미국주식,오늘 우선 확인,5,정상,오늘 우선 확인 5건,앱에서 카드 확인,2026-05-27 03:08:25
미국주식,선택 종목,5,정상,선택 종목 5건,앱에서 카드 확인,2026-05-27 03:08:25
미국주식,신뢰도 카드,5,정상,신뢰도 카드 5건,앱에서 카드 확인,2026-05-27 03:08:25
미국주식,미래확률,5,정상,미래확률 5건,앱에서 카드 확인,2026-05-27 03:08:25
미국주식,뉴스,1,정상,뉴스 1건,앱에서 카드 확인,2026-05-27 03:08:25
