지표,값,해석
현재가,100.0,입력 기준가
중앙 예상가,100.928,시뮬레이션 중앙값
5% 하단 가격,78.7872,보수적 하방 기준
95% 상단 가격,127.7528,낙관 상방 기준
VaR 95%,-21.21%,하위 5% 손실률 기준
상승 확률,51.90%,만기 기준 플러스 확률
