구분,파일,존재,수정시각,행수,최신날짜,날짜컬럼,시장분포,종목값,종목명값,가격값,점수값,중복종목수,상태,메모
예측 기록,predictions.csv,True,2026-05-22 22:40:29,810,2026-05-22,target_date,"{'한국주식': 510, '미국주식': 297, '????': 3}",810/810,297/810,0/810,0/810,640,OK,
실제 OHLC/복기,data\decision_system\actual_results.csv,True,2026-05-22 17:12:55,677,2026-05-21,date,"{'한국주식': 380, '미국주식': 297}",677/677,0/677,677/677,0/677,510,OK,최신날짜가 오늘이 아닐 수 있음
장중 현재가,reports\intraday_realtime_snapshot.csv,True,2026-05-22 17:12:55,131,,,"{'한국주식': 68, '미국주식': 63}",131/131,131/131,131/131,131/131,0,OK,
장중 호가,reports\intraday_orderbook_snapshot.csv,True,2026-05-22 17:12:55,131,,,"{'한국주식': 68, '미국주식': 63}",131/131,131/131,131/131,131/131,0,OK,
장중 수급,reports\intraday_flow_snapshot.csv,True,2026-05-22 17:12:55,80,,,"{'미국주식': 63, '한국주식': 17}",80/80,80/80,80/80,80/80,0,OK,
업종 수급,reports\intraday_sector_flow_snapshot.csv,False,,,,,,,,,,,MISSING,파일 없음
실적·밸류 상세,reports\fundamental_valuation_detail.csv,True,2026-05-22 22:44:21,107,2026-05-22 22:44:21,updated_at,{'미국주식': 107},107/107,107/107,0/107,0/107,0,OK,
실적·밸류 요약,reports\fundamental_valuation_summary.json,True,2026-05-22 22:44:21,,2026-05-22 22:44:21,,,,,,,,OK,JSON keys=12
오늘 매수 우선순위,reports\buy_priority_candidates.csv,True,2026-05-22 17:12:55,440,,,"{'한국주식': 261, '미국주식': 179}",440/440,440/440,440/440,440/440,281,OK,
관심 매수 후보,reports\watchlist_buy_candidates.csv,True,2026-05-22 17:12:58,124,,,"{'한국주식': 64, '미국주식': 60}",124/124,124/124,124/124,124/124,0,OK,
스윙 후보,reports\swing_candidates.csv,True,2026-05-22 17:12:57,159,,,"{'한국주식': 99, '미국주식': 60}",159/159,159/159,159/159,159/159,0,OK,
국장 스윙 후보,reports\swing_candidates_kr.csv,True,2026-05-22 17:12:57,99,,,{'한국주식': 99},99/99,99/99,99/99,99/99,0,OK,
국장 B 후보,reports\swing_candidates_kr_B_watch.csv,True,2026-05-22 20:48:29,4,,,{'한국주식': 4},4/4,4/4,4/4,4/4,0,OK,
국장 C 제외,reports\swing_candidates_kr_C_excluded.csv,True,2026-05-22 20:48:30,95,,,{'한국주식': 95},95/95,95/95,95/95,95/95,0,OK,
미장 B 후보,reports\swing_candidates_us_B_watch.csv,True,2026-05-22 22:44:20,0,,,,,,,,,EMPTY,비어 있거나 읽기 실패
미장 C 제외,reports\swing_candidates_us_C_excluded.csv,True,2026-05-22 22:44:47,107,,,{'미국주식': 107},107/107,107/107,60/107,107/107,0,OK,
국장 보유종목,data\holdings_kr.csv,True,2026-05-22 17:12:53,2,,,{'한국주식': 2},2/2,2/2,2/2,2/2,0,OK,
미장 보유종목,data\holdings_us.csv,True,2026-05-22 17:12:53,4,,,{'미국주식': 4},4/4,4/4,4/4,4/4,0,OK,
포트폴리오 리스크,reports\portfolio_risk_summary.json,True,2026-05-22 22:43:18,,2026-05-22 22:43:18,,,,,,,,OK,JSON keys=12
오늘 뉴스,reports\today_news.csv,False,,,,,,,,,,,MISSING,파일 없음
시장 뉴스,reports\market_news.csv,False,,,,,,,,,,,MISSING,파일 없음
실시간 뉴스,reports\realtime_news.csv,False,,,,,,,,,,,MISSING,파일 없음
