시장,종목코드,종목명,요약,근거,주의,다음행동
한국주식,005930,삼성전자,삼성전자은 현재 재무/KPI 기준으로 확인할 후보입니다.,현재가/기준가/수급/재무 중 확인 가능한 데이터는 선택 종목 화면에서 함께 봅니다.,장중 거래량과 현재가가 기준가 근처인지 확인합니다.,기준가·손절가·목표가 확인 후 접근
한국주식,000660,SK하이닉스,SK하이닉스은 현재 재무/KPI 기준으로 확인할 후보입니다.,현재가/기준가/수급/재무 중 확인 가능한 데이터는 선택 종목 화면에서 함께 봅니다.,장중 거래량과 현재가가 기준가 근처인지 확인합니다.,기준가·손절가·목표가 확인 후 접근
한국주식,005380,현대차,현대차은 현재 재무/KPI 기준으로 확인할 후보입니다.,현재가/기준가/수급/재무 중 확인 가능한 데이터는 선택 종목 화면에서 함께 봅니다.,장중 거래량과 현재가가 기준가 근처인지 확인합니다.,기준가·손절가·목표가 확인 후 접근
한국주식,035420,NAVER,NAVER은 현재 재무/KPI 기준으로 확인할 후보입니다.,현재가/기준가/수급/재무 중 확인 가능한 데이터는 선택 종목 화면에서 함께 봅니다.,장중 거래량과 현재가가 기준가 근처인지 확인합니다.,기준가·손절가·목표가 확인 후 접근
