지표,값,상태,해석
오늘 우선 후보,0,확인,기준가·손절가가 있는 후보 수입니다.
눌림목 후보,0,관찰,추격 대신 대기할 후보 수입니다.
수급·거래대금 후보,0,확인,"국장은 수급, 미장은 거래량/거래대금 대체지표 중심입니다."
매수금지·주의,0,양호,위험 후보가 많으면 신규매수 난이도가 높습니다.
