종목코드,종목명,시장,판단,현재가,진입가,손절가,1차목표,손익비,권장수량,주문예상금액,분할계획,1R위험금액,수량근거,주의
NVDA,-,미국주식,확인 필요,-,$217.56,$213.01,-,3.60,9주,"$1,958.02",1차 4주 / 2차 2주 / 3차 3주,$40.92,계좌 리스크와 종목당 최대 비중 중 작은 값,-
NVDA,NVDA,미국주식,관망 우위,-,-,-,-,3.60,0,$0.00,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,-
GOOGL,GOOGL,미국주식,관망 우위,-,-,-,-,1.46,0,$0.00,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,-
TSLA,TSLA,미국주식,관망 우위,-,-,-,-,3.33,0,$0.00,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,-
PLTR,PLTR,미국주식,눌림목 매수 가능,-,-,-,-,1.88,0,$0.00,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,-
INTC,INTC,미국주식,비중 축소 우선,-,-,-,-,2.29,0,$0.00,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,-
LITE,LITE,미국주식,비중 축소 우선,-,-,-,-,2.82,0,$0.00,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,-
SNDK,SNDK,미국주식,비중 축소 우선,-,-,-,-,1.40,0,$0.00,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,-
CAT,CAT,미국주식,관망 우위,-,-,-,-,4.73,0,$0.00,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,-
CRCL,CRCL,미국주식,비중 축소 우선,-,-,-,-,1.35,0,$0.00,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,-
NBIS,NBIS,미국주식,관망 우위,-,-,-,-,1.45,0,$0.00,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,-
RKLB,RKLB,미국주식,돌파 확인 후 접근,-,-,-,-,1.40,0,$0.00,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,-
ASTS,ASTS,미국주식,눌림목 매수 가능,-,-,-,-,1.45,0,$0.00,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,-
IONQ,IONQ,미국주식,돌파 확인 후 접근,-,-,-,-,1.40,0,$0.00,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,-
LUNR,LUNR,미국주식,돌파 확인 후 접근,-,-,-,-,1.45,0,$0.00,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,-
OKLO,OKLO,미국주식,돌파 확인 후 접근,-,-,-,-,1.35,0,$0.00,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,-
HUT,HUT,미국주식,관망 우위,-,-,-,-,1.56,0,$0.00,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,-
IREN,IREN,미국주식,비중 축소 우선,-,-,-,-,3.07,0,$0.00,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,-
QQQ,QQQ,미국주식,관망 우위,-,-,-,-,1.78,0,$0.00,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,-
SOXX,SOXX,미국주식,돌파 확인 후 접근,-,-,-,-,2.41,0,$0.00,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,-
IWM,IWM,미국주식,관망 우위,-,-,-,-,1.74,0,$0.00,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,-
AMD,AMD,미국주식,돌파 확인 후 접근,-,-,-,-,1.37,0,$0.00,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,-
AVGO,AVGO,미국주식,관망 우위,-,-,-,-,1.45,0,$0.00,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,-
MU,MU,미국주식,비중 축소 우선,-,-,-,-,1.39,0,$0.00,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,-
MRVL,MRVL,미국주식,돌파 확인 후 접근,-,-,-,-,1.50,0,$0.00,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,-
ARM,ARM,미국주식,돌파 확인 후 접근,-,-,-,-,1.45,0,$0.00,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,-
SMCI,SMCI,미국주식,눌림목 매수 가능,-,-,-,-,1.37,0,$0.00,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,-
ANET,ANET,미국주식,돌파 확인 후 접근,-,-,-,-,1.36,0,$0.00,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,-
ALAB,ALAB,미국주식,눌림목 매수 가능,-,-,-,-,1.50,0,$0.00,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,-
CRDO,CRDO,미국주식,눌림목 매수 가능,-,-,-,-,1.39,0,$0.00,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,-
COHR,COHR,미국주식,비중 축소 우선,-,-,-,-,2.35,0,$0.00,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,-
MSFT,MSFT,미국주식,눌림목 매수 가능,-,-,-,-,1.45,0,$0.00,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,-
META,META,미국주식,눌림목 매수 가능,-,-,-,-,2.21,0,$0.00,1차 0 / 2차 0 / 3차 0,-,진입가/현금/손절 기준 확인 필요,-
