symbol,ticker,code,종목코드,name,종목명,market,시장,current_price,last_price,현재가,가격기준시각,가격출처,quote_source_label,data_status,price_data_status,기준가,손절가,목표가,다음행동,updated_at
005930,005930,005930,005930,삼성전자,삼성전자,한국주식,한국주식,299750.0,299750.0,"₩299,750",05-26 09:29 KST,KIS 현재가 · 05-26 09:29 KST,KIS 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:41:41 KST
000660,000660,000660,000660,SK하이닉스,SK하이닉스,한국주식,한국주식,2048000.0,2048000.0,"₩2,048,000",05-26 09:29 KST,KIS 현재가 · 05-26 09:29 KST,KIS 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:41:41 KST
003490,003490,003490,003490,대한항공,대한항공,한국주식,한국주식,27650.0,27650.0,"₩27,650",05-26 09:29 KST,KIS 현재가 · 05-26 09:29 KST,KIS 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:41:41 KST
373220,373220,373220,373220,LG에너지솔루션,LG에너지솔루션,한국주식,한국주식,408500.0,408500.0,"₩408,500",2026-05-26 09:37:07 KST,KIS 현재가 · 2026-05-26 09:37:07 KST,KIS 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:41:41 KST
375500,375500,375500,375500,DL이앤씨,DL이앤씨,한국주식,한국주식,85100.0,85100.0,"₩85,100",2026-05-26 09:37:07 KST,KIS 현재가 · 2026-05-26 09:37:07 KST,KIS 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:41:41 KST
047810,047810,047810,047810,한국항공우주,한국항공우주,한국주식,한국주식,168400.0,168400.0,"₩168,400",05-26 09:29 KST,KIS 현재가 · 05-26 09:29 KST,KIS 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:41:41 KST
015760,015760,015760,015760,한국전력,한국전력,한국주식,한국주식,40800.0,40800.0,"₩40,800",05-26 09:29 KST,KIS 현재가 · 05-26 09:29 KST,KIS 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:41:41 KST
005380,005380,005380,005380,현대차,현대차,한국주식,한국주식,684000.0,684000.0,"₩684,000",05-26 09:29 KST,KIS 현재가 · 05-26 09:29 KST,KIS 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:41:41 KST
009540,009540,009540,009540,HD한국조선해양,HD한국조선해양,한국주식,한국주식,435500.0,435500.0,"₩435,500",05-26 09:29 KST,KIS 현재가 · 05-26 09:29 KST,KIS 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:41:41 KST
042700,042700,042700,042700,한미반도체,한미반도체,한국주식,한국주식,323500.0,323500.0,"₩323,500",05-26 09:29 KST,KIS 현재가 · 05-26 09:29 KST,KIS 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:41:41 KST
007660,007660,007660,007660,이수페타시스,이수페타시스,한국주식,한국주식,142800.0,142800.0,"₩142,800",05-26 09:29 KST,KIS 현재가 · 05-26 09:29 KST,KIS 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:41:41 KST
403870,403870,403870,403870,HPSP,HPSP,한국주식,한국주식,65900.0,65900.0,"₩65,900",2026-05-26 09:37:07 KST,KIS 현재가 · 2026-05-26 09:37:07 KST,KIS 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:41:41 KST
058470,058470,058470,058470,리노공업,리노공업,한국주식,한국주식,111200.0,111200.0,"₩111,200",05-26 09:29 KST,KIS 현재가 · 05-26 09:29 KST,KIS 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:41:41 KST
095340,095340,095340,095340,ISC,ISC,한국주식,한국주식,240000.0,240000.0,"₩240,000",05-26 09:29 KST,KIS 현재가 · 05-26 09:29 KST,KIS 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:41:41 KST
