시장,항목,행수,상태,설명
국장,첫 화면 카드,5,정상,첫 화면 5개 카드 고정
<<<<<<< HEAD
국장,선택종목 요약,2,정상,장중 미수신 시 직전장/후보 파일 기준 보강
국장,뉴스 위치,8,정상,오늘 화면 맨 아래와 뉴스·재무 요약 허브에서 표시
국장,미래확률,2,초기 추정,누적 기록 기반으로 중복 제거 후 표시
미장,첫 화면 카드,5,정상,첫 화면 5개 카드 고정
미장,선택종목 요약,4,정상,장중 미수신 시 직전장/후보 파일 기준 보강
미장,뉴스 위치,8,정상,오늘 화면 맨 아래와 뉴스·재무 요약 허브에서 표시
미장,미래확률,4,초기 추정,누적 기록 기반으로 중복 제거 후 표시
=======
국장,선택종목 요약,4,정상,장중 미수신 시 직전장/후보 파일 기준 보강
국장,뉴스 위치,8,정상,오늘 화면 맨 아래와 뉴스·재무 요약 허브에서 표시
국장,미래확률,3,초기 추정,누적 기록 기반으로 중복 제거 후 표시
미장,첫 화면 카드,5,정상,첫 화면 5개 카드 고정
미장,선택종목 요약,5,정상,장중 미수신 시 직전장/후보 파일 기준 보강
미장,뉴스 위치,8,정상,오늘 화면 맨 아래와 뉴스·재무 요약 허브에서 표시
미장,미래확률,5,초기 추정,누적 기록 기반으로 중복 제거 후 표시
>>>>>>> 406077dbd4079231d812b3e19dce6fc7291c4dce
