market,symbol,name,corp_code,title,date,rcept_no,source,url,collection_status,collection_message,collected_at
kr,,에프비2606유동화전문유한회사,02034180,[기재정정]자산양도등의등록신청서,20260716,20260716000197,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260716000197,000,정상,2026-07-20 09:35:20
kr,,에프에스2606유동화전문유한회사,02033792,[기재정정]자산양도등의등록신청서,20260714,20260714000202,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260714000202,000,정상,2026-07-20 09:35:20
kr,143540,영우디에스피,00569646,주식등의대량보유상황보고서(일반),20260720,20260716000844,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260716000844,000,정상,2026-07-20 09:35:20
kr,,우리카드이천이십사의일유동화전문유한회사,01877339,[기재정정]자산양도등의등록신청서,20260716,20260716000255,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260716000255,000,정상,2026-07-20 09:35:20
kr,,우리카드이천이십육의일유동화전문유한회사,01992601,[기재정정]자산양도등의등록신청서,20260716,20260716000251,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260716000251,000,정상,2026-07-20 09:35:20
kr,,우리카드이천이십이의이유동화전문유한회사,01674370,[기재정정]자산양도등의등록신청서,20260716,20260716000325,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260716000325,000,정상,2026-07-20 09:35:20
kr,,제이비우리캐피탈,00234971,[기재정정]투자설명서(일괄신고),20260720,20260716000846,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260716000846,000,정상,2026-07-20 09:35:20
kr,,하나카드이천이십삼의일유동화전문유한회사,01793338,[기재정정]자산양도등의등록신청서,20260716,20260716000306,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260716000306,000,정상,2026-07-20 09:35:20
kr,,하나카드이천이십일의일유동화전문유한회사,01568954,[기재정정]자산양도등의등록신청서,20260716,20260716000294,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260716000294,000,정상,2026-07-20 09:35:20
kr,001800,오리온홀딩스,00117577,[기재정정]주권관련사채권의취득결정(자율공시)(종속회사의주요경영사항)              ,20260716,20260716801118,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260716801118,000,정상,2026-07-20 09:35:20
kr,030610,교보증권,00113359,주주총회소집결의              ,20260716,20260716801117,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260716801117,000,정상,2026-07-20 09:35:20
kr,009320,아진전자부품,00111689,최대주주변경              ,20260716,20260716801106,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260716801106,000,정상,2026-07-20 09:35:20
kr,001080,만호제강,00120872,[기재정정]회계처리기준위반에따른임원의해임권고조치              ,20260716,20260716801090,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260716801090,000,정상,2026-07-20 09:35:20
kr,054180,메디콕스,00356839,타인에대한채무보증결정              ,20260716,20260716901085,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260716901085,000,정상,2026-07-20 09:35:20
