market,symbol,name,inHoldings,inWatchlist,inTargets,inRecommendations,inCurrentPriceFile,dataStatus,missingReason,source
kr,000100,유한양행,false,true,true,true,false,PRICE_PENDING,current_price_not_collected,candidate_universe_kr.csv|kis_collection_targets_kr.csv|watchlist_kr.csv|watchlist_kr_growth.csv
kr,000270,기아,false,true,true,true,false,PRICE_PENDING,current_price_not_collected,candidate_universe_kr.csv|kis_collection_targets_kr.csv|watchlist_kr.csv|watchlist_kr_growth.csv
kr,000660,SK하이닉스,false,true,true,true,true,NORMAL,,candidate_universe_kr.csv|kis_collection_targets_kr.csv|watchlist_kr.csv|watchlist_kr_growth.csv
kr,000720,현대건설,false,true,true,true,false,PRICE_PENDING,current_price_not_collected,candidate_universe_kr.csv|kis_collection_targets_kr.csv|mone_v36_final_recommendations_kr_aggressive_mid.csv|mone_v36_final_recommendations_kr_aggressive_short.csv|mone_v36_final_recommendations_kr_aggressive_swing.csv|mone_v36_final_recommendations_kr_balanced_short.csv|mone_v36_final_recommendations_kr_balanced_swing.csv|mone_v36_final_recommendations_kr_conservative_mid.csv|mone_v36_final_recommendations_kr_conservative_short.csv|mone_v36_final_recommendations_kr_conservative_swing.csv|watchlist_kr.csv|watchlist_kr_growth.csv
kr,000810,삼성화재,false,false,true,true,false,PRICE_PENDING,current_price_not_collected,candidate_universe_kr.csv|kis_collection_targets_kr.csv
kr,000990,DB하이텍,false,true,true,true,false,PRICE_PENDING,current_price_not_collected,candidate_universe_kr.csv|kis_collection_targets_kr.csv|watchlist_kr.csv|watchlist_kr_growth.csv
kr,001440,대한전선,false,true,true,true,false,PRICE_PENDING,current_price_not_collected,candidate_universe_kr.csv|kis_collection_targets_kr.csv|mone_v36_final_recommendations_kr_aggressive_mid.csv|mone_v36_final_recommendations_kr_aggressive_short.csv|mone_v36_final_recommendations_kr_aggressive_swing.csv|mone_v36_final_recommendations_kr_balanced_mid.csv|mone_v36_final_recommendations_kr_balanced_short.csv|mone_v36_final_recommendations_kr_balanced_swing.csv|mone_v36_final_recommendations_kr_conservative_mid.csv|mone_v36_final_recommendations_kr_conservative_short.csv|mone_v36_final_recommendations_kr_conservative_swing.csv|watchlist_kr.csv|watchlist_kr_growth.csv
kr,003490,대한항공,false,true,true,true,false,PRICE_PENDING,current_price_not_collected,candidate_universe_kr.csv|kis_collection_targets_kr.csv|watchlist_kr.csv|watchlist_kr_growth.csv
kr,003550,LG,false,false,true,true,false,PRICE_PENDING,current_price_not_collected,candidate_universe_kr.csv|kis_collection_targets_kr.csv
kr,003620,KG모빌리티,false,false,true,true,false,PRICE_PENDING,current_price_not_collected,candidate_universe_kr.csv|kis_collection_targets_kr.csv
kr,003670,포스코퓨처엠,false,true,true,true,false,PRICE_PENDING,current_price_not_collected,candidate_universe_kr.csv|kis_collection_targets_kr.csv|watchlist_kr.csv|watchlist_kr_growth.csv
kr,004020,현대제철,false,false,true,true,false,PRICE_PENDING,current_price_not_collected,candidate_universe_kr.csv|kis_collection_targets_kr.csv
