구분,항목,값,해석
백테스트,breakout_20,-,저장된 beta 리포트 기준
백테스트,ma10_ma20,-,저장된 beta 리포트 기준
백테스트,mean_reversion_rsi,-,저장된 beta 리포트 기준
백테스트,pullback_ma20,-,저장된 beta 리포트 기준
복기학습,status,OK,prediction_learning_summary.json
