파일,원본행수,KR행,US행,선택행,사용시장
v78_flow_clean_kr.csv,12,12,0,12,한국주식
v67_flow_kr.csv,5,0,5,0,한국주식
intraday_flow_snapshot-Kang.csv,80,22,58,12,한국주식
intraday_realtime_snapshot-Kang.csv,145,71,74,12,한국주식
intraday_orderbook_snapshot-Kang.csv,145,71,74,12,한국주식
intraday_flow_snapshot-kang.csv,80,22,58,12,한국주식
intraday_realtime_snapshot-kang.csv,145,71,74,12,한국주식
intraday_orderbook_snapshot-kang.csv,145,71,74,12,한국주식
intraday_flow_snapshot.csv,5,0,5,0,한국주식
intraday_realtime_snapshot.csv,5,0,5,0,한국주식
intraday_orderbook_snapshot.csv,5,0,5,0,한국주식
intraday_data_coverage_diagnosis-Kang.csv,145,71,74,12,한국주식
intraday_data_coverage_diagnosis.csv,5,0,5,0,한국주식
