market,mode,modeLabel,horizon,horizonLabel,primaryMode,primaryHorizon,profileReason,symbol,name,asOfDate,decisionBucket,timingLabel,timingReason,expectedEntryPrice,newEntryDecision,holderDecision,buyTiming,sellTiming,entry,stop,target,rawEntry,rawStop,rawTarget,rawModelScore,scoreComponentsJson,scoreWeightsJson,correctionInputContractVersion,probability,probabilityText,probabilityMeasured,probabilitySource,probabilitySampleCount,modelScore,expectedPrice,opportunityScore,entryScore,riskScore,eventRiskScore,newsReliabilityScore,newsRiskPenalty,finalRankScore,finalScore,baseScore,upsideScore,momentumScore,rrScore,qualityScore,expectedValue,evNegative,rrActual,maConvergence,supplySignal,surgeLabel,eventBadges,marketRegime,marketRegimeLabel,marketRegimeAdjust,executionStatus,exitStatus,pnlText,excludedFromReturn,sourceBucket,dataStatus,priceSource,currentPrice,generatedAt,correctionApplied,correctionConfidence,correctionSummary,appliedCorrectionVersion,modelVersion,codeVersion,verifiedWinRate,winRateSampleCount,winRateConfidenceWeight,rsi14,volumeRatio20,distanceToMa20,atr14Pct,maFullAlign,mdd20,recentMomentum5,setupScore,setupBucket,setupReason,accumulationScore,convergenceScore,pullbackPreScore,sectorLeadScore,supplyPreScore,catalystScore,overextensionRisk,overextensionReasons,momentumContinuationScore,trendStrengthScore,relativeStrengthScore,nearHighScore,volumeConfirmationScore,sectorLeaderScore,supplyContinuationScore
us,conservative,보수,swing,스윙,conservative,swing,"stable RSI, near MA20, swing pullback",MPWR,Monolithic Power,2026-08-18,대기 관찰,3~5일 후 진입,"20일선 -2.4%, 3~5일 후 반등 기대","$1,303.20",조건부 진입,보유자는 목표가·손절가 대응,기준가 도달 대기,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,"$1,329.80","$1,198.00","$1,725.00",1329.8,1198,1725,75.0964,"{""entryScore"": 75.0, ""momentumScore"": 41.9, ""qualityScore"": 75.0, ""riskScore"": 70.2, ""rrScore"": 46.6, ""upsideScore"": 39.7}","{""entryScore"": 0.2, ""momentumScore"": 0.15, ""newsRiskPenalty"": 0.05, ""qualityScore"": 0.1, ""riskScore"": 0.35, ""rrScore"": 0.15, ""upsideScore"": 0.0}",correction-shadow-input-v1,40.1,실측 기반 40.1%,True,OBSERVED_WIN_RATE,37,75.1,"$1,363.17",40.6,75.0,70.2,0,50,0,75.1,75.1,72.3,39.7,41.9,46.6,75.0,5.06,False,3.0,False,NEUTRAL,눌림목매수,,BULL,강세장,5.0,대기,,,False,ohlcv_quant,NORMAL,live,1329.8,2026-08-19T12:49:56.531398+00:00,False,0.9,correction quarantined: no valid promotion lineage,458,mone-v36-deterministic-ranker-v1,0581ddd4bd6166e7514a06079b7309ce7b63fe6f,40.1,37,0.37,57.1,1.41,-2.44,6.6,False,-10.7,-4.92,12.0,섹터후발,"섹터 전반 강세, 이 종목은 아직 후발 — 대장주 추세 확인 후 검토",0.0,0.0,4.0,8.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us,conservative,보수,swing,스윙,conservative,swing,"stable RSI, near MA20",CAT,Caterpillar,2026-08-18,기다림,관망,점수·추세 조건 미충족,,조건부 진입,보유자는 목표가·손절가 대응,기준가 도달 대기,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$840.87,$788.00,$999.00,840.87,788,999,69.3608,"{""entryScore"": 75.0, ""momentumScore"": 46.3, ""qualityScore"": 75.0, ""riskScore"": 67.8, ""rrScore"": 45.1, ""upsideScore"": 45.1}","{""entryScore"": 0.2, ""momentumScore"": 0.15, ""newsRiskPenalty"": 0.05, ""qualityScore"": 0.1, ""riskScore"": 0.35, ""rrScore"": 0.15, ""upsideScore"": 0.0}",correction-shadow-input-v1,38.6,실측 기반 38.6%,True,OBSERVED_WIN_RATE,37,69.4,$857.15,45.6,75.0,67.8,0,50,0,69.4,69.4,66.9,45.1,46.3,45.1,75.0,2.7,False,2.99,False,NEUTRAL,눌림목매수,,BULL,강세장,5.0,대기,,,False,ohlcv_quant,NORMAL,live,840.87,2026-08-19T12:49:56.531398+00:00,False,0.9,correction quarantined: no valid promotion lineage,458,mone-v36-deterministic-ranker-v1,0581ddd4bd6166e7514a06079b7309ce7b63fe6f,38.6,37,0.37,63.2,0.92,-1.35,4.18,False,-12.69,-0.3,13.0,섹터후발,"섹터 전반 강세, 이 종목은 아직 후발 — 대장주 추세 확인 후 검토",0.0,5.0,0.0,8.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us,conservative,보수,swing,스윙,conservative,swing,near MA20,QUBT,Quantum Computing,2026-08-18,오늘 진입,즉시 진입,20일선 +0.1% — 최적 진입 구간,,조건부 진입,보유자는 목표가·손절가 대응,조건부 매수 등록,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$8.49,$8.00,$11.00,8.49,8,11,67.98,"{""entryScore"": 75.0, ""momentumScore"": 46.5, ""qualityScore"": 75.0, ""riskScore"": 65.1, ""rrScore"": 42.3, ""upsideScore"": 45.7}","{""entryScore"": 0.2, ""momentumScore"": 0.15, ""newsRiskPenalty"": 0.05, ""qualityScore"": 0.1, ""riskScore"": 0.35, ""rrScore"": 0.15, ""upsideScore"": 0.0}",correction-shadow-input-v1,38.2,실측 기반 38.2%,True,OBSERVED_WIN_RATE,37,68.0,$8.64,46.0,75.0,65.1,0,50,0,68.0,68.0,65.6,45.7,46.5,42.3,75.0,6.9,False,2.51,False,NEUTRAL,눌림목매수,,BULL,강세장,5.0,체결,,,False,ohlcv_quant,NORMAL,live,8.49,2026-08-19T12:49:56.531398+00:00,False,0.9,correction quarantined: no valid promotion lineage,458,mone-v36-deterministic-ranker-v1,0581ddd4bd6166e7514a06079b7309ce7b63fe6f,38.2,37,0.37,66.3,0.91,0.13,5.95,False,-8.29,-4.8,7.5,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,4.0,0.0,0.0,3.5,0.0,0.0,0.0,,1.8,0.0,1.8,0.0,0.0,0.0,0.0
