시장,종목코드,종목명,분류,기준가,1일상승확률,3일상승확률,5일상승확률,신뢰도,다음 행동
한국주식,,DB하이텍 (000990),오늘 확인,"181,100원",58%,61%,63%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,DL이앤씨 (375500),오늘 확인,"82,200원",58%,61%,63%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,HD현대중공업 (329180),오늘 확인,"680,000원",58%,61%,63%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,LG유플러스 (032640),오늘 확인,"15,760원",58%,61%,63%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,SK텔레콤 (017670),오늘 확인,"102,800원",58%,61%,63%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,SK하이닉스 (000660),오늘 확인,"1,941,000원",58%,61%,63%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,두산테스나 (131970),오늘 확인,"171,600원",58%,61%,63%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,리노공업 (058470),오늘 확인,"106,500원",58%,61%,63%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,삼성전자 (005930),오늘 확인,"292,500원",58%,61%,63%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,심텍 (222800),오늘 확인,"131,800원",58%,61%,63%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,한화에어로스페이스 (012450),오늘 확인,"1,261,000원",58%,61%,63%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,DB하이텍 (000990),눌림목,"181,100원",55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,DL이앤씨 (375500),눌림목,"82,200원",55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,HD현대중공업 (329180),눌림목,"680,000원",55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,LG유플러스 (032640),눌림목,"15,760원",55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,SK텔레콤 (017670),눌림목,"102,800원",55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,SK하이닉스 (000660),눌림목,"1,941,000원",55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,두산테스나 (131970),눌림목,"171,600원",55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,리노공업 (058470),눌림목,"106,500원",55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,삼성전자 (005930),눌림목,"292,500원",55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,심텍 (222800),눌림목,"131,800원",55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,한화에어로스페이스 (012450),눌림목,"1,261,000원",55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,131970,두산테스나,실적·저평가,-,54%,57%,59%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,222800,심텍,실적·저평가,-,54%,57%,59%,기록 축적 중,실제 결과가 쌓이면 자동 보정
한국주식,,DB하이텍 (000990),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
한국주식,,DL이앤씨 (375500),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
한국주식,,HD현대중공업 (329180),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
한국주식,,LG유플러스 (032640),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
한국주식,,SK텔레콤 (017670),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
한국주식,,SK하이닉스 (000660),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
한국주식,,두산테스나 (131970),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
한국주식,,리노공업 (058470),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
한국주식,,삼성전자 (005930),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
한국주식,,심텍 (222800),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
한국주식,,한화에어로스페이스 (012450),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
