symbol,market,source_group,quote_available,quote_partial_available,quote_full_available,orderbook_available,flow_available,sector_flow_available,quote_status,orderbook_status,flow_status,quote_source,quote_failure_reason,orderbook_failure_reason,flow_failure_reason,normalized_symbol,symbol_format_valid,market_session,likely_root_cause,recoverable,recommended_action,updated_at
000100,한국주식,unknown,False,False,False,False,False,False,market_closed,market_closed,unknown,missing,market_closed,market_closed,unknown,000100,True,closed,market_closed,False,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
000270,한국주식,unknown,False,False,False,False,False,False,market_closed,market_closed,unknown,missing,market_closed,market_closed,unknown,000270,True,closed,market_closed,False,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
000660,한국주식,unknown,False,False,False,False,False,False,market_closed,market_closed,market_closed,missing,market_closed,market_closed,market_closed,000660,True,closed,market_closed,False,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
000720,한국주식,unknown,False,False,False,False,False,False,market_closed,market_closed,market_closed,missing,market_closed,market_closed,market_closed,000720,True,closed,market_closed,False,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
000810,한국주식,unknown,False,False,False,False,False,False,market_closed,market_closed,market_closed,missing,market_closed,market_closed,market_closed,000810,True,closed,market_closed,False,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
000990,한국주식,unknown,False,False,False,False,False,False,market_closed,market_closed,unknown,missing,market_closed,market_closed,unknown,000990,True,closed,market_closed,False,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
001440,한국주식,unknown,False,False,False,False,False,False,market_closed,market_closed,unknown,missing,market_closed,market_closed,unknown,001440,True,closed,market_closed,False,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
003490,한국주식,unknown,False,False,False,False,False,False,market_closed,market_closed,market_closed,missing,market_closed,market_closed,market_closed,003490,True,closed,market_closed,False,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
003550,한국주식,unknown,False,False,False,False,False,False,market_closed,market_closed,market_closed,missing,market_closed,market_closed,market_closed,003550,True,closed,market_closed,False,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
003670,한국주식,unknown,False,False,False,False,False,False,market_closed,market_closed,unknown,missing,market_closed,market_closed,unknown,003670,True,closed,market_closed,False,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
004020,한국주식,unknown,False,False,False,False,False,False,market_closed,market_closed,market_closed,missing,market_closed,market_closed,market_closed,004020,True,closed,market_closed,False,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
005380,한국주식,unknown,False,False,False,False,False,False,market_closed,market_closed,market_closed,missing,market_closed,market_closed,market_closed,005380,True,closed,market_closed,False,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
005490,한국주식,unknown,False,False,False,False,False,False,market_closed,market_closed,market_closed,missing,market_closed,market_closed,market_closed,005490,True,closed,market_closed,False,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
005930,한국주식,unknown,False,False,False,False,False,False,market_closed,market_closed,unknown,missing,market_closed,market_closed,unknown,005930,True,closed,market_closed,False,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
006260,한국주식,unknown,False,False,False,False,False,False,market_closed,market_closed,unknown,missing,market_closed,market_closed,unknown,006260,True,closed,market_closed,False,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
006360,한국주식,unknown,False,False,False,False,False,False,market_closed,market_closed,unknown,missing,market_closed,market_closed,unknown,006360,True,closed,market_closed,False,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
006400,한국주식,unknown,False,False,False,False,False,False,market_closed,market_closed,unknown,missing,market_closed,market_closed,unknown,006400,True,closed,market_closed,False,장마감 시간: 장중 재확인 필요,2026-05-20 22:54:55
