ticker,market,현재가,우선진입가,손절가,1차목표,손익비,진입가대비괴리율%,확신도,매수금지점수,매수금지등급,추천행동,리스크점수,리스크사유,기존판단
ANET,미국주식,,147.55887447014146,137.99831705375567,160.5338634689194,1.36,,49.0,25.0,매수금지 아님,소액/분할만,20,손익비 1:2 미만 / 확신도 낮음,
GE,미국주식,,301.57511162348334,296.2076479989543,307.6564652427157,1.13,,55.0,30.0,매수금지 아님,소액/분할만,21,손익비 1:2 미만,
CRCL,미국주식,,110.50928150611708,104.0315919454012,119.24247074662478,1.35,,50.0,50.0,주의,소액/분할만,21,손익비 1:2 미만 / 확신도 낮음,
003670,한국주식,,227706.1004463201,217256.71797356024,241521.9876541469,1.32,,50.0,40.0,주의,소액/분할만,21,손익비 1:2 미만 / 확신도 낮음,
005490,한국주식,,422293.3247890285,405834.1551000375,443705.245673456,1.3,,50.0,50.0,주의,소액/분할만,21,손익비 1:2 미만 / 확신도 낮음,
051910,한국주식,,349661.57884866785,331334.9373527418,374165.91536816297,1.34,,50.0,40.0,주의,소액/분할만,21,손익비 1:2 미만 / 확신도 낮음,
HUT,미국주식,,97.04287884425882,88.5710028039645,110.2503138652256,1.56,,43.0,30.0,매수금지 아님,소액/분할만,21,손익비 1:2 미만 / 확신도 낮음,
ACHR,미국주식,,6.057862441204801,5.822402672032897,6.447989037968359,1.66,,41.0,15.0,매수금지 아님,소액/분할만,21,손익비 1:2 미만 / 확신도 낮음,
KTOS,미국주식,,51.99648320309143,50.27136261309809,55.0270212015348,1.76,,37.0,50.0,매수금지 아님,소액/분할만,22,손익비 1:2 미만 / 확신도 낮음,
403870,한국주식,,53634.45740349227,50562.78009459637,57973.92486156117,1.41,,50.0,55.0,관망 우위,소액/분할만,23,손익비 1:2 미만 / 확신도 낮음,
HOOD,미국주식,,75.56443509194764,72.6951096957075,79.72495691649586,1.45,,43.0,25.0,매수금지 아님,소액/분할만,23,손익비 1:2 미만 / 확신도 낮음,
QUBT,미국주식,,11.84720217238471,10.865714726659505,14.298246811294556,2.5,,31.0,35.0,주의,소액/분할만,23,확신도 낮음,
COIN,미국주식,,192.5137811343405,184.7698298387488,211.99183083641287,2.52,,31.0,10.0,매수금지 아님,소액/분할만,23,확신도 낮음,
086790,한국주식,,119911.06959901564,114735.68253777422,128898.7792929263,1.74,,50.0,65.0,관망 우위,소액/분할만,25,손익비 1:2 미만 / 확신도 낮음,
AVGO,미국주식,,405.5105636765065,396.47901344933337,418.6063115059075,1.45,,41.0,20.0,매수금지 아님,소액/분할만,25,손익비 1:2 미만 / 확신도 낮음,
MU,미국주식,,709.5115934708056,627.1746879022329,824.3411559592372,1.39,,50.0,60.0,관망 우위,소액/분할만,28,손익비 1:2 미만 / 확신도 낮음,
ETN,미국주식,,378.2608296521448,359.21716352543365,403.6418377354288,1.33,,41.0,45.0,주의,소액/분할만,28,손익비 1:2 미만 / 확신도 낮음,
SMCI,미국주식,,33.684625287198685,31.147895849346643,37.15738711573768,1.37,,39.0,40.0,주의,소액/분할만,28,손익비 1:2 미만 / 확신도 낮음,
SNOW,미국주식,,168.66586978630005,160.7946676865339,180.07911283096098,1.45,,37.0,15.0,매수금지 아님,소액/분할만,28,손익비 1:2 미만 / 확신도 낮음,
INTC,미국주식,,117.84959470165003,112.3102366849731,130.54699695886342,2.29,,25.0,50.0,주의,소액/분할만,28,확신도 낮음,
HIMS,미국주식,,23.39779557621329,22.32748938073129,25.596733294919524,2.05,,25.0,45.0,주의,소액/분할만,28,확신도 낮음,
COHR,미국주식,,368.88100424607575,353.07195832221714,406.0643765701881,2.35,,24.0,40.0,주의,소액/분할만,28,확신도 낮음,
MSFT,미국주식,,422.4561379644687,412.9007767825828,436.3114116782032,1.45,,37.0,35.0,주의,소액/분할만,29,손익비 1:2 미만 / 확신도 낮음,
RDDT,미국주식,,147.8895611489251,143.10150615351816,155.4604493300783,1.58,,33.0,20.0,매수금지 아님,소액/분할만,29,손익비 1:2 미만 / 확신도 낮음,
NET,미국주식,,212.4068207333259,204.38839684739017,225.7558750036981,1.66,,31.0,35.0,주의,소액/분할만,29,손익비 1:2 미만 / 확신도 낮음,
BMNR,미국주식,,18.819693174402094,18.168006241057714,21.02536953059628,3.38,,23.0,50.0,매수금지 아님,소액/분할만,29,확신도 낮음,
ARM,미국주식,,296.00783999799285,266.878003206206,338.2461033460838,1.45,,35.0,10.0,매수금지 아님,소액/분할만,30,손익비 1:2 미만 / 확신도 낮음,
ALAB,미국주식,,298.2451826725966,264.58721341870233,348.73213655343807,1.5,,33.0,45.0,주의,소액/분할만,31,손익비 1:2 미만 / 확신도 낮음,
068270,한국주식,,186169.84519681256,181818.58796504256,199908.8713452948,3.16,,21.0,25.0,매수금지 아님,소액/분할만,31,확신도 낮음,
RGTI,미국주식,,22.68598559981232,20.23385392747413,26.241576524702687,1.45,,33.0,5.0,매수금지 아님,소액/분할만,32,손익비 1:2 미만 / 확신도 낮음,
034020,한국주식,,109773.23317257548,105050.40826849524,115979.91197243264,1.31,,50.0,65.0,관망 우위,소액/분할만,33,손익비 1:2 미만 / 확신도 낮음,
DUOL,미국주식,,105.9463474388375,100.63663375939014,113.75415435772004,1.47,,31.0,50.0,주의,소액/분할만,33,손익비 1:2 미만 / 확신도 낮음,
VRT,미국주식,,322.466464252132,311.6836972840528,373.2545277052537,4.71,,18.0,5.0,매수금지 아님,소액/분할만,33,확신도 낮음,
LUNR,미국주식,,34.93191460969375,29.800657408764824,42.37223755104069,1.45,,29.0,50.0,매수금지 아님,소액/분할만,34,손익비 1:2 미만 / 확신도 낮음,
JOBY,미국주식,,10.511115529334216,9.81229690189484,11.524402539121311,1.45,,29.0,20.0,매수금지 아님,소액/분할만,34,손익비 1:2 미만 / 확신도 낮음,
270,한국주식,,180799.31075,170781.5805045452,203442.03223,2.26,,17.0,50.0,,소액/분할만,34,확신도 낮음,
18260,한국주식,,178456.656645163,174233.75591823977,193077.29449425457,3.46,,17.0,50.0,,소액/분할만,34,확신도 낮음,
68270,한국주식,,187801.2777348929,184110.38760648103,200177.7223921622,3.35,,17.0,50.0,,소액/분할만,34,확신도 낮음,
100,한국주식,,83717.70525000001,82301.57977696348,89934.7579775384,4.39,,17.0,50.0,,소액/분할만,34,확신도 낮음,
3490,한국주식,,25384.687875,24556.188349702297,27180.66971318857,2.17,,17.0,50.0,,소액/분할만,34,확신도 낮음,
86790,한국주식,,123063.58005,119913.41961142856,130348.17419264,2.31,,17.0,50.0,,소액/분할만,34,확신도 낮음,
55550,한국주식,,94569.9977954358,93122.14304977562,98601.72528943847,2.78,,17.0,50.0,,소액/분할만,34,확신도 낮음,
IREN,미국주식,,53.20133746313779,49.63469815020841,64.16348944512909,3.07,,17.0,25.0,매수금지 아님,소액/분할만,34,확신도 낮음,
095340,한국주식,,219619.7028908985,202727.6555257128,244113.1715704178,1.45,,50.0,70.0,관망 우위,소액/분할만,35,손익비 1:2 미만 / 확신도 낮음,
066970,한국주식,,155364.73552718398,140356.71596185715,177126.36389690783,1.45,,50.0,70.0,관망 우위,소액/분할만,35,손익비 1:2 미만 / 확신도 낮음,
IONQ,미국주식,,59.26146403591442,51.35080621021088,70.34289233482704,1.4,,29.0,30.0,매수금지 아님,소액/분할만,35,손익비 1:2 미만 / 확신도 낮음,
207940,한국주식,,1376959.8358857145,1352840.1246795442,1440606.138453415,2.64,,16.0,45.0,주의,소액/분할만,35,확신도 낮음,
SMR,미국주식,,11.309481758506724,10.71087126731376,12.11049090239747,1.34,,31.0,20.0,매수금지 아님,소액/분할만,36,손익비 1:2 미만 / 확신도 낮음,
OKLO,미국주식,,65.35031667301135,61.28487782471242,70.85335438652805,1.35,,29.0,30.0,매수금지 아님,소액/분할만,36,손익비 1:2 미만 / 확신도 낮음,
RKLB,미국주식,,126.82458431498269,111.41794717530394,148.34380502259552,1.4,,29.0,5.0,매수금지 아님,소액/분할만,36,손익비 1:2 미만 / 확신도 낮음,
000100,한국주식,,82442.37686966108,80605.38370066536,86957.54755161103,2.46,,13.0,50.0,주의,소액/분할만,37,확신도 낮음,
ASTS,미국주식,,97.8542663271964,89.04374056188193,110.6295286869024,1.45,,25.0,50.0,매수금지 아님,소액/분할만,38,손익비 1:2 미만 / 확신도 낮음,
131970,한국주식,,170392.06790857142,159485.40512861725,194632.35,2.22,,12.0,20.0,매수금지 아님,소액/분할만,38,확신도 낮음,
DDOG,미국주식,,217.7440920647068,199.9266770930038,243.5005958959443,1.45,,25.0,35.0,주의,소액/분할만,39,손익비 1:2 미만 / 확신도 낮음,
35720,한국주식,,42376.52161024,41535.40438852336,43819.90736,1.72,,17.0,50.0,,소액/분할만,39,손익비 1:2 미만 / 확신도 낮음,
035720,한국주식,,40712.05314678859,38913.81274176544,46692.24468557524,3.33,,11.0,50.0,매수금지 아님,소액/분할만,39,확신도 낮음,
105560,한국주식,,156704.13611267746,151338.87965426367,163579.0973085019,1.28,,27.0,50.0,매수금지 아님,소액/분할만,40,손익비 1:2 미만 / 확신도 낮음,
CRDO,미국주식,,195.7115593336337,176.43688382809924,222.42970970316708,1.39,,22.0,35.0,주의,소액/분할만,42,손익비 1:2 미만 / 확신도 낮음,
MDB,미국주식,,321.0977236,297.2768571801436,353.6819710192934,1.37,,22.0,10.0,매수금지 아님,소액/분할만,42,손익비 1:2 미만 / 확신도 낮음,
138040,한국주식,,109568.70548656333,105794.5068261978,115041.29354409328,1.45,,21.0,50.0,주의,소액/분할만,42,손익비 1:2 미만 / 확신도 낮음,
58470,한국주식,,112437.0138301728,108234.21379820188,127618.31604099616,3.61,,7.0,50.0,,소액/분할만,42,확신도 낮음,
6260,한국주식,,491295.45,467914.7277714285,580883.7941069354,3.83,,7.0,50.0,,소액/분할만,42,확신도 낮음,
1440,한국주식,,63419.49296703297,59609.89039692942,75214.20196458466,3.1,,7.0,50.0,,소액/분할만,42,확신도 낮음,
12450,한국주식,,1287591.2747573871,1250538.339884481,1392774.7260635945,2.84,,7.0,50.0,,소액/분할만,42,확신도 낮음,
6400,한국주식,,625368.9858285715,604676.0080077229,717421.8753024,4.45,,7.0,50.0,,소액/분할만,42,확신도 낮음,
3670,한국주식,,252019.22175000003,236138.29729881097,297120.5311150684,2.84,,7.0,50.0,,소액/분할만,42,확신도 낮음,
5490,한국주식,,465430.2325,432877.8814498909,538088.0005632,2.23,,7.0,50.0,,소액/분할만,42,확신도 낮음,
720,한국주식,,156972.07441813333,152229.00320338327,168312.21683029336,2.39,,7.0,50.0,,소액/분할만,42,확신도 낮음,
86520,한국주식,,133014.63598029446,128605.79901151903,153263.9077352682,4.59,,7.0,50.0,,소액/분할만,42,확신도 낮음,
15760,한국주식,,40834.12837500001,38957.50092196572,43555.23818189973,1.45,,17.0,50.0,,소액/분할만,44,손익비 1:2 미만 / 확신도 낮음,
35420,한국주식,,198116.55,190938.84795410288,208524.21796655087,1.45,,17.0,50.0,,소액/분할만,44,손익비 1:2 미만 / 확신도 낮음,
NBIS,미국주식,,204.27032397749667,175.13365359080046,246.51849603820625,1.45,,17.0,50.0,매수금지 아님,소액/분할만,44,손익비 1:2 미만 / 확신도 낮음,
086520,한국주식,,126100.00542676696,120981.96343895535,145137.8399250714,3.72,,5.0,25.0,매수금지 아님,소액/분할만,44,확신도 낮음,
9540,한국주식,,462642.01575,440972.1358068308,494063.3416675954,1.45,,17.0,50.0,,소액/분할만,45,손익비 1:2 미만 / 확신도 낮음,
42660,한국주식,,121478.08996526762,118474.73073936708,125832.96084282338,1.45,,17.0,50.0,,소액/분할만,45,손익비 1:2 미만 / 확신도 낮음,
APP,미국주식,,486.2725330915959,455.3585318548325,531.0978348849027,1.45,,17.0,40.0,주의,소액/분할만,45,손익비 1:2 미만 / 확신도 낮음,
015760,한국주식,,38634.14924522796,37522.78709303678,42222.64665126698,3.23,,3.0,30.0,매수금지 아님,소액/분할만,45,확신도 낮음,
10120,한국주식,,270725.58,236842.13635578947,331402.42294784,1.79,,7.0,50.0,,소액/분할만,46,손익비 1:2 미만 / 확신도 낮음,
42700,한국주식,,393436.0326541033,377555.0963083855,421701.5012864,1.78,,7.0,50.0,,소액/분할만,46,손익비 1:2 미만 / 확신도 낮음,
7660,한국주식,,130015.39318131338,124266.77868941234,139970.4859395657,1.73,,7.0,50.0,,소액/분할만,47,손익비 1:2 미만 / 확신도 낮음,
272210,한국주식,,104164.64831512868,96607.85529639896,117221.34482290268,1.73,,5.0,20.0,매수금지 아님,소액/분할만,49,손익비 1:2 미만 / 확신도 낮음,
MRVL,미국주식,,192.5195891541709,174.06279654219102,220.20477807214067,1.5,,10.0,10.0,매수금지 아님,소액/분할만,50,손익비 1:2 미만 / 확신도 낮음,
018260,한국주식,,187106.9993491707,173932.90079878096,209057.5709793792,1.67,,5.0,10.0,매수금지 아님,소액/분할만,50,손익비 1:2 미만 / 확신도 낮음,
660,한국주식,,1996005.024,1909530.7513441488,2125716.432983777,1.5,,7.0,50.0,,소액/분할만,51,손익비 1:2 미만 / 확신도 낮음,
079550,한국주식,,847436.6839908806,811440.9892433065,894682.4739473014,1.31,,11.0,35.0,주의,소액/분할만,52,손익비 1:2 미만 / 확신도 낮음,
95340,한국주식,,245134.966,231916.75079901188,264301.3780414328,1.45,,7.0,50.0,,소액/분할만,52,손익비 1:2 미만 / 확신도 낮음,
11070,한국주식,,757476.5849999998,676262.6932232142,875236.728076339,1.45,,7.0,50.0,,소액/분할만,52,손익비 1:2 미만 / 확신도 낮음,
79550,한국주식,,870081.0088896703,828929.7793700603,929750.2916931048,1.45,,7.0,50.0,,소액/분할만,52,손익비 1:2 미만 / 확신도 낮음,
64350,한국주식,,215443.8675,200729.847642952,236779.1962927197,1.45,,7.0,50.0,,소액/분할만,52,손익비 1:2 미만 / 확신도 낮음,
5380,한국주식,,715139.335,657606.2316080357,801438.9900879463,1.5,,7.0,50.0,,소액/분할만,52,손익비 1:2 미만 / 확신도 낮음,
6360,한국주식,,32856.187846593784,31363.238863547183,35020.96387201136,1.45,,7.0,50.0,,소액/분할만,52,손익비 1:2 미만 / 확신도 낮음,
009540,한국주식,,415206.3383169284,401547.7649243599,438584.3262902857,1.71,,1.0,35.0,주의,소액/분할만,52,손익비 1:2 미만 / 확신도 낮음,
67310,한국주식,,42052.207375000005,38209.85308387212,47623.62109713544,1.45,,7.0,50.0,,소액/분할만,53,손익비 1:2 미만 / 확신도 낮음,
36930,한국주식,,159467.616,134349.09345,195889.4736975,1.45,,7.0,50.0,,소액/분할만,53,손익비 1:2 미만 / 확신도 낮음,
990,한국주식,,177223.46400000004,155406.7808758929,208857.65452995533,1.45,,7.0,50.0,,소액/분할만,53,손익비 1:2 미만 / 확신도 낮음,
9150,한국주식,,1035117.405,948798.3423482142,1160280.045845089,1.45,,7.0,50.0,,소액/분할만,53,손익비 1:2 미만 / 확신도 낮음,
34020,한국주식,,116377.95825000004,110094.85548825396,125488.45725453182,1.45,,7.0,50.0,,소액/분할만,53,손익비 1:2 미만 / 확신도 낮음,
10140,한국주식,,31114.102725,29040.314753013485,34121.09528438045,1.45,,7.0,50.0,,소액/분할만,53,손익비 1:2 미만 / 확신도 낮음,
90360,한국주식,,75039.26825,70139.83204096495,82143.45075310081,1.45,,7.0,50.0,,소액/분할만,53,손익비 1:2 미만 / 확신도 낮음,
12330,한국주식,,627195.7725,569092.7894502848,711445.097922087,1.45,,7.0,50.0,,소액/분할만,53,손익비 1:2 미만 / 확신도 낮음,
51910,한국주식,,388299.9937500001,365300.1481319335,421649.76989619655,1.45,,7.0,50.0,,소액/분할만,53,손익비 1:2 미만 / 확신도 낮음,
47810,한국주식,,164520.81225000002,156319.543657741,176412.65170877558,1.45,,7.0,50.0,,소액/분할만,53,손익비 1:2 미만 / 확신도 낮음,
5930,한국주식,,286875.2160000001,273923.96665288747,305654.5275533133,1.45,,7.0,50.0,,소액/분할만,53,손익비 1:2 미만 / 확신도 낮음,
66970,한국주식,,165184.2526991237,157327.87740063158,176575.99688193726,1.45,,7.0,50.0,,소액/분할만,53,손익비 1:2 미만 / 확신도 낮음,
214450,한국주식,,288648.7627931056,276033.98995821347,306940.18340369925,1.45,,5.0,10.0,매수금지 아님,소액/분할만,54,손익비 1:2 미만 / 확신도 낮음,
035420,한국주식,,199314.65983028192,185508.6914536272,219333.31397643127,1.45,,5.0,25.0,매수금지 아님,소액/분할만,55,손익비 1:2 미만 / 확신도 낮음,
SNDK,미국주식,,1424.460754698032,1252.750320491425,1664.2369594339752,1.4,,2.0,45.0,주의,소액/분할만,58,손익비 1:2 미만 / 확신도 낮음,
006400,한국주식,,615752.8550796993,593094.0924916262,645040.7164978272,1.29,,1.0,45.0,주의,소액/분할만,61,손익비 1:2 미만 / 확신도 낮음,
058470,한국주식,,99719.04001061704,95707.33481238772,110429.45504111338,2.67,,50.0,80.0,매수금지,신규매수 제외,72,확신도 낮음 / 매수금지/데이터 위험,
064350,한국주식,,195741.4178778233,180949.7739829948,215994.76036693543,1.37,,50.0,75.0,매수금지,신규매수 제외,80,손익비 1:2 미만 / 확신도 낮음 / 매수금지/데이터 위험,
000660,한국주식,,1943094.1246114287,1732820.004716301,2247991.5984593653,1.45,,50.0,80.0,매수금지,신규매수 제외,82,손익비 1:2 미만 / 확신도 낮음 / 매수금지/데이터 위험,
055550,한국주식,,94558.66728117748,92697.34631770494,96722.66597348252,1.16,,50.0,85.0,매수금지,신규매수 제외,92,손익비 1:2 미만 / 확신도 낮음 / 매수금지/데이터 위험,
005930,한국주식,,288619.6347848318,259774.87972721583,330444.52961837495,1.45,,50.0,95.0,강한 매수금지,신규매수 제외,94,손익비 1:2 미만 / 확신도 낮음 / 매수금지/데이터 위험,
402340,한국주식,,1198005.515799791,1043616.9641862249,1414048.6366034455,1.4,,50.0,95.0,강한 매수금지,신규매수 제외,96,손익비 1:2 미만 / 확신도 낮음 / 매수금지/데이터 위험,
010140,한국주식,,28538.76832357629,27454.778955813425,29944.944865844867,1.3,,50.0,95.0,강한 매수금지,신규매수 제외,98,손익비 1:2 미만 / 확신도 낮음 / 매수금지/데이터 위험,
