ticker,market,현재가,우선진입가,손절가,1차목표,손익비,진입가대비괴리율%,확신도,매수금지점수,매수금지등급,추천행동,리스크점수,리스크사유,기존판단
NVDA,미국주식,,217.5572995926902,213.0103254883033,233.9169153933664,3.6,,66.0,15.0,매수금지 아님,조건부 매수 검토,0,큰 차단 사유 없음,
META,미국주식,,603.4100391312305,596.1209925707985,619.537928986306,2.21,,56.0,5.0,매수금지 아님,조건부 매수 검토,3,큰 차단 사유 없음,
AMZN,미국주식,,265.99144553696686,262.4886348861794,274.7253708419656,2.49,,54.0,15.0,매수금지 아님,소액/분할만,4,확신도 낮음,
CAT,미국주식,,844.9559816125377,829.6157768958067,917.4941863448142,4.73,,53.0,30.0,매수금지 아님,소액/분할만,5,확신도 낮음,
SOXX,미국주식,,522.1580266431744,510.0625060372916,551.3456210583323,2.41,,51.0,50.0,매수금지 아님,소액/분할만,7,확신도 낮음,
010120,한국주식,,268984.9344420129,255401.2306361344,329559.10364894546,4.46,,50.0,40.0,주의,소액/분할만,8,확신도 낮음,
375500,한국주식,,80639.07801942856,77172.76820883063,89390.13649380826,2.52,,50.0,20.0,매수금지 아님,소액/분할만,8,확신도 낮음,
000720,한국주식,,140610.60697282737,133219.80651124797,158780.5151619593,2.46,,50.0,25.0,매수금지 아님,소액/분할만,8,확신도 낮음,
090360,한국주식,,84782.72362892698,80047.56408745516,95991.61920158376,2.37,,50.0,25.0,매수금지 아님,소액/분할만,8,확신도 낮음,
TMDX,미국주식,,67.1747653020899,63.93455339806532,80.1718168997607,4.01,,49.0,50.0,매수금지 아님,소액/분할만,8,확신도 낮음,
GOOGL,미국주식,,383.5844699338968,378.17805218784457,391.4864762585584,1.46,,62.0,10.0,매수금지 아님,소액/분할만,10,손익비 1:2 미만,
TSLA,미국주식,,415.5705504646011,405.7632372586135,448.2320129042874,3.33,,47.0,50.0,주의,소액/분할만,10,확신도 낮음,
CEG,미국주식,,284.5244833659607,271.8315891624649,302.92917996102955,1.45,,59.0,15.0,매수금지 아님,소액/분할만,11,손익비 1:2 미만,
012450,한국주식,,1244139.3592803094,1201567.8897321331,1322512.68706276,1.84,,50.0,50.0,주의,소액/분할만,11,손익비 1:2 미만 / 확신도 낮음,
007660,한국주식,,129678.803243552,120188.56616488924,146795.4023635423,1.8,,50.0,40.0,주의,소액/분할만,11,손익비 1:2 미만 / 확신도 낮음,
AVAV,미국주식,,156.4296742842495,151.80981140006986,172.0578980228552,3.38,,46.0,35.0,주의,소액/분할만,11,확신도 낮음,
SMH,미국주식,,568.1193296484358,550.8491235779854,592.2066635142364,1.39,,59.0,25.0,매수금지 아님,소액/분할만,12,손익비 1:2 미만,
QQQ,미국주식,,700.5420226729126,690.4753728759515,718.4169391237505,1.78,,50.0,35.0,주의,소액/분할만,12,손익비 1:2 미만 / 확신도 낮음,
036930,한국주식,,176457.83751422155,162235.29308162635,210278.195802,2.38,,50.0,55.0,관망 우위,소액/분할만,12,확신도 낮음,
329180,한국주식,,664957.2571801974,640671.4390862184,724688.3267475176,2.46,,50.0,55.0,관망 우위,소액/분할만,12,확신도 낮음,
108490,한국주식,,306143.06302585185,282946.7480697619,385511.13005140127,3.42,,50.0,55.0,관망 우위,소액/분할만,12,확신도 낮음,
PLTR,미국주식,,139.01151075561577,134.00300862993302,148.41044771801575,1.88,,47.0,50.0,매수금지 아님,소액/분할만,12,손익비 1:2 미만 / 확신도 낮음,
000270,한국주식,,162695.9279536304,156502.25607711775,174488.51505829327,1.9,,50.0,55.0,관망 우위,소액/분할만,13,손익비 1:2 미만 / 확신도 낮음,
SPY,미국주식,,734.1715956821724,725.3615365339864,749.9391626674894,1.79,,48.0,20.0,매수금지 아님,소액/분할만,13,손익비 1:2 미만 / 확신도 낮음,
TEM,미국주식,,45.60787607032539,44.08572734541291,49.033530227109246,2.25,,43.0,10.0,매수금지 아님,소액/분할만,13,확신도 낮음,
006360,한국주식,,30612.164600611577,29118.58721485593,33069.20793924,1.65,,50.0,50.0,주의,소액/분할만,15,손익비 1:2 미만 / 확신도 낮음,
LITE,미국주식,,926.1164659008108,878.455107763686,1060.7098502184729,2.82,,50.0,60.0,관망 우위,소액/분할만,16,확신도 낮음,
103590,한국주식,,107984.26601929286,101307.73494950205,124120.91864431216,2.42,,50.0,60.0,관망 우위,소액/분할만,16,확신도 낮음,
267260,한국주식,,1110691.3466148572,1063446.4587888415,1228314.933220465,2.49,,50.0,60.0,관망 우위,소액/분할만,16,확신도 낮음,
214150,한국주식,,46367.6721685657,44656.25402890141,49081.78958827596,1.59,,50.0,40.0,주의,소액/분할만,16,손익비 1:2 미만 / 확신도 낮음,
011070,한국주식,,847860.7061115059,805778.9213714285,910983.383221622,1.5,,50.0,45.0,주의,소액/분할만,17,손익비 1:2 미만 / 확신도 낮음,
222800,한국주식,,128376.99116040324,120798.90501325791,139365.216073764,1.45,,50.0,20.0,매수금지 아님,소액/분할만,18,손익비 1:2 미만 / 확신도 낮음,
009150,한국주식,,1223439.5437524596,1103732.717745054,1402999.7827635678,1.5,,50.0,30.0,매수금지 아님,소액/분할만,18,손익비 1:2 미만 / 확신도 낮음,
000990,한국주식,,172321.1525290386,154001.79003322258,198884.22814797185,1.45,,50.0,50.0,주의,소액/분할만,18,손익비 1:2 미만 / 확신도 낮음,
196170,한국주식,,332813.3501486317,310678.1091362021,364909.4496166548,1.45,,50.0,45.0,주의,소액/분할만,18,손익비 1:2 미만 / 확신도 낮음,
012330,한국주식,,681987.5074684598,586420.1908901837,820799.1206830266,1.45,,50.0,20.0,매수금지 아님,소액/분할만,18,손익비 1:2 미만 / 확신도 낮음,
277810,한국주식,,754621.568311535,694224.4120203422,842197.4449337648,1.45,,50.0,30.0,매수금지 아님,소액/분할만,18,손익비 1:2 미만 / 확신도 낮음,
AAPL,미국주식,,308.00447561981326,294.1442742169217,326.48474415700207,1.33,,52.0,20.0,매수금지 아님,소액/분할만,19,손익비 1:2 미만 / 확신도 낮음,
001440,한국주식,,56180.11515285482,47191.29672839805,68833.2254080414,1.41,,50.0,35.0,주의,소액/분할만,19,손익비 1:2 미만 / 확신도 낮음,
067310,한국주식,,51917.38593658336,45176.20596086942,61692.096901368575,1.45,,50.0,35.0,주의,소액/분할만,19,손익비 1:2 미만 / 확신도 낮음,
042700,한국주식,,313215.37903642777,292821.6303620924,346310.7915815,1.62,,50.0,55.0,관망 우위,소액/분할만,19,손익비 1:2 미만 / 확신도 낮음,
005380,한국주식,,638461.8069739853,571244.7418967334,735926.5513360004,1.45,,50.0,30.0,매수금지 아님,소액/분할만,19,손익비 1:2 미만 / 확신도 낮음,
047810,한국주식,,165398.00625551667,156566.54735797615,178203.62165695042,1.45,,50.0,40.0,주의,소액/분할만,19,손익비 1:2 미만 / 확신도 낮음,
373220,한국주식,,402025.5698468879,371000.6489632116,447011.7051282184,1.45,,50.0,15.0,매수금지 아님,소액/분할만,19,손익비 1:2 미만 / 확신도 낮음,
003490,한국주식,,26651.094946189427,24812.6474663061,29316.84379202025,1.45,,50.0,45.0,주의,소액/분할만,19,손익비 1:2 미만 / 확신도 낮음,
247540,한국주식,,195190.8529895374,176821.2107437803,221826.8342458852,1.45,,50.0,30.0,매수금지 아님,소액/분할만,19,손익비 1:2 미만 / 확신도 낮음,
454910,한국주식,,108420.58973205445,97464.50699096105,124306.90970663984,1.45,,50.0,25.0,매수금지 아님,소액/분할만,19,손익비 1:2 미만 / 확신도 낮음,
IWM,미국주식,,279.41992294849905,276.06688387311704,285.24176237697804,1.74,,42.0,15.0,매수금지 아님,소액/분할만,19,손익비 1:2 미만 / 확신도 낮음,
006260,한국주식,,489750.4574642537,457966.6632774387,578191.5168672232,2.78,,50.0,65.0,관망 우위,소액/분할만,20,확신도 낮음,
298040,한국주식,,3955396.880654488,3569455.715931874,4645545.627809061,1.79,,50.0,60.0,관망 우위,소액/분할만,20,손익비 1:2 미만 / 확신도 낮음,
042660,한국주식,,110576.11475042184,104448.97930038856,124082.99632005056,2.2,,50.0,65.0,관망 우위,소액/분할만,20,확신도 낮음,
AMD,미국주식,,451.1668279917793,418.3822332527652,495.9616156663513,1.37,,49.0,15.0,매수금지 아님,소액/분할만,20,손익비 1:2 미만 / 확신도 낮음,
