시장,우선순위,행동,종목,기준가,손절가,목표가,초보자 안내,이유,가격기준,종목코드,종목명,분류,핵심요약,다음행동
한국주식,중간,소액/분할만,DB하이텍 (000990),"181,100원","172,045원","199,210원",확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,장전/장마감 시간이라 직전 장마감 가격으로 임시 기준을 표시합니다.,직전 장마감 기준 참고 · FinanceDataReader 직전 종가,000990,DB하이텍 (000990),action,기준가·손절가·목표가를 먼저 확인할 후보,현재가가 진입가 근처인지 확인
한국주식,중간,소액/분할만,DL이앤씨 (375500),"82,200원","78,090원","90,420원",확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,장전/장마감 시간이라 직전 장마감 가격으로 임시 기준을 표시합니다.,직전 장마감 기준 참고 · FinanceDataReader 직전 종가,375500,DL이앤씨 (375500),action,기준가·손절가·목표가를 먼저 확인할 후보,현재가가 진입가 근처인지 확인
한국주식,중간,소액/분할만,HD현대중공업 (329180),"680,000원","646,000원","748,000원",확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,장전/장마감 시간이라 직전 장마감 가격으로 임시 기준을 표시합니다.,직전 장마감 기준 참고 · FinanceDataReader 직전 종가,329180,HD현대중공업 (329180),action,기준가·손절가·목표가를 먼저 확인할 후보,현재가가 진입가 근처인지 확인
한국주식,중간,소액/분할만,LG유플러스 (032640),"15,760원","14,972원","17,336원",확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,장전/장마감 시간이라 직전 장마감 가격으로 임시 기준을 표시합니다.,직전 장마감 기준 참고 · FinanceDataReader 직전 종가,032640,LG유플러스 (032640),action,기준가·손절가·목표가를 먼저 확인할 후보,현재가가 진입가 근처인지 확인
한국주식,중간,소액/분할만,SK텔레콤 (017670),"102,800원","97,660원","113,080원",확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,장전/장마감 시간이라 직전 장마감 가격으로 임시 기준을 표시합니다.,직전 장마감 기준 참고 · FinanceDataReader 직전 종가,017670,SK텔레콤 (017670),action,기준가·손절가·목표가를 먼저 확인할 후보,현재가가 진입가 근처인지 확인
한국주식,중간,소액/분할만,SK하이닉스 (000660),"1,941,000원","1,843,950원","2,135,100원",확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,장전/장마감 시간이라 직전 장마감 가격으로 임시 기준을 표시합니다.,직전 장마감 기준 참고 · FinanceDataReader 직전 종가,000660,SK하이닉스 (000660),action,기준가·손절가·목표가를 먼저 확인할 후보,현재가가 진입가 근처인지 확인
한국주식,중간,소액/분할만,두산테스나 (131970),"171,600원","163,020원","188,760원",확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,장전/장마감 시간이라 직전 장마감 가격으로 임시 기준을 표시합니다.,직전 장마감 기준 참고 · FinanceDataReader 직전 종가,131970,두산테스나 (131970),action,기준가·손절가·목표가를 먼저 확인할 후보,현재가가 진입가 근처인지 확인
한국주식,중간,소액/분할만,리노공업 (058470),"106,500원","101,175원","117,150원",확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,장전/장마감 시간이라 직전 장마감 가격으로 임시 기준을 표시합니다.,직전 장마감 기준 참고 · FinanceDataReader 직전 종가,058470,리노공업 (058470),action,기준가·손절가·목표가를 먼저 확인할 후보,현재가가 진입가 근처인지 확인
한국주식,중간,소액/분할만,삼성전자 (005930),"292,500원","277,875원","321,750원",확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,장전/장마감 시간이라 직전 장마감 가격으로 임시 기준을 표시합니다.,직전 장마감 기준 참고 · FinanceDataReader 직전 종가,005930,삼성전자 (005930),action,기준가·손절가·목표가를 먼저 확인할 후보,현재가가 진입가 근처인지 확인
한국주식,중간,소액/분할만,심텍 (222800),"131,800원","125,210원","144,980원",확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,장전/장마감 시간이라 직전 장마감 가격으로 임시 기준을 표시합니다.,직전 장마감 기준 참고 · FinanceDataReader 직전 종가,222800,심텍 (222800),action,기준가·손절가·목표가를 먼저 확인할 후보,현재가가 진입가 근처인지 확인
한국주식,중간,소액/분할만,한화에어로스페이스 (012450),"1,261,000원","1,197,950원","1,387,100원",확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,장전/장마감 시간이라 직전 장마감 가격으로 임시 기준을 표시합니다.,직전 장마감 기준 참고 · FinanceDataReader 직전 종가,012450,한화에어로스페이스 (012450),action,기준가·손절가·목표가를 먼저 확인할 후보,현재가가 진입가 근처인지 확인
