시장,종목코드,종목명,데이터상태,종합점수,가치점수,성장점수,안정성점수,PER,PBR,ROE,매출,영업이익,순이익,핵심요약,다음행동
한국주식,131970,두산테스나,정상,51.5,50.0,50.1,55.0,-,-,0.35,3038.7억,-9.4억,15.1억,"가치 50.0, 성장 50.1, 안정성 55.0 기준으로 종합 51.5점입니다.",무리한 추격 금지
한국주식,222800,심텍,정상,39.7,38.0,44.6,37.0,-,-,-28.55,1.4조,118.7억,-1645.8억,"가치 38.0, 성장 44.6, 안정성 37.0 기준으로 종합 39.7점입니다.",무리한 추격 금지
한국주식,003550,LG,정상,56.9,50.0,50.0,73.0,-,-,3.3,-,9121.7억,1.0조,"가치 50.0, 성장 50.0, 안정성 73.0 기준으로 종합 56.9점입니다.",무리한 추격 금지
한국주식,000100,유한양행,정상,58.9,50.0,56.6,73.0,-,-,7.84,2.2조,1043.7억,1853.2억,"가치 50.0, 성장 56.6, 안정성 73.0 기준으로 종합 58.9점입니다.",무리한 추격 금지
한국주식,010120,엘에스일렉트릭,정상,59.3,58.0,57.2,63.0,-,-,13.27,5.0조,4264.1억,2842.6억,"가치 58.0, 성장 57.2, 안정성 63.0 기준으로 종합 59.3점입니다.",무리한 추격 금지
한국주식,000270,기아,정상,62.3,58.0,57.3,73.0,-,-,12.35,114.1조,9.1조,7.6조,"가치 58.0, 성장 57.3, 안정성 73.0 기준으로 종합 62.3점입니다.",무리한 추격 금지
한국주식,259960,크래프톤,정상,67.9,58.0,76.0,73.0,-,-,10.21,3.3조,1.1조,7337.0억,"가치 58.0, 성장 76.0, 안정성 73.0 기준으로 종합 67.9점입니다.",관심 유지 · 눌림 확인
한국주식,000660,SK하이닉스,정상,72.3,66.0,80.0,73.0,-,-,35.59,97.1조,47.2조,42.9조,"가치 66.0, 성장 80.0, 안정성 73.0 기준으로 종합 72.3점입니다.",관심 유지 · 눌림 확인
한국주식,003490,대한항공,정상,46.1,50.0,50.0,37.0,-,-,5.65,-,1.1조,6472.7억,"가치 50.0, 성장 50.0, 안정성 37.0 기준으로 종합 46.1점입니다.",무리한 추격 금지
한국주식,000720,현대건설,정상,46.7,50.0,52.0,37.0,-,-,5.53,31.1조,6530.1억,5590.7억,"가치 50.0, 성장 52.0, 안정성 37.0 기준으로 종합 46.7점입니다.",무리한 추격 금지
한국주식,028670,팬오션,정상,53.7,50.0,57.3,55.0,-,-,5.27,5.4조,4919.5억,3014.1억,"가치 50.0, 성장 57.3, 안정성 55.0 기준으로 종합 53.7점입니다.",무리한 추격 금지
한국주식,000810,삼성화재해상보험,정상,55.1,50.0,80.0,37.0,-,-,9.49,5.2조,2.7조,2.0조,"가치 50.0, 성장 80.0, 안정성 37.0 기준으로 종합 55.1점입니다.",무리한 추격 금지
한국주식,278470,에이피알,정상,69.7,66.0,71.4,73.0,-,-,64.97,1.5조,3655.2억,2896.5억,"가치 66.0, 성장 71.4, 안정성 73.0 기준으로 종합 69.7점입니다.",관심 유지 · 눌림 확인
한국주식,000990,DB하이텍,정상,62.8,58.0,69.0,63.0,-,-,11.26,1.4조,2772.9억,2525.8억,"가치 58.0, 성장 69.0, 안정성 63.0 기준으로 종합 62.8점입니다.",무리한 추격 금지
한국주식,375500,DL이앤씨 (375500),정상,53.0,50.0,55.1,55.0,-,-,7.06,7.4조,3869.5억,3701.9억,"가치 50.0, 성장 55.1, 안정성 55.0 기준으로 종합 53.0점입니다.",무리한 추격 금지
한국주식,329180,HD현대중공업 (329180),정상,57.6,58.0,59.8,55.0,-,-,15.15,17.6조,2.0조,1.4조,"가치 58.0, 성장 59.8, 안정성 55.0 기준으로 종합 57.6점입니다.",무리한 추격 금지
