시장,종목코드,종목명,Finnhub상태,SEC상태,PER,PBR,ROE,매출성장률,영업이익률,순이익률,부채비율,베타,52주고가,52주저가,CIK,매출액,영업이익,순이익,자산총계,부채총계,자본총계,재무상태,데이터출처,초보자 해석,PER표시,PBR표시,ROE표시,매출표시,순이익표시,부채비율표시,영업이익률표시,다음 행동,데이터상태설명,current_price,last_price,현재가,quote_fallback_price,실시간현재가,quote_source,quote_source_label,data_status,price_data_status,current_price_source
미국주식,SNDK,SanDisk,OK,NO_CIK,48.5864,0.747,42.33,82.76,40.73,34.19,0.2006,3.2248108,1600.0,35.79,,,,,,,,재무/KPI 수신,Finnhub + SEC,ROE 양호 · 부채 부담 낮음 · PER 과열 확인 · 매출 성장 양호 — 가격·뉴스·차트와 함께 판단하세요.,48.59,0.75,42.33%,-,-,0.20%,40.73%,장기 보유 판단에 사용 가능,실제 재무/KPI 값 수신. 장기 보유 판단에 참고 가능합니다.,1478.69,1478.69,"$1,478.69",1478.69,"$1,478.69",KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,KIS 해외 현재가
미국주식,NBIS,Nebius,OK,NO_CIK,655.1147,4.6101,16.009999999999998,527.97,-70.55,93.09,0.8985,0.9502528,233.7299,34.72,,,,,,,,재무/KPI 수신,Finnhub + SEC,ROE 양호 · 부채 부담 낮음 · PER 과열 확인 · 매출 성장 양호 — 가격·뉴스·차트와 함께 판단하세요.,655.11,4.61,16.01%,-,-,0.90%,-70.55%,장기 보유 판단에 사용 가능,실제 재무/KPI 값 수신. 장기 보유 판단에 참고 가능합니다.,214.77,214.77,$214.77,214.77,$214.77,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,KIS 해외 현재가
미국주식,CRCL,Circle,OK,NO_CIK,,5.6087,-2.6,51.46,-5.04,-2.76,0.0111,0.72700626,298.99,49.9,,,,,,,,재무/KPI 수신,Finnhub + SEC,ROE 낮음/확인 필요 · 부채 부담 낮음 · 매출 성장 양호 — 가격·뉴스·차트와 함께 판단하세요.,-,5.61,-2.60%,-,-,0.01%,-5.04%,장기 보유 판단에 사용 가능,실제 재무/KPI 값 수신. 장기 보유 판단에 참고 가능합니다.,113.12,113.12,$113.12,113.12,$113.12,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,KIS 해외 현재가
미국주식,BMNR,BMNR,OK,NO_CIK,30.85,0.8706,-116.38,261.26,-53050.12,-51893.54,0.0,1.6313066,161.0,3.92,,,,,,,,재무/KPI 수신,Finnhub + SEC,ROE 낮음/확인 필요 · 부채 부담 낮음 · PER 참고 가능 · 매출 성장 양호 — 가격·뉴스·차트와 함께 판단하세요.,30.85,0.87,-116.38%,-,-,0.00%,-53050.12%,장기 보유 판단에 사용 가능,실제 재무/KPI 값 수신. 장기 보유 판단에 참고 가능합니다.,18.88,18.88,$18.88,18.88,$18.88,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,KIS 해외 현재가
미국주식,NVDA,NVIDIA,OK,NO_CIK,43.4007,28.8075,111.66,70.68,64.02,62.97,0.0538,2.2490203,236.54,129.16,,,,,,,,재무/KPI 수신,Finnhub + SEC,ROE 양호 · 부채 부담 낮음 · PER 과열 확인 · 매출 성장 양호 — 가격·뉴스·차트와 함께 판단하세요.,43.4,28.81,111.66%,-,-,0.05%,64.02%,장기 보유 판단에 사용 가능,실제 재무/KPI 값 수신. 장기 보유 판단에 참고 가능합니다.,215.33,215.33,$215.33,215.33,$215.33,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,KIS 해외 현재가
미국주식,GOOGL,Alphabet,OK,NO_CIK,35.1068,9.1044,38.98,17.45,32.69,37.92,0.1229,1.262854,408.61,162.0,,,,,,,,재무/KPI 수신,Finnhub + SEC,ROE 양호 · 부채 부담 낮음 · PER 참고 가능 · 매출 성장 양호 — 가격·뉴스·차트와 함께 판단하세요.,35.11,9.1,38.98%,-,-,0.12%,32.69%,장기 보유 판단에 사용 가능,실제 재무/KPI 값 수신. 장기 보유 판단에 참고 가능합니다.,382.97,382.97,$382.97,382.97,$382.97,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,KIS 해외 현재가
미국주식,MSFT,Microsoft,OK,NO_CIK,30.5338,10.7635,33.129999999999995,17.87,46.75,39.34,0.2601,1.0881604,555.45,356.28,,,,,,,,재무/KPI 수신,Finnhub + SEC,ROE 양호 · 부채 부담 낮음 · PER 참고 가능 · 매출 성장 양호 — 가격·뉴스·차트와 함께 판단하세요.,30.53,10.76,33.13%,-,-,0.26%,46.75%,장기 보유 판단에 사용 가능,실제 재무/KPI 값 수신. 장기 보유 판단에 참고 가능합니다.,418.57,418.57,$418.57,418.57,$418.57,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,KIS 해외 현재가
미국주식,AAPL,Apple,OK,NO_CIK,40.4941,50.978,146.69,12.76,32.64,27.15,1.3547,1.0841436,311.4,193.46,,,,,,,,재무/KPI 수신,Finnhub + SEC,ROE 양호 · 부채 부담 낮음 · PER 과열 확인 · 매출 성장 양호 — 가격·뉴스·차트와 함께 판단하세요.,40.49,50.98,146.69%,-,-,1.35%,32.64%,장기 보유 판단에 사용 가능,실제 재무/KPI 값 수신. 장기 보유 판단에 참고 가능합니다.,308.82,308.82,$308.82,308.82,$308.82,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,KIS 해외 현재가
미국주식,AMZN,Amazon,OK,NO_CIK,36.8847,6.0027,23.34,14.22,11.5,12.22,0.2172,1.4592242,278.56,196.0,,,,,,,,재무/KPI 수신,Finnhub + SEC,ROE 양호 · 부채 부담 낮음 · PER 참고 가능 · 매출 성장 양호 — 가격·뉴스·차트와 함께 판단하세요.,36.88,6.0,23.34%,-,-,0.22%,11.50%,장기 보유 판단에 사용 가능,실제 재무/KPI 값 수신. 장기 보유 판단에 참고 가능합니다.,266.32,266.32,$266.32,266.32,$266.32,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,KIS 해외 현재가
