시장,항목,행수,상태,원인/설명
국장,오늘 후보,11,정상,기준가·손절가·목표가 후보
국장,수급·거래대금,0,적음/없음,거래대금·거래량·수급점수 동시 통과 필요
국장,실적·저평가,2,정상,DART/Finnhub/SEC 응답·종목 매핑·PER/PBR/ROE 필요
국장,뉴스,27,정상,국장은 국내뉴스 필터가 엄격함
국장,보유·매도,2,정상,보유종목 파일 필요
국장,API 키,5,확인,"{""DART_API_KEY"": true, ""FINNHUB_API_KEY"": true, ""GNEWS_API_KEY"": true, ""APIFY_TOKEN"": true, ""SEC_USER_AGENT"": true}"
미장,오늘 후보,16,정상,기준가·손절가·목표가 후보
미장,수급·거래대금,5,정상,거래대금·거래량·수급점수 동시 통과 필요
미장,실적·저평가,4,정상,DART/Finnhub/SEC 응답·종목 매핑·PER/PBR/ROE 필요
미장,뉴스,0,없음,국장은 국내뉴스 필터가 엄격함
미장,보유·매도,11,정상,보유종목 파일 필요
미장,API 키,5,확인,"{""DART_API_KEY"": true, ""FINNHUB_API_KEY"": true, ""GNEWS_API_KEY"": true, ""APIFY_TOKEN"": true, ""SEC_USER_AGENT"": true}"
