종목코드,종목명,매출,영업이익,순이익,PER,PBR,ROE,부채비율,영업이익률,가치판단,출처
403870,HPSP,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
10120,LS ELECTRIC,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
298040,효성중공업,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
12330,현대모비스,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
660,SK하이닉스,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
42700,한미반도체,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
5490,POSCO홀딩스,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
329180,HD현대중공업,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
28670,팬오션,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
17670,SK텔레콤,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
34020,두산에너빌리티,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
78930,GS,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
9540,HD한국조선해양,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
11200,HMM,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
247540,에코프로비엠,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
108320,LX세미콘,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
10950,S-Oil,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
278470,에이피알,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
990,DB하이텍,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
131970,두산테스나,-,-,-,-,-,0.35,-,-,-,reports/fundamental_valuation_detail.csv
18260,삼성에스디에스,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
11070,LG이노텍,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
5380,현대차,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
3490,대한항공,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
277810,레인보우로보틱스,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
121600,나노신소재,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
108490,로보티즈,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
4020,현대제철,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
375500,DL이앤씨,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
6360,GS건설,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
267260,HD현대일렉트릭,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
55550,신한지주,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
1440,대한전선,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
270,기아,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
105560,KB금융,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
32830,삼성생명,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
90360,로보스타,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
86520,에코프로,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
10140,삼성중공업,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
86790,하나금융지주,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
36930,주성엔지니어링,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
6400,삼성SDI,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
240810,원익IPS,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
5930,삼성전자,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
103590,일진전기,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
353200,대덕전자,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
9150,삼성전기,-,-,-,-,-,-,-,-,-,reports/fundamental_valuation_detail.csv
