우선순위,행동,종목,시장,기준가,손절가,목표가,이유,초보자 안내
중간,소액/분할 검토,Alphabet (GOOGL),미국주식,-,-,-,백테스트 참고,"확신이 강하지 않으므로 한 번에 크게 사지 않고, 차트·수급 확인 후 작은 비중만 검토합니다."
중간,소액/분할 검토,Amazon (AMZN),미국주식,-,-,-,백테스트 참고,"확신이 강하지 않으므로 한 번에 크게 사지 않고, 차트·수급 확인 후 작은 비중만 검토합니다."
중간,소액/분할 검토,Caterpillar (CAT),미국주식,-,-,-,백테스트 참고,"확신이 강하지 않으므로 한 번에 크게 사지 않고, 차트·수급 확인 후 작은 비중만 검토합니다."
중간,소액/분할 검토,Circle (CRCL),미국주식,-,-,-,백테스트 참고,"확신이 강하지 않으므로 한 번에 크게 사지 않고, 차트·수급 확인 후 작은 비중만 검토합니다."
중간,소액/분할 검토,Cloudflare (NET),미국주식,-,-,-,백테스트 참고,"확신이 강하지 않으므로 한 번에 크게 사지 않고, 차트·수급 확인 후 작은 비중만 검토합니다."
중간,소액/분할 검토,Costco (COST),미국주식,-,-,-,백테스트 참고,"확신이 강하지 않으므로 한 번에 크게 사지 않고, 차트·수급 확인 후 작은 비중만 검토합니다."
중간,소액/분할 검토,DB하이텍 (000990),한국주식,-,-,-,백테스트 참고,"확신이 강하지 않으므로 한 번에 크게 사지 않고, 차트·수급 확인 후 작은 비중만 검토합니다."
중간,소액/분할 검토,DL이앤씨 (375500),한국주식,-,-,-,백테스트 참고,"확신이 강하지 않으므로 한 번에 크게 사지 않고, 차트·수급 확인 후 작은 비중만 검토합니다."
중간,소액/분할 검토,Energy ETF (XLE),미국주식,-,-,-,백테스트 참고,"확신이 강하지 않으므로 한 번에 크게 사지 않고, 차트·수급 확인 후 작은 비중만 검토합니다."
중간,소액/분할 검토,HD현대중공업 (329180),한국주식,-,-,-,백테스트 참고,"확신이 강하지 않으므로 한 번에 크게 사지 않고, 차트·수급 확인 후 작은 비중만 검토합니다."
중간,소액/분할 검토,HPSP (403870),한국주식,-,-,-,백테스트 참고,"확신이 강하지 않으므로 한 번에 크게 사지 않고, 차트·수급 확인 후 작은 비중만 검토합니다."
중간,소액/분할 검토,ISC (095340),한국주식,-,-,-,백테스트 참고,"확신이 강하지 않으므로 한 번에 크게 사지 않고, 차트·수급 확인 후 작은 비중만 검토합니다."
중간,소액/분할 검토,Intel (INTC),미국주식,-,-,-,백테스트 참고,"확신이 강하지 않으므로 한 번에 크게 사지 않고, 차트·수급 확인 후 작은 비중만 검토합니다."
중간,소액/분할 검토,LG유플러스 (032640),한국주식,-,-,-,백테스트 참고,"확신이 강하지 않으므로 한 번에 크게 사지 않고, 차트·수급 확인 후 작은 비중만 검토합니다."
중간,소액/분할 검토,LS (006260),한국주식,-,-,-,백테스트 참고,"확신이 강하지 않으므로 한 번에 크게 사지 않고, 차트·수급 확인 후 작은 비중만 검토합니다."
중간,소액/분할 검토,Lumentum (LITE),미국주식,-,-,-,백테스트 참고,"확신이 강하지 않으므로 한 번에 크게 사지 않고, 차트·수급 확인 후 작은 비중만 검토합니다."
중간,소액/분할 검토,NVIDIA (NVDA),미국주식,-,-,-,백테스트 참고,"확신이 강하지 않으므로 한 번에 크게 사지 않고, 차트·수급 확인 후 작은 비중만 검토합니다."
중간,소액/분할 검토,Nebius (NBIS),미국주식,-,-,-,백테스트 참고,"확신이 강하지 않으므로 한 번에 크게 사지 않고, 차트·수급 확인 후 작은 비중만 검토합니다."
중간,소액/분할 검토,Palantir (PLTR),미국주식,-,-,-,백테스트 참고,"확신이 강하지 않으므로 한 번에 크게 사지 않고, 차트·수급 확인 후 작은 비중만 검토합니다."
중간,소액/분할 검토,Riot Platforms (RIOT),미국주식,-,-,-,백테스트 참고,"확신이 강하지 않으므로 한 번에 크게 사지 않고, 차트·수급 확인 후 작은 비중만 검토합니다."
