시장,항목,파일,행수,상태
국장,오늘 실행,v75_today_summary_kr.csv,5,정상
국장,매수 후보,v75_action_clean_kr.csv,0,비어 있음
국장,수급,v75_flow_clean_kr.csv,0,비어 있음
<<<<<<< HEAD
국장,재무,v75_company_clean_kr.csv,2,정상
=======
국장,재무,v75_company_clean_kr.csv,3,정상
>>>>>>> 406077dbd4079231d812b3e19dce6fc7291c4dce
국장,위험,v75_risk_clean_kr.csv,0,비어 있음
국장,뉴스,v75_news_cards_kr.csv,30,정상
국장,시장 가드,v75_market_guard_kr.csv,4,정상
국장,섹터,v75_sector_strength_kr.csv,0,비어 있음
국장,보유·매도,v75_position_cards_kr.csv,0,비어 있음
국장,퀀트,v75_quant_portfolio_risk_kr.csv,1,정상
미장,오늘 실행,v75_today_summary_us.csv,5,정상
미장,매수 후보,v75_action_clean_us.csv,0,비어 있음
미장,수급,v75_flow_clean_us.csv,0,비어 있음
<<<<<<< HEAD
미장,재무,v75_company_clean_us.csv,4,정상
=======
미장,재무,v75_company_clean_us.csv,5,정상
>>>>>>> 406077dbd4079231d812b3e19dce6fc7291c4dce
미장,위험,v75_risk_clean_us.csv,0,비어 있음
미장,뉴스,v75_news_cards_us.csv,30,정상
미장,시장 가드,v75_market_guard_us.csv,4,정상
미장,섹터,v75_sector_strength_us.csv,0,비어 있음
미장,보유·매도,v75_position_cards_us.csv,0,비어 있음
미장,퀀트,v75_quant_portfolio_risk_us.csv,1,정상
