시장,종목코드,종목명,Finnhub상태,SEC상태,PER,PBR,ROE,매출성장률,영업이익률,순이익률,부채비율,베타,52주고가,52주저가,CIK,매출액,영업이익,순이익,자산총계,부채총계,자본총계,재무상태,데이터출처,초보자 해석,PER표시,PBR표시,ROE표시,매출표시,순이익표시,부채비율표시,영업이익률표시,다음 행동,데이터상태설명
미국주식,NVDA,NVIDIA,OK,NO_CIK,43.4007,28.8075,111.66,70.68,64.02,62.97,0.0538,2.2490203,236.54,129.16,,,,,,,,재무/KPI 수신,Finnhub + SEC,ROE 양호 · 부채 부담 낮음 · PER 과열 확인 · 매출 성장 양호 — 가격·뉴스·차트와 함께 판단하세요.,43.4,28.81,111.66%,-,-,0.05%,64.02%,장기 보유 판단에 사용 가능,실제 재무/KPI 값 수신. 장기 보유 판단에 참고 가능합니다.
미국주식,GOOGL,Alphabet,OK,NO_CIK,35.1068,9.1044,38.98,17.45,32.69,37.92,0.1229,1.262854,408.61,162.0,,,,,,,,재무/KPI 수신,Finnhub + SEC,ROE 양호 · 부채 부담 낮음 · PER 참고 가능 · 매출 성장 양호 — 가격·뉴스·차트와 함께 판단하세요.,35.11,9.1,38.98%,-,-,0.12%,32.69%,장기 보유 판단에 사용 가능,실제 재무/KPI 값 수신. 장기 보유 판단에 참고 가능합니다.
미국주식,MSFT,Microsoft,OK,NO_CIK,30.5338,10.7635,33.129999999999995,17.87,46.75,39.34,0.2601,1.0881604,555.45,356.28,,,,,,,,재무/KPI 수신,Finnhub + SEC,ROE 양호 · 부채 부담 낮음 · PER 참고 가능 · 매출 성장 양호 — 가격·뉴스·차트와 함께 판단하세요.,30.53,10.76,33.13%,-,-,0.26%,46.75%,장기 보유 판단에 사용 가능,실제 재무/KPI 값 수신. 장기 보유 판단에 참고 가능합니다.
미국주식,AAPL,Apple,OK,NO_CIK,40.4941,50.978,146.69,12.76,32.64,27.15,1.3547,1.0841436,311.4,193.46,,,,,,,,재무/KPI 수신,Finnhub + SEC,ROE 양호 · 부채 부담 낮음 · PER 과열 확인 · 매출 성장 양호 — 가격·뉴스·차트와 함께 판단하세요.,40.49,50.98,146.69%,-,-,1.35%,32.64%,장기 보유 판단에 사용 가능,실제 재무/KPI 값 수신. 장기 보유 판단에 참고 가능합니다.
미국주식,AMZN,Amazon,OK,NO_CIK,36.8847,6.0027,23.34,14.22,11.5,12.22,0.2172,1.4592242,278.56,196.0,,,,,,,,재무/KPI 수신,Finnhub + SEC,ROE 양호 · 부채 부담 낮음 · PER 참고 가능 · 매출 성장 양호 — 가격·뉴스·차트와 함께 판단하세요.,36.88,6.0,23.34%,-,-,0.22%,11.50%,장기 보유 판단에 사용 가능,실제 재무/KPI 값 수신. 장기 보유 판단에 참고 가능합니다.
