카드,값,점수,다음행동
<<<<<<< HEAD
시장 국면,중립,65.9,분할/소액만
시장 폭,1.99%,69.9,지수가 약하면 비중 축소
=======
시장 국면,중립,66.7,분할/소액만
시장 폭,2.08%,70.8,지수가 약하면 비중 축소
>>>>>>> 406077dbd4079231d812b3e19dce6fc7291c4dce
섹터 강도,-,0.0,강한 섹터만 우선
리스크 룰,위험 0개,100.0,위험 후보 제외
