시장,종목코드,종목명,데이터상태,데이터출처,PER,PBR,ROE,매출,영업이익,순이익,자산,부채,자본,부채비율,영업이익률,순이익률,가치점수,성장점수,안정성점수,종합점수,핵심요약,다음행동,오류
미국주식,NVDA,NVIDIA,정상,Finnhub,32.65,28.81,111.66,-,-,-,-,-,-,0.05,64.02,62.97,64.0,100.0,85.0,81.1,"가치 64.0, 성장 100, 안정성 85.0 기준으로 종합 81.1점입니다.",관심 유지 · 눌림 확인,
미국주식,GOOGL,Alphabet,정상,Finnhub,28.96,9.1,38.98,-,-,-,-,-,-,0.12,32.69,37.92,64.0,88.7,85.0,77.7,"가치 64.0, 성장 88.7, 안정성 85.0 기준으로 종합 77.7점입니다.",관심 유지 · 눌림 확인,
미국주식,MSFT,Microsoft,정상,Finnhub,24.83,10.76,33.13,-,-,-,-,-,-,0.26,46.75,39.34,64.0,88.9,73.0,74.2,"가치 64.0, 성장 88.9, 안정성 73.0 기준으로 종합 74.2점입니다.",관심 유지 · 눌림 확인,
미국주식,AAPL,Apple,정상,Finnhub,37.0,50.98,146.69,-,-,-,-,-,-,1.35,32.64,27.15,55.0,85.0,63.0,66.4,"가치 55.0, 성장 85.0, 안정성 63.0 기준으로 종합 66.4점입니다.",관심 유지 · 눌림 확인,
미국주식,AMZN,Amazon,정상,Finnhub,31.55,6.0,23.34,-,-,-,-,-,-,0.22,11.5,12.22,64.0,69.0,73.0,68.2,"가치 64.0, 성장 69.0, 안정성 73.0 기준으로 종합 68.2점입니다.",관심 유지 · 눌림 확인,
