시장,종목코드,종목명,신뢰도점수,데이터충분도,핵심근거,주의점,다음행동,업데이트시각
미국주식,NVDA,NVIDIA,80.0,충분,"가치 64.0, 성장 100, 안정성 85.0 기준으로 종합 81.1점입니다.",실시간값은 장중 수신 여부에 따라 달라질 수 있음,관심 유지 · 눌림 확인,2026-05-27 20:06:32
미국주식,GOOGL,Alphabet,79.4,충분,"가치 64.0, 성장 88.7, 안정성 85.0 기준으로 종합 77.7점입니다.",실시간값은 장중 수신 여부에 따라 달라질 수 있음,관심 유지 · 눌림 확인,2026-05-27 20:06:32
미국주식,MSFT,Microsoft,78.5,충분,"가치 64.0, 성장 88.9, 안정성 73.0 기준으로 종합 74.2점입니다.",실시간값은 장중 수신 여부에 따라 달라질 수 있음,관심 유지 · 눌림 확인,2026-05-27 20:06:32
미국주식,AAPL,Apple,76.6,충분,"가치 55.0, 성장 85.0, 안정성 63.0 기준으로 종합 66.4점입니다.",실시간값은 장중 수신 여부에 따라 달라질 수 있음,관심 유지 · 눌림 확인,2026-05-27 20:06:32
미국주식,AMZN,Amazon,77.0,충분,"가치 64.0, 성장 69.0, 안정성 73.0 기준으로 종합 68.2점입니다.",실시간값은 장중 수신 여부에 따라 달라질 수 있음,관심 유지 · 눌림 확인,2026-05-27 20:06:32
