symbol,ticker,code,종목코드,name,종목명,market,시장,avg_price,평균단가,quantity,보유수량,current_price,last_price,현재가,가격기준시각,가격출처,quote_source_label,수익률,평가손익,data_status,price_data_status,다음행동,updated_at
SNDK,SNDK,SNDK,SNDK,SanDisk,SanDisk,미국주식,미국주식,791.589,$791.59,5,5,1478.69,1478.69,"$1,478.69",2026-05-26 10:13:04 KST,KIS 해외 현재가 · 2026-05-26 10:13:04 KST,KIS 해외 현재가,+86.80%,"+$3,435.51",현재가 반영,success,보유 유지/축소/익절 여부는 손절가와 목표가 기준으로 확인,2026-05-26 10:13:04 KST
NBIS,NBIS,NBIS,NBIS,Nebius,Nebius,미국주식,미국주식,159.0,$159.00,22,22,214.77,214.77,$214.77,2026-05-26 10:13:04 KST,KIS 해외 현재가 · 2026-05-26 10:13:04 KST,KIS 해외 현재가,+35.08%,"+$1,226.94",현재가 반영,success,보유 유지/축소/익절 여부는 손절가와 목표가 기준으로 확인,2026-05-26 10:13:04 KST
CRCL,CRCL,CRCL,CRCL,Circle,Circle,미국주식,미국주식,94.55,$94.55,30,30,113.12,113.12,$113.12,2026-05-26 10:13:04 KST,KIS 해외 현재가 · 2026-05-26 10:13:04 KST,KIS 해외 현재가,+19.64%,+$557.10,현재가 반영,success,보유 유지/축소/익절 여부는 손절가와 목표가 기준으로 확인,2026-05-26 10:13:04 KST
BMNR,BMNR,BMNR,BMNR,BMNR,BMNR,미국주식,미국주식,22.7463,$22.75,211,211,18.88,18.88,$18.88,2026-05-26 10:13:04 KST,KIS 해외 현재가 · 2026-05-26 10:13:04 KST,KIS 해외 현재가,-17.00%,-$815.79,현재가 반영,success,보유 유지/축소/익절 여부는 손절가와 목표가 기준으로 확인,2026-05-26 10:13:04 KST
ASTS,ASTS,ASTS,ASTS,ASTS,ASTS,미국주식,미국주식,81.9264,$81.93,34,34,105.86,105.86,$105.86,2026-05-26 10:13:04 KST,KIS 해외 현재가 · 2026-05-26 10:13:04 KST,KIS 해외 현재가,+29.21%,+$813.74,현재가 반영,success,보유 유지/축소/익절 여부는 손절가와 목표가 기준으로 확인,2026-05-26 10:13:04 KST
CAT,CAT,CAT,CAT,CAT,CAT,미국주식,미국주식,782.78,$782.78,5,5,879.89,879.89,$879.89,2026-05-26 10:13:04 KST,KIS 해외 현재가 · 2026-05-26 10:13:04 KST,KIS 해외 현재가,+12.41%,+$485.55,현재가 반영,success,보유 유지/축소/익절 여부는 손절가와 목표가 기준으로 확인,2026-05-26 10:13:04 KST
INTC,INTC,INTC,INTC,INTC,INTC,미국주식,미국주식,55.29,$55.29,65,65,119.84,119.84,$119.84,2026-05-26 10:13:04 KST,KIS 해외 현재가 · 2026-05-26 10:13:04 KST,KIS 해외 현재가,+116.75%,"+$4,195.75",현재가 반영,success,보유 유지/축소/익절 여부는 손절가와 목표가 기준으로 확인,2026-05-26 10:13:04 KST
LITE,LITE,LITE,LITE,LITE,LITE,미국주식,미국주식,869.0,$869.00,5,5,946.9,946.9,$946.90,2026-05-26 10:13:04 KST,KIS 해외 현재가 · 2026-05-26 10:13:04 KST,KIS 해외 현재가,+8.96%,+$389.50,현재가 반영,success,보유 유지/축소/익절 여부는 손절가와 목표가 기준으로 확인,2026-05-26 10:13:04 KST
RKLB,RKLB,RKLB,RKLB,RKLB,RKLB,미국주식,미국주식,67.5,$67.50,21,21,135.76,135.76,$135.76,2026-05-26 10:13:04 KST,KIS 해외 현재가 · 2026-05-26 10:13:04 KST,KIS 해외 현재가,+101.13%,"+$1,433.46",현재가 반영,success,보유 유지/축소/익절 여부는 손절가와 목표가 기준으로 확인,2026-05-26 10:13:04 KST
AAOI,AAOI,AAOI,AAOI,AAOI,AAOI,미국주식,미국주식,174.64,$174.64,11,11,181.49,181.49,$181.49,2026-05-26 10:13:04 KST,KIS 해외 현재가 · 2026-05-26 10:13:04 KST,KIS 해외 현재가,+3.92%,+$75.35,현재가 반영,success,보유 유지/축소/익절 여부는 손절가와 목표가 기준으로 확인,2026-05-26 10:13:04 KST
SIMO,SIMO,SIMO,SIMO,SIMO,SIMO,미국주식,미국주식,244.21,$244.21,9,9,276.14,276.14,$276.14,2026-05-26 10:13:04 KST,KIS 해외 현재가 · 2026-05-26 10:13:04 KST,KIS 해외 현재가,+13.07%,+$287.37,현재가 반영,success,보유 유지/축소/익절 여부는 손절가와 목표가 기준으로 확인,2026-05-26 10:13:04 KST
