종목코드,종목명,시장,가치평가,가치점수,핵심 KPI,판단근거
89030,테크윙,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
47810,한국항공우주,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
720,현대건설,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
810,삼성화재,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
39030,이오테크닉스,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
222800,심텍,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
32640,LG유플러스,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
12450,한화에어로스페이스,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
30200,KT,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
35900,JYP Ent.,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
3620,KG모빌리티,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
67310,하나마이크론,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
79550,LIG넥스원,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
5070,코스모신소재,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
259960,크래프톤,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
96770,SK이노베이션,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
3670,포스코퓨처엠,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
196170,알테오젠,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
7660,이수페타시스,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
64350,현대로템,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
66970,엘앤에프,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
6260,LS,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
51910,LG화학,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
326030,SK바이오팜,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
373220,LG에너지솔루션,미국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
