시장,종목코드,종목명,거장식 해석,다음행동
<<<<<<< HEAD
한국주식,131970,두산테스나,가치·성장·안정성 점수가 함께 높은지 확인하는 참고 카드입니다. 실제 대가 매수 데이터는 별도 13F/DART 지분공시 연결이 필요합니다.,무리한 추격 금지
한국주식,222800,심텍,가치·성장·안정성 점수가 함께 높은지 확인하는 참고 카드입니다. 실제 대가 매수 데이터는 별도 13F/DART 지분공시 연결이 필요합니다.,무리한 추격 금지
=======
한국주식,000660,SK하이닉스,가치·성장·안정성 점수가 함께 높은지 확인하는 참고 카드입니다. 실제 대가 매수 데이터는 별도 13F/DART 지분공시 연결이 필요합니다.,관심 유지 · 눌림 확인
한국주식,005930,삼성전자,가치·성장·안정성 점수가 함께 높은지 확인하는 참고 카드입니다. 실제 대가 매수 데이터는 별도 13F/DART 지분공시 연결이 필요합니다.,무리한 추격 금지
한국주식,035420,NAVER,가치·성장·안정성 점수가 함께 높은지 확인하는 참고 카드입니다. 실제 대가 매수 데이터는 별도 13F/DART 지분공시 연결이 필요합니다.,무리한 추격 금지
한국주식,005380,현대차,가치·성장·안정성 점수가 함께 높은지 확인하는 참고 카드입니다. 실제 대가 매수 데이터는 별도 13F/DART 지분공시 연결이 필요합니다.,무리한 추격 금지
>>>>>>> 406077dbd4079231d812b3e19dce6fc7291c4dce
