시장,예측대상일,실전우선순위,실전최종판정,실전판정이유,상태,매수행동,매수금지,종목,판정,실시간현재가,실시간괴리,실시간판정,학습보정,학습요약,품질점수,재무,수급,품질요약,보정신뢰도,매매적합도,앙상블추정점수,성과보정,추천수량,주문예상금액,3분할계획,예상평단,평단손절위험,1R위험금액,매수단위근거,손익비,우선진입가,보수대기선,지지존,저항존,진입거리,전일대비진입,손절가,손절폭,1차익절가,익절거리,2차익절가,예상시초가,예상종가범위,주문검증,주문검증메모,진입근거,주의사유,금지사유,행동이유,created_at,session_type,session_label,basis_ohlc_date,basis_open,basis_high,basis_low,basis_close,basis_volume,basis_source,current_price_at_prediction,current_price_source,stock_code,stock_name,prediction_freshness,prediction_freshness_issue,basis_ohlc_valid,basis_ohlc_issue,invalidation_condition,data_status,risk_reward_ratio,final_judgment,suggested_action,reason,risk_reason,buy_reason,report_generated_at
미국주식,2026-05-22,-30.1,관망 우위,매수금지/리스크 조건 우선,🔴,관망/제외,True,NVDA,관망 우위,$215.33,-1.03%,손절가 근접 - 위험구간,학습 중립,익절 약함 0% / 손절 낮음 0% / 방향부진 0% / 종가오차 낮음 2.4%,23,재무 우호,수급 데이터 제한,"분기 매출 3연속 증가 / 3년 매출 성장 700.5% / 영업이익률 양호 65.6% / 미장은 현재 Finnhub quote 중심, 기관/외국",35,31,29,성과보정 중립,9주,"$1,958.04",1차 $217.56 30% / 2차 $206.68 30% / 3차 $220.82 40%,$215.60,1.22%,$40.95,투입금액 한도 기준,3.60,$217.56,$194.96,$215.44 ~ $218.22,$235.21 ~ $238.74,-1.89%,-0.89%,$213.01,+2.09%,$233.92,+7.52%,$237.43,$221.75,$213.09 ~ $233.74,정상,주문기준 정상범위,지지존 기반: 단기 강함 지지존 상단/중심 근사 / 예상시초가 기준 2.7% 이내,대형 이벤트일: 변동성 확대 | 이벤트·매크로 고변동 구간 (risk_mult 1.90),주의사유 존재 / 앙상블 약함(29점 < 45점) / 방어적 판정(관망 우위) / 매수행동이 관망/제외,"보정신뢰도 50점 미만이라 신규매수 금지, 관망 우위입니다. / 실시간방어: 손절가 근접 - 위험구간 / 매수금지: 주의사유 존재 / 앙상블 약함(29점 < 45점) / 방어적 판정(관망 우위) / 매수행동이 관망/제외",2026-05-22 23:05:23,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 14:21:49
미국주식,2026-05-22,-31.3,관망 우위,매수금지/리스크 조건 우선,🔴,관망/제외,True,SOXX,관망 우위,$537.33,+2.91%,실시간 확인,학습 중립,익절 약함 0% / 손절 낮음 0% / 방향부진 0% / 종가오차 낮음 2.2%,0,재무 중립,수급 데이터 제한,"재무 데이터 제한 / 미장은 현재 Finnhub quote 중심, 기관/외국인 수급은 미반영",20,24,13,성과보정 중립,3주,"$1,566.48",1차 $522.16 30% / 2차 $496.05 30% / 3차 $529.99 40%,$517.46,1.45%,$36.30,투입금액 한도 기준,2.41,$522.16,$535.34,$513.33 ~ $519.82,$551.35 ~ $557.63,-0.41%,-0.49%,$510.06,+2.32%,$551.35,+5.59%,$557.63,$524.33,$497.92 ~ $545.34,정상,주문기준 정상범위,지지존 기반: 단기 강함 지지존 상단/중심 근사 / 예상시초가 기준 2.9% 이내,대형 이벤트일: 변동성 확대 | 이벤트·매크로 고변동 구간 (risk_mult 1.90),주의사유 존재 / 앙상블 약함(13점 < 45점) / 예상중앙등락 약세(-0.59%) / 방어적 판정(관망 우위) / 매수행동이 관망/제외,"보정신뢰도 50점 미만이라 신규매수 금지, 관망 우위입니다. / 매수금지: 주의사유 존재 / 앙상블 약함(13점 < 45점) / 예상중앙등락 약세(-0.59%) / 방어적 판정(관망 우위) / 매수행동이 관망/제외",2026-05-22 23:09:22,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 14:21:49
미국주식,2026-05-22,-33.8,관망 우위,매수금지/리스크 조건 우선,🔴,관망/제외,True,AAPL,관망 우위,$308.82,+0.27%,진입가 근처,학습 중립,익절 약함 0% / 손절 낮음 0% / 방향부진 0% / 종가오차 낮음 1.6%,7,재무 보통+,수급 데이터 제한,"영업이익률 양호 32.3% / 영업이익률 개선 +2.3%p / ROE 양호 141.5% / 미장은 현재 Finnhub quote 중심, 기관/외",37,1,13,성과보정 중립,5주,"$1,540.00",1차 $308.00 30% / 2차 $292.60 30% / 3차 $312.62 40%,$305.23,3.77%,$69.30,손절 리스크 한도 기준,1.33,$308.00,$306.46,$289.15 ~ $291.64,$311.78 ~ $313.76,-0.30%,+0.99%,$294.14,+4.50%,$326.48,+6.00%,$337.80,$308.92,$306.17 ~ $320.29,정상,주문기준 정상범위,지지존 기반: 단기 핵심 지지존 상단/중심 근사 / 예상시초가 기준 1.8% 이내 / 검증학습 +0.23% 진입가 보정,RSI 75 이상 과열 | 대형 이벤트일: 변동성 확대 | 손익비 부족: 1차 R:R 1.33 | 갭·과열 구간: 눌림 대기 또는 매수금지 | 이벤트·매크로 고변동 구간 (risk_mult 1.90) | 검증학습 주의: 방향 적중률 낮음,주의사유 존재 / 앙상블 약함(13점 < 45점) / 방어적 판정(관망 우위) / 매수행동이 관망/제외,"보정신뢰도 50점 미만이라 신규매수 금지, 관망 우위입니다. / 매수금지: 주의사유 존재 / 앙상블 약함(13점 < 45점) / 방어적 판정(관망 우위) / 매수행동이 관망/제외",2026-05-22 23:12:35,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 14:21:49
미국주식,2026-05-22,-34.9,관망 우위,매수금지/리스크 조건 우선,🔴,관망/제외,True,TSLA,관망 우위,$426.01,+2.51%,실시간 확인,학습 중립,익절 약함 0% / 손절 낮음 0% / 방향부진 0% / 종가오차 낮음 2.4%,2,재무 보통+,수급 데이터 제한,"부채 부담 낮음 19% / 최근 FCF 양호 / 어닝 서프라이즈 17.1% / 미장은 현재 Finnhub quote 중심, 기관/외국인 수급은 ",16,26,6,성과보정 중립,4주,"$1,662.28",1차 $415.57 30% / 2차 $394.79 30% / 3차 $421.80 40%,$411.83,1.50%,$39.24,투입금액 한도 기준,3.33,$415.57,$414.32,$411.15 ~ $417.86,$450.71 ~ $458.30,-0.26%,-0.55%,$405.76,+2.36%,$448.23,+7.86%,$455.78,$416.67,$387.96 ~ $426.94,정상,주문기준 정상범위,지지존 기반: 단기 핵심 지지존 상단/중심 근사 / 예상시초가 기준 3.0% 이내,대형 이벤트일: 변동성 확대 | 이벤트·매크로 고변동 구간 (risk_mult 1.90),주의사유 존재 / 앙상블 약함(6점 < 45점) / 예상중앙등락 약세(-2.49%) / 방어적 판정(관망 우위) / 매수행동이 관망/제외,"보정신뢰도 50점 미만이라 신규매수 금지, 관망 우위입니다. / 매수금지: 주의사유 존재 / 앙상블 약함(6점 < 45점) / 예상중앙등락 약세(-2.49%) / 방어적 판정(관망 우위) / 매수행동이 관망/제외",2026-05-22 23:05:52,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 14:21:49
미국주식,2026-05-22,-37.0,관망 우위,매수금지/리스크 조건 우선,🔴,관망/제외,True,MRVL,관망 우위,$196.33,+1.98%,실시간 확인,학습 중립,손절 낮음 0% / 방향부진 0%,23,재무 우호,수급 데이터 제한,"분기 매출 3연속 증가 / 3년 매출 성장 38.4% / 영업이익률 양호 18.7% / 미장은 현재 Finnhub quote 중심, 기관/외국인",0,0,0,성과보정 중립,3주,$577.56,1차 $192.52 30% / 2차 $182.89 30% / 3차 $195.41 40%,$190.79,9.61%,$55.38,손절 리스크 한도 기준,1.50,$192.52,$195.16,$155.01 ~ $159.76,-,-0.92%,+0.96%,$174.06,+9.59%,$220.20,+14.38%,$234.97,$194.31,$177.85 ~ $219.83,정상,주문기준 정상범위,지지존 기반: 단기 강함 지지존 상단/중심 근사 / 예상시초가 기준 4.6% 이내 / 검증학습 -0.45% 진입가 보정,시초 예상가가 1차 저항선 1% 이내 | 대형 이벤트일: 변동성 확대 | 이벤트·매크로 고변동 구간 (risk_mult 1.90) | 검증학습 주의: 가상매매 평균 -6.2%,주의사유 존재 / 앙상블 약함(0점 < 45점) / 방어적 판정(관망 우위) / 매수행동이 관망/제외,"보정신뢰도 50점 미만이라 신규매수 금지, 관망 우위입니다. / 매수금지: 주의사유 존재 / 앙상블 약함(0점 < 45점) / 방어적 판정(관망 우위) / 매수행동이 관망/제외",2026-05-22 23:10:27,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 14:21:49
미국주식,2026-05-22,-38.4,관망 우위,매수금지/리스크 조건 우선,🔴,관망/제외,True,SMH,관망 우위,$576.32,+1.44%,실시간 확인,학습 중립,익절 약함 0% / 손절 낮음 0% / 방향부진 0% / 종가오차 낮음 1.6%,0,재무 중립,수급 데이터 제한,"재무 데이터 제한 / 미장은 현재 Finnhub quote 중심, 기관/외국인 수급은 미반영",34,0,6,성과보정 중립,3주,"$1,704.36",1차 $568.12 30% / 2차 $539.71 30% / 3차 $576.64 40%,$563.01,2.21%,$51.81,투입금액 한도 기준,1.39,$568.12,$582.91,$553.94 ~ $560.08,$595.48 ~ $601.43,-0.42%,+0.04%,$550.85,+3.04%,$592.21,+4.24%,$601.92,$570.53,$549.35 ~ $600.33,정상,주문기준 정상범위,지지존 기반: 단기 강함 지지존 상단/중심 근사 / 예상시초가 기준 2.5% 이내,대형 이벤트일: 변동성 확대 | 이벤트·매크로 고변동 구간 (risk_mult 1.90),손익비 1:1.5 미만 (현재 1.39) / 주의사유 존재 / 앙상블 약함(6점 < 45점) / 방어적 판정(관망 우위) / 매수행동이 관망/제외,"보정신뢰도 50점 미만이라 신규매수 금지, 관망 우위입니다. / 매수금지: 손익비 1:1.5 미만 (현재 1.39) / 주의사유 존재 / 앙상블 약함(6점 < 45점) / 방어적 판정(관망 우위) / 매수행동이 관망/제외",2026-05-22 23:18:15,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 14:21:49
미국주식,2026-05-22,-39.5,관망 우위,매수금지/리스크 조건 우선,🔴,관망/제외,True,VRT,관망 우위,$327.46,+1.55%,실시간 확인,학습 부담,익절 약함 0% / 손절 낮음 0% / 방향부진 0%,16,재무 우호,수급 데이터 제한,"3년 매출 성장 79.7% / 영업이익률 양호 16.4% / ROE 양호 45.1% / 미장은 현재 Finnhub quote 중심, 기관/외국인",0,10,0,성과보정 중립,6주,"$1,934.82",1차 $322.47 30% / 2차 $306.35 30% / 3차 $327.31 40%,$319.57,2.53%,$64.74,투입금액 한도 기준,4.71,$322.47,$323.55,$318.57 ~ $325.94,$377.53 ~ $385.85,-0.71%,-0.29%,$311.68,+3.35%,$373.25,+15.75%,$381.48,$324.77,$286.30 ~ $351.35,정상,주문기준 정상범위,지지존 기반: 단기 핵심 지지존 상단/중심 근사 / 예상시초가 기준 4.3% 이내 / 검증학습 -0.59% 진입가 보정,대형 이벤트일: 변동성 확대 | 이벤트·매크로 고변동 구간 (risk_mult 1.90) | 검증학습 주의: 최근 손절 빈도 높음,주의사유 존재 / 앙상블 약함(0점 < 45점) / 예상중앙등락 약세(-1.42%) / 방어적 판정(관망 우위) / 매수행동이 관망/제외,"보정신뢰도 50점 미만이라 신규매수 금지, 관망 우위입니다. / 매수금지: 주의사유 존재 / 앙상블 약함(0점 < 45점) / 예상중앙등락 약세(-1.42%) / 방어적 판정(관망 우위) / 매수행동이 관망/제외",2026-05-22 23:14:48,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 14:21:49
미국주식,2026-05-22,-39.6,관망 우위,매수금지/리스크 조건 우선,🔴,관망/제외,True,BMNR,관망 우위,$18.88,+0.32%,진입가 근처,학습기록 부족,성과 중립,-8,재무 위험,수급 데이터 제한,"분기 매출 3연속 증가 / 3년 매출 성장 1325.2% / 부채 부담 낮음 0% / 미장은 현재 Finnhub quote 중심, 기관/외국인 ",0,1,0,성과보정 중립,106주,"$1,994.92",1차 $18.82 30% / 2차 $17.88 30% / 3차 $19.10 40%,$18.65,2.65%,$68.90,투입금액 한도 기준,3.38,$18.82,$18.86,$18.46 ~ $18.99,$21.10 ~ $21.62,-2.59%,-4.03%,$18.17,+3.45%,$21.03,+11.74%,$21.55,$19.32,$17.41 ~ $20.50,정상,주문기준 정상범위,지지존 기반: 단기 핵심 지지존 상단/중심 근사 / 예상시초가 기준 4.4% 이내 / 검증학습 -0.36% 진입가 보정,대형 이벤트일: 변동성 확대 | 주봉 강한 하락 추세 | 이벤트·매크로 고변동 구간 (risk_mult 1.90) | 검증학습 주의: 최근 손절 빈도 높음 / 품질위험: 분기 매출 3연속 증가 / 3년 매출 성장 1325.2% / 부채 부담 ,주의사유 존재 / 앙상블 약함(0점 < 45점) / 예상중앙등락 약세(-3.33%) / 방어적 판정(관망 우위) / 매수행동이 관망/제외,"보정신뢰도 50점 미만이라 신규매수 금지, 관망 우위입니다. / 품질위험(-8) / 매수금지: 주의사유 존재 / 앙상블 약함(0점 < 45점) / 예상중앙등락 약세(-3.33%) / 방어적 판정(관망 우위) / 매수행동이 관망/제외",2026-05-22 23:18:26,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 14:21:49
미국주식,2026-05-22,-39.7,관망 우위,매수금지/리스크 조건 우선,🔴,관망/제외,True,COHR,관망 우위,$377.57,+2.36%,실시간 확인,학습 부담,익절 약함 0% / 손절 낮음 0% / 방향부진 0%,14,재무 우호,수급 데이터 제한,"분기 매출 3연속 증가 / 3년 매출 성장 75.2% / 영업이익률 개선 +3.1%p / 미장은 현재 Finnhub quote 중심, 기관/외국",0,12,0,성과보정 중립,4주,"$1,475.52",1차 $368.88 30% / 2차 $350.44 30% / 3차 $374.41 40%,$365.56,3.54%,$63.24,손절 리스크 한도 기준,2.35,$368.88,$253.77,$360.10 ~ $371.24,$408.31 ~ $420.78,-1.36%,-2.41%,$353.07,+4.29%,$406.06,+10.08%,$418.46,$373.96,$321.32 ~ $415.96,정상,주문기준 정상범위,지지존 기반: 단기 핵심 지지존 상단/중심 근사 / 예상시초가 기준 5.5% 이내,대형 이벤트일: 변동성 확대 | 이벤트·매크로 고변동 구간 (risk_mult 1.90),주의사유 존재 / 앙상블 약함(0점 < 45점) / 예상중앙등락 약세(-2.48%) / 방어적 판정(관망 우위) / 매수행동이 관망/제외,"보정신뢰도 50점 미만이라 신규매수 금지, 관망 우위입니다. / 매수금지: 주의사유 존재 / 앙상블 약함(0점 < 45점) / 예상중앙등락 약세(-2.48%) / 방어적 판정(관망 우위) / 매수행동이 관망/제외",2026-05-22 23:11:45,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 14:21:49
미국주식,2026-05-22,-42.8,관망 우위,매수금지/리스크 조건 우선,🔴,관망/제외,True,TEM,관망 우위,$46.18,+1.25%,실시간 확인,학습 중립,손절 낮음 0% / 방향부진 0%,-14,재무 위험,수급 데이터 제한,"3년 매출 성장 296.6% / 어닝 서프라이즈 35.4% / 미장은 현재 Finnhub quote 중심, 기관/외국인 수급은 미반영",12,5,0,성과보정 중립,43주,"$1,961.23",1차 $45.61 30% / 2차 $43.33 30% / 3차 $46.29 40%,$45.20,2.52%,$65.36,투입금액 한도 기준,2.25,$45.61,$45.56,$44.64 ~ $45.83,$49.30 ~ $50.50,-1.17%,-1.89%,$44.09,+3.33%,$49.03,+7.50%,$50.22,$46.15,$42.12 ~ $49.75,정상,주문기준 정상범위,지지존 기반: 단기 핵심 지지존 상단/중심 근사 / 예상시초가 기준 4.2% 이내,대형 이벤트일: 변동성 확대 | 주봉 강한 하락 추세 | 이벤트·매크로 고변동 구간 (risk_mult 1.90) / 품질위험: 3년 매출 성장 296.6% / 어닝 서프라이즈 35.4% / 미장은 현,주의사유 존재 / 앙상블 약함(0점 < 45점) / 예상중앙등락 약세(-1.20%) / 방어적 판정(관망 우위) / 매수행동이 관망/제외,"보정신뢰도 50점 미만이라 신규매수 금지, 관망 우위입니다. / 품질위험(-14) / 매수금지: 주의사유 존재 / 앙상블 약함(0점 < 45점) / 예상중앙등락 약세(-1.20%) / 방어적 판정(관망 우위) / 매수행동이 관망/제외",2026-05-22 23:17:50,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 14:21:49
