종목코드,종목명,시장,가치평가,가치점수,핵심 KPI,판단근거
403870,HPSP,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
10120,LS ELECTRIC,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
298040,효성중공업,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
12330,현대모비스,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
660,SK하이닉스,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
42700,한미반도체,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
5490,POSCO홀딩스,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
329180,HD현대중공업,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
28670,팬오션,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
17670,SK텔레콤,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
34020,두산에너빌리티,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
78930,GS,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
9540,HD한국조선해양,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
11200,HMM,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
247540,에코프로비엠,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
108320,LX세미콘,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
10950,S-Oil,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
278470,에이피알,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
990,DB하이텍,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
131970,두산테스나,한국주식,주의,40.0,ROE 0.35%,ROE 약함
18260,삼성에스디에스,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
11070,LG이노텍,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
5380,현대차,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
3490,대한항공,한국주식,데이터 필요,50.0,재무 캐시 필요,PER/PBR/ROE/성장률 캐시 부족
