시장,종목코드,종목명,분류,현재가,기준가,손절가,목표가,호가,수급점수,뉴스요약,재무요약,다음행동,가격출처
미국주식,NVDA,NVIDIA,기업분석,-,-,-,-,장중 데이터 없으면 직전장 기준,-,-,"가치 64.0, 성장 100, 안정성 85.0 기준으로 종합 81.1점입니다.",기준가·손절가·목표가를 먼저 확인,실시간값 없으면 직전장·후보·보유 파일 기준
미국주식,GOOGL,Alphabet,기업분석,-,-,-,-,장중 데이터 없으면 직전장 기준,-,-,"가치 64.0, 성장 88.7, 안정성 85.0 기준으로 종합 77.7점입니다.",기준가·손절가·목표가를 먼저 확인,실시간값 없으면 직전장·후보·보유 파일 기준
미국주식,MSFT,Microsoft,기업분석,-,-,-,-,장중 데이터 없으면 직전장 기준,-,-,"가치 64.0, 성장 88.9, 안정성 73.0 기준으로 종합 74.2점입니다.",기준가·손절가·목표가를 먼저 확인,실시간값 없으면 직전장·후보·보유 파일 기준
미국주식,AAPL,Apple,기업분석,-,-,-,-,장중 데이터 없으면 직전장 기준,-,-,"가치 55.0, 성장 85.0, 안정성 63.0 기준으로 종합 66.4점입니다.",기준가·손절가·목표가를 먼저 확인,실시간값 없으면 직전장·후보·보유 파일 기준
미국주식,AMZN,Amazon,기업분석,-,-,-,-,장중 데이터 없으면 직전장 기준,-,-,"가치 64.0, 성장 69.0, 안정성 73.0 기준으로 종합 68.2점입니다.",기준가·손절가·목표가를 먼저 확인,실시간값 없으면 직전장·후보·보유 파일 기준
