runner_status,status,market,symbol,name,source,updated_at,latest_year,sales_growth,revenue_cagr_3y,operating_profit_improving,operating_margin_change,debt_ratio,operating_cash_flow,PER,PBR,PSR,industry_discount,drawdown_52w,institution_foreign_flow,fundamental_score,valuation_score,risk_penalty,reason,risk_reason,ticker,code,종목코드,stock_name,종목명,종목,시장,현재가,last_price,current_price,관찰 기준가,active_scenario_pullback_price,조건부 진입가,매수가,entry,entry_price,buy_price,손절가,stop,stop_loss,1차 목표가,목표가,tp1,target_price,2차 목표가,tp2,손익비,rr,risk_reward,기대수익률,expected_return,수급점수,수급 점수,supply_score,flow_score,실적점수,실적 점수,earnings_score,밸류에이션점수,밸류에이션 점수,벨류에이션점수,차트점수,차트 점수,chart_score,실적상태,earnings_data_status,밸류상태,valuation_data_status,수급상태,flow_data_status,price_data_status
OK,OK,한국주식,005930,삼성전자,DART,2026-05-14 20:37:24 KST,2025,+13.51%,13.51,개선,+13.07%,29.94,최근 3년 중 흑자 있음,,,,,,,95.0,밸류 데이터 없음,0.0,"DART 2023~2025년 재무 반영. 매출 CAGR +13.51%, 영업이익 개선.",,,005930,005930,삼성전자,삼성전자,삼성전자,한국주식,"274,457원","274,457원","274,457원","263,162원","263,162원","264,748원","264,748원","264,748원","264,748원","264,748원","245,034원","245,034원","245,034원","295,278원","295,278원","295,278원","295,278원","321,459원","321,459원",1:2.34,1:2.34,1:2.34,,,10.0,10.0,10.0,10.0,19.0,19.0,19.0,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,3.0,3.0,3.0,partial,partial,data_missing,data_missing,kr_flow_response_empty,kr_flow_response_empty,저장된 후보 기준
OK,OK,한국주식,000660,SK하이닉스,DART,2026-05-14 20:37:26 KST,2025,+72.19%,72.19,개선,+48.59%,45.95,최근 3년 중 흑자 있음,,,,,,,95.0,밸류 데이터 없음,0.0,"DART 2023~2025년 재무 반영. 매출 CAGR +72.19%, 영업이익 개선.",,,000660,000660,SK하이닉스,SK하이닉스,SK하이닉스,한국주식,"1,729,215원","1,729,215원","1,729,215원","1,654,711원","1,654,711원","1,664,686원","1,664,686원","1,664,686원","1,664,686원","1,664,686원","1,499,933원","1,499,933원","1,499,933원","1,968,768원","1,968,768원","1,968,768원","1,968,768원","2,027,018원","2,027,018원",1:2.55,1:2.55,1:2.55,,,10.0,10.0,10.0,10.0,19.0,19.0,19.0,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,0.4,0.4,0.4,partial,partial,data_missing,data_missing,success,success,저장된 후보 기준
OK,OK,한국주식,042700,한미반도체,DART,2026-05-14 20:37:28 KST,2025,+90.44%,90.44,개선,+43.59%,117.82,최근 3년 중 흑자 있음,,,,,,,89.0,밸류 데이터 없음,0.0,"DART 2023~2025년 재무 반영. 매출 CAGR +90.44%, 영업이익 개선.",,,042700,042700,한미반도체,한미반도체,한미반도체,한국주식,"287,500원","287,500원","287,500원","278,582원","278,582원","280,261원","280,261원","280,261원","280,261원","280,261원","263,296원","263,296원","263,296원","304,861원","304,861원","304,861원","304,861원","316,737원","316,737원",1:1.45,1:1.45,1:1.45,,,10.0,10.0,10.0,10.0,17.8,17.8,17.8,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,21.5,21.5,21.5,partial,partial,data_missing,data_missing,success,success,저장된 후보 기준
OK,OK,한국주식,007660,이수페타시스,DART,2026-05-14 20:37:29 KST,2025,+26.93%,26.93,개선,+18.82%,170.53,최근 3년 중 흑자 있음,,,,,,,89.0,밸류 데이터 없음,0.0,"DART 2023~2025년 재무 반영. 매출 CAGR +26.93%, 영업이익 개선.",,,007660,007660,이수페타시스,이수페타시스,이수페타시스,한국주식,"121,600원","121,600원","121,600원","120,757원","120,757원","121,485원","121,485원","121,485원","121,485원","121,485원","116,112원","116,112원","116,112원","129,276원","129,276원","129,276원","129,276원","133,038원","133,038원",1:1.45,1:1.45,1:1.45,,,10.0,10.0,10.0,10.0,17.8,17.8,17.8,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,21.8,21.8,21.8,partial,partial,data_missing,data_missing,False,False,저장된 후보 기준
OK,OK,한국주식,403870,HPSP,DART,2026-05-14 20:37:30 KST,2025,-1.72%,-1.72,악화/둔화,+51.98%,19.94,최근 3년 중 흑자 있음,,,,,,,50.0,밸류 데이터 없음,0.0,"DART 2023~2025년 재무 반영. 매출 CAGR -1.72%, 영업이익 확인 필요.",,,403870,403870,HPSP,HPSP,HPSP,한국주식,"48,400원","48,400원","48,400원","48,114원","48,114원","48,404원","48,404원","48,404원","48,404원","48,404원","45,444원","45,444원","45,444원","52,695원","52,695원","52,695원","52,695원","54,766원","54,766원",1:1.45,1:1.45,1:1.45,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,24.8,24.8,24.8,partial,partial,data_missing,data_missing,False,False,저장된 후보 기준
OK,OK,한국주식,058470,리노공업,DART,2026-05-14 20:37:32 KST,2025,+20.73%,20.73,개선,+47.51%,8.3,최근 3년 중 흑자 있음,,,,,,,95.0,밸류 데이터 없음,0.0,"DART 2023~2025년 재무 반영. 매출 CAGR +20.73%, 영업이익 개선.",,,058470,058470,리노공업,리노공업,리노공업,한국주식,"95,984원","95,984원","95,984원","96,128원","96,128원","96,707원","96,707원","96,707원","96,707원","96,707원","90,501원","90,501원","90,501원","110,672원","110,672원","110,672원","110,672원","113,888원","113,888원",1:4.13,1:4.13,1:4.13,,,10.0,10.0,10.0,10.0,19.0,19.0,19.0,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,0.4,0.4,0.4,partial,partial,data_missing,data_missing,success,success,저장된 후보 기준
OK,OK,한국주식,095340,ISC,DART,2026-05-14 20:37:33 KST,2025,+25.31%,25.31,개선,+27.27%,15.85,최근 3년 중 흑자 있음,,,,,,,95.0,밸류 데이터 없음,0.0,"DART 2023~2025년 재무 반영. 매출 CAGR +25.31%, 영업이익 개선.",,,095340,095340,ISC,ISC,ISC,한국주식,"193,425원","193,425원","193,425원","193,500원","193,500원","194,666원","194,666원","194,666원","194,666원","194,666원","179,948원","179,948원","179,948원","208,040원","208,040원","208,040원","208,040원","230,466원","230,466원",1:2.22,1:2.22,1:2.22,,,5.0,5.0,5.0,5.0,19.0,19.0,19.0,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,0.4,0.4,0.4,partial,partial,data_missing,data_missing,success,success,저장된 후보 기준
OK,OK,한국주식,067310,하나마이크론,DART,2026-05-14 20:37:34 KST,2025,,,개선,,309.16,최근 3년 중 흑자 있음,,,,,,,35.0,밸류 데이터 없음,20.0,"DART 2023~2025년 재무 반영. 매출 CAGR N/A, 영업이익 개선.",부채비율 200% 초과,,067310,067310,하나마이크론,하나마이크론,하나마이크론,한국주식,"47,200원","47,200원","47,200원","44,537원","44,537원","44,806원","44,806원","44,806원","44,806원","44,806원","41,751원","41,751원","41,751원","49,235원","49,235원","49,235원","49,235원","51,373원","51,373원",1:1.45,1:1.45,1:1.45,,,10.0,10.0,10.0,10.0,7.0,7.0,7.0,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,15.2,15.2,15.2,partial,partial,data_missing,data_missing,False,False,저장된 후보 기준
OK,OK,한국주식,036930,주성엔지니어링,DART,2026-05-14 20:37:36 KST,2025,+4.46%,4.46,개선,+10.06%,150.37,최근 3년 중 흑자 있음,,,,,,,79.0,밸류 데이터 없음,0.0,"DART 2023~2025년 재무 반영. 매출 CAGR +4.46%, 영업이익 개선.",,,036930,036930,주성엔지니어링,주성엔지니어링,주성엔지니어링,한국주식,"178,500원","178,500원","178,500원","167,606원","167,606원","168,617원","168,617원","168,617원","168,617원","168,617원","141,638원","141,638원","141,638원","211,626원","211,626원","211,626원","211,626원","226,621원","226,621원",1:1.59,1:1.59,1:1.59,,,10.0,10.0,10.0,10.0,15.8,15.8,15.8,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,19.5,19.5,19.5,partial,partial,data_missing,data_missing,False,False,저장된 후보 기준
OK,OK,한국주식,000990,DB하이텍,DART,2026-05-14 20:37:37 KST,2025,+10.02%,10.02,개선,+19.85%,133.36,최근 3년 중 흑자 있음,,,,,,,89.0,밸류 데이터 없음,0.0,"DART 2023~2025년 재무 반영. 매출 CAGR +10.02%, 영업이익 개선.",,,000990,000990,DB하이텍,DB하이텍,DB하이텍,한국주식,"162,000원","162,000원","162,000원","161,009원","161,009원","161,980원","161,980원","161,980원","161,980원","161,980원","152,969원","152,969원","152,969원","197,445원","197,445원","197,445원","197,445원","203,682원","203,682원",1:3.94,1:3.94,1:3.94,,,10.0,10.0,10.0,10.0,17.8,17.8,17.8,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,25.0,25.0,25.0,partial,partial,data_missing,data_missing,success,success,저장된 후보 기준
