rank,runner_status,status,market,source_group,symbol,name,current_price,current_price_raw,total_score,supply_score,earnings_score,valuation_score,chart_score,risk_penalty,data_coverage_score,data_missing_penalty,score_cap_reason,grade,final_judgment,최종 판단,buy_zone,매수 가능 구간,stop_loss,손절가,target1,1차 목표가,risk_reward,손익비,reason,risk_reason,buy_reason,invalidation_condition,핵심 리스크,generated_at,change_pct,turnover,turnover_growth_pct,avg20_turnover_growth_pct,ma20_gap_pct,surge_day_low,warning_flags,state,理쒖쥌 ?먮떒,sales_growth,operating_profit_improving,operating_margin_change,debt_ratio,operating_cash_flow,PER,PBR,PSR,industry_discount,drawdown_52w,institution_foreign_flow,current_position,ma20,ma60,ma120,support,resistance,suggested_action,ticker,code,종목코드,stock_name,종목명,종목,시장,현재가,last_price,관찰 기준가,active_scenario_pullback_price,조건부 진입가,매수가,entry,entry_price,buy_price,stop,목표가,tp1,target_price,2차 목표가,tp2,rr,기대수익률,expected_return,수급점수,수급 점수,flow_score,실적점수,실적 점수,밸류에이션점수,밸류에이션 점수,벨류에이션점수,차트점수,차트 점수,실적상태,earnings_data_status,밸류상태,valuation_data_status,수급상태,flow_data_status,price_data_status
186,EXCLUDED_RISK,EXCLUDED_RISK,한국주식,수급 급증,032640,LG유플러스,"15,260원",15260.0,17.0,5.0,11.4,밸류 데이터 없음,25.0,35.0,100.0,8.0,,?쒖쇅,손절 우선,손절 우선,"15,133원","15,133원","14,787원","14,787원","15,790원","15,790원",1:1.90,1:1.90,LG유플러스: 손익비·차트 위치는 참고 가능하나 거래량 확인 필요; 유사 조건 n=0로 기대값은 참고 수준,거래대금 부족,제외. 급등 추격보다 눌림 또는 돌파 후 재확인 우선.,"손절가 14,787원 이탈 또는 급등일 저점 이탈 시 무효",거래대금 부족,2026-05-21 08:52:07 KST,+0.00%,"15,899,654,946",,0%,,,거래대금 부족,제외,손절 우선,,,,,,,,,,,,,,,,,,,,032640,032640,LG유플러스,LG유플러스,LG유플러스,한국주식,확인 필요,확인 필요,"15,042원","15,042원","15,133원","15,133원","15,133원","15,133원","15,133원",확인 필요,확인 필요,확인 필요,확인 필요,"16,058원","16,058원",1:1.90,,,5.0,5.0,5.0,11.4,11.4,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,25.0,25.0,partial,partial,data_missing,data_missing,success,success,저장된 후보 기준
187,EXCLUDED_RISK,EXCLUDED_RISK,한국주식,수급 급증,095340,ISC,"194,400원",194400.0,17.0,5.0,19.0,밸류 데이터 없음,25.0,35.0,100.0,8.0,,?쒖쇅,손절 우선,손절 우선,"194,666원","194,666원","182,973원","182,973원","223,901원","223,901원",1:2.50,1:2.50,ISC: 손익비·차트 위치는 참고 가능하나 거래량 확인 필요; 유사 조건 n=3로 기대값은 참고 수준,거래대금 부족,제외. 급등 추격보다 눌림 또는 돌파 후 재확인 우선.,"손절가 182,973원 이탈 또는 급등일 저점 이탈 시 무효",거래대금 부족,2026-05-21 08:52:07 KST,+0.00%,"44,276,835,600",,0%,,,거래대금 부족,제외,손절 우선,,,,,,,,,,,,,,,,,,,,095340,095340,ISC,ISC,ISC,한국주식,"193,425원","193,425원","193,500원","193,500원","194,666원","194,666원","194,666원","194,666원","194,666원","179,948원","208,040원","208,040원","208,040원","230,466원","230,466원",1:2.22,,,5.0,5.0,5.0,19.0,19.0,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,0.4,0.4,partial,partial,data_missing,data_missing,success,success,저장된 후보 기준
189,EXCLUDED_RISK,EXCLUDED_RISK,한국주식,수급 급증,277810,레인보우로보틱스,"638,000원",638000.0,16.5,10.0,12.8,밸류 데이터 없음,19.8,35.0,100.0,8.0,,?쒖쇅,손절 우선,손절 우선,"634,309원","634,309원","590,837원","590,837원","697,343원","697,343원",1:1.45,1:1.45,레인보우로보틱스: 손익비·차트 위치는 참고 가능하나 거래량 확인 필요; 유사 조건 n=3로 기대값은 참고 수준,거래대금 부족,제외. 급등 추격보다 눌림 또는 돌파 후 재확인 우선.,"손절가 590,837원 이탈 또는 급등일 저점 이탈 시 무효",거래대금 부족,2026-05-21 08:52:07 KST,+0.00%,"167,187,581,000",,0%,,,거래대금 부족,제외,손절 우선,,,,,,,,,,,,,,,,,,,,277810,277810,레인보우로보틱스,레인보우로보틱스,레인보우로보틱스,한국주식,"633,242원","633,242원","630,508원","630,508원","634,309원","634,309원","634,309원","634,309원","634,309원","586,915원","703,527원","703,527원","703,527원","727,773원","727,773원",1:1.63,,,10.0,10.0,10.0,12.8,12.8,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,0.0,0.0,partial,partial,data_missing,data_missing,False,False,저장된 후보 기준
190,EXCLUDED_RISK,EXCLUDED_RISK,한국주식,수급 급증,000660,SK하이닉스,"1,745,000원",1745000.0,16.5,10.0,19.0,밸류 데이터 없음,19.8,35.0,100.0,8.0,,?쒖쇅,손절 우선,손절 우선,"1,664,686원","1,664,686원","1,522,221원","1,522,221원","1,978,102원","1,978,102원",1:2.20,1:2.20,SK하이닉스: 손익비·차트 위치는 참고 가능하나 거래량 확인 필요; 유사 조건 n=1로 기대값은 참고 수준,거래대금 부족,제외. 급등 추격보다 눌림 또는 돌파 후 재확인 우선.,"손절가 1,522,221원 이탈 또는 급등일 저점 이탈 시 무효",거래대금 부족,2026-05-21 08:52:07 KST,+0.00%,"8,869,985,070,000",,0%,,,거래대금 부족,제외,손절 우선,,,,,,,,,,,,,,,,,,,,000660,000660,SK하이닉스,SK하이닉스,SK하이닉스,한국주식,"1,729,215원","1,729,215원","1,654,711원","1,654,711원","1,664,686원","1,664,686원","1,664,686원","1,664,686원","1,664,686원","1,499,933원","1,968,768원","1,968,768원","1,968,768원","2,027,018원","2,027,018원",1:2.55,,,10.0,10.0,10.0,19.0,19.0,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,0.4,0.4,partial,partial,data_missing,data_missing,success,success,저장된 후보 기준
194,EXCLUDED_RISK,EXCLUDED_RISK,한국주식,수급 급증,003490,대한항공,"24,800원",24800.0,16.0,5.0,4.0,밸류 데이터 없음,24.5,35.0,100.0,8.0,,?쒖쇅,손절 우선,손절 우선,"24,802원","24,802원","23,732원","23,732원","26,353원","26,353원",1:1.45,1:1.45,대한항공: 손익비·차트 위치는 참고 가능하나 거래량 확인 필요; 유사 조건 n=2로 기대값은 참고 수준,거래대금 부족,제외. 급등 추격보다 눌림 또는 돌파 후 재확인 우선.,"손절가 23,732원 이탈 또는 급등일 저점 이탈 시 무효",거래대금 부족,2026-05-21 08:52:07 KST,+0.00%,"46,971,955,160",,0%,,,거래대금 부족,제외,손절 우선,,,,,,,,,,,,,,,,,,,,003490,003490,대한항공,대한항공,대한항공,한국주식,"24,800원","24,800원","24,653원","24,653원","24,802원","24,802원","24,802원","24,802원","24,802원","23,732원","26,353원","26,353원","26,353원","27,102원","27,102원",1:1.45,,,5.0,5.0,5.0,4.0,4.0,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,24.5,24.5,partial,partial,data_missing,data_missing,False,False,저장된 후보 기준
198,EXCLUDED_RISK,EXCLUDED_RISK,한국주식,수급 급증,032830,삼성생명,"312,000원",312000.0,14.0,10.0,14.0,밸류 데이터 없음,18.5,35.0,100.0,8.0,,?쒖쇅,손절 우선,손절 우선,"297,797원","297,797원","276,428원","276,428원","337,041원","337,041원",1:1.84,1:1.84,삼성생명: 손익비·차트 위치는 참고 가능하나 거래량 확인 필요; 유사 조건 n=0로 기대값은 참고 수준,거래대금 부족,제외. 급등 추격보다 눌림 또는 돌파 후 재확인 우선.,"손절가 276,428원 이탈 또는 급등일 저점 이탈 시 무효",거래대금 부족,2026-05-21 08:52:07 KST,+0.00%,"154,525,878,000",,0%,,,거래대금 부족,제외,손절 우선,,,,,,,,,,,,,,,,,,,,032830,032830,삼성생명,삼성생명,삼성생명,한국주식,확인 필요,확인 필요,"296,013원","296,013원","297,797원","297,797원","297,797원","297,797원","297,797원",확인 필요,확인 필요,확인 필요,확인 필요,"346,098원","346,098원",1:1.84,,,10.0,10.0,10.0,14.0,14.0,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,18.5,18.5,partial,partial,data_missing,data_missing,False,False,저장된 후보 기준
212,EXCLUDED_RISK,EXCLUDED_RISK,한국주식,수급 급증,006400,삼성SDI,"570,000원",570000.0,10.5,10.0,7.0,밸류 데이터 없음,16.8,35.0,100.0,8.0,,?쒖쇅,손절 우선,손절 우선,"550,025원","550,025원","529,895원","529,895원","644,623원","644,623원",1:4.70,1:4.70,삼성SDI: 손익비·차트 위치는 참고 가능하나 거래량 확인 필요; 유사 조건 n=3로 기대값은 참고 수준,거래대금 부족,제외. 급등 추격보다 눌림 또는 돌파 후 재확인 우선.,"손절가 529,895원 이탈 또는 급등일 저점 이탈 시 무효",거래대금 부족,2026-05-21 08:52:07 KST,+0.00%,"487,304,571,000",,0%,,,거래대금 부족,제외,손절 우선,,,,,,,,,,,,,,,,,,,,006400,006400,삼성SDI,삼성SDI,삼성SDI,한국주식,"570,000원","570,000원","546,729원","546,729원","550,025원","550,025원","550,025원","550,025원","550,025원","529,895원","644,623원","644,623원","644,623원","657,379원","657,379원",1:4.70,,,10.0,10.0,10.0,7.0,7.0,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,16.8,16.8,partial,partial,data_missing,data_missing,False,False,저장된 후보 기준
215,EXCLUDED_RISK,EXCLUDED_RISK,한국주식,수급 급증,278470,에이피알,"390,000원",390000.0,9.0,10.0,19.0,밸류 데이터 없음,16.0,35.0,100.0,8.0,,?쒖쇅,손절 우선,손절 우선,"376,150원","376,150원","360,179원","360,179원","457,456원","457,456원",1:5.09,1:5.09,에이피알: 손익비·차트 위치는 참고 가능하나 거래량 확인 필요; 유사 조건 n=0로 기대값은 참고 수준,거래대금 부족,제외. 급등 추격보다 눌림 또는 돌파 후 재확인 우선.,"손절가 360,179원 이탈 또는 급등일 저점 이탈 시 무효",거래대금 부족,2026-05-21 08:52:07 KST,+0.00%,"118,925,995,500",,0%,,,거래대금 부족,제외,손절 우선,,,,,,,,,,,,,,,,,,,,278470,278470,에이피알,에이피알,에이피알,한국주식,확인 필요,확인 필요,"373,896원","373,896원","376,150원","376,150원","376,150원","376,150원","376,150원",확인 필요,확인 필요,확인 필요,확인 필요,"480,146원","480,146원",1:5.09,,,10.0,10.0,10.0,19.0,19.0,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,16.0,16.0,partial,partial,data_missing,data_missing,False,False,저장된 후보 기준
224,EXCLUDED_RISK,EXCLUDED_RISK,한국주식,수급 급증,005930,삼성전자,"276,000원",276000.0,5.5,10.0,19.0,밸류 데이터 없음,14.2,35.0,100.0,8.0,,?쒖쇅,손절 우선,손절 우선,"264,748원","264,748원","238,371원","238,371원","302,995원","302,995원",1:1.45,1:1.45,삼성전자: 손익비·차트 위치는 참고 가능하나 거래량 확인 필요; 유사 조건 n=2로 기대값은 참고 수준,거래대금 부족,제외. 급등 추격보다 눌림 또는 돌파 후 재확인 우선.,"손절가 238,371원 이탈 또는 급등일 저점 이탈 시 무효",거래대금 부족,2026-05-21 08:52:07 KST,+0.00%,"8,256,168,600,600",,0%,,,거래대금 부족,제외,손절 우선,,,,,,,,,,,,,,,,,,,,005930,005930,삼성전자,삼성전자,삼성전자,한국주식,"274,457원","274,457원","263,162원","263,162원","264,748원","264,748원","264,748원","264,748원","264,748원","245,034원","295,278원","295,278원","295,278원","321,459원","321,459원",1:2.34,,,10.0,10.0,10.0,19.0,19.0,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,3.0,3.0,partial,partial,data_missing,data_missing,kr_flow_response_empty,kr_flow_response_empty,저장된 후보 기준
225,EXCLUDED_RISK,EXCLUDED_RISK,한국주식,수급 급증,402340,SK스퀘어,"1,029,000원",1029000.0,5.5,10.0,11.8,밸류 데이터 없음,14.2,35.0,100.0,8.0,,?쒖쇅,손절 우선,손절 우선,"990,712원","990,712원","940,974원","940,974원","1,062,833원","1,062,833원",1:1.45,1:1.45,SK스퀘어: 손익비·차트 위치는 참고 가능하나 거래량 확인 필요; 유사 조건 n=4로 기대값은 참고 수준,거래대금 부족,제외. 급등 추격보다 눌림 또는 돌파 후 재확인 우선.,"손절가 940,974원 이탈 또는 급등일 저점 이탈 시 무효",거래대금 부족,2026-05-21 08:52:07 KST,+0.00%,"897,113,378,700",,0%,,,거래대금 부족,제외,손절 우선,,,,,,,,,,,,,,,,,,,,402340,402340,SK스퀘어,SK스퀘어,SK스퀘어,한국주식,"1,027,808원","1,027,808원","984,776원","984,776원","990,712원","990,712원","990,712원","990,712원","990,712원","932,211원","1,210,619원","1,210,619원","1,210,619원","1,097,650원","1,097,650원",1:4.41,,,10.0,10.0,10.0,11.8,11.8,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,2.0,2.0,partial,partial,data_missing,data_missing,False,False,저장된 후보 기준
