시장,종목코드,종목명,내러티브,다음행동
한국주식,131970,두산테스나,"두산테스나은 현재 정상 상태입니다. 수급 데이터는 아직 부족합니다. 코스피, 기관 매수 힘입어 1%대 상승···'중동 변수' 상승폭은 축소    서울파이낸스 가치 50.0, 성장 50.1, 안정성 55.0 기준으로 종합 51.5점입니다.",무리한 추격 금지
한국주식,222800,심텍,"심텍은 현재 정상 상태입니다. 수급 데이터는 아직 부족합니다. 코스피, 기관 매수 힘입어 1%대 상승···'중동 변수' 상승폭은 축소    서울파이낸스 가치 38.0, 성장 44.6, 안정성 37.0 기준으로 종합 39.7점입니다.",무리한 추격 금지
한국주식,003550,LG,"LG은 현재 정상 상태입니다. 수급점수 70.3, 기준 거래대금·거래량 보강입니다. 코스피, 기관 매수 힘입어 1%대 상승···'중동 변수' 상승폭은 축소    서울파이낸스 가치 50.0, 성장 50.0, 안정성 73.0 기준으로 종합 56.9점입니다.",무리한 추격 금지
한국주식,000100,유한양행,"유한양행은 현재 정상 상태입니다. 수급점수 70.3, 기준 거래대금·거래량 보강입니다. 코스피, 기관 매수 힘입어 1%대 상승···'중동 변수' 상승폭은 축소    서울파이낸스 가치 50.0, 성장 56.6, 안정성 73.0 기준으로 종합 58.9점입니다.",무리한 추격 금지
한국주식,010120,엘에스일렉트릭,"엘에스일렉트릭은 현재 정상 상태입니다. 수급점수 68.6, 기준 거래대금·거래량 보강입니다. 코스피, 기관 매수 힘입어 1%대 상승···'중동 변수' 상승폭은 축소    서울파이낸스 가치 58.0, 성장 57.2, 안정성 63.0 기준으로 종합 59.3점입니다.",무리한 추격 금지
한국주식,000270,기아,"기아은 현재 정상 상태입니다. 수급점수 68.6, 기준 거래대금·거래량 보강입니다. 코스피, 기관 매수 힘입어 1%대 상승···'중동 변수' 상승폭은 축소    서울파이낸스 가치 58.0, 성장 57.3, 안정성 73.0 기준으로 종합 62.3점입니다.",무리한 추격 금지
한국주식,259960,크래프톤,"크래프톤은 현재 정상 상태입니다. 수급점수 66.9, 기준 거래대금·거래량 보강입니다. 코스피, 기관 매수 힘입어 1%대 상승···'중동 변수' 상승폭은 축소    서울파이낸스 가치 58.0, 성장 76.0, 안정성 73.0 기준으로 종합 67.9점입니다.",관심 유지 · 눌림 확인
한국주식,000660,SK하이닉스,"SK하이닉스은 현재 정상 상태입니다. 수급점수 66.9, 기준 거래대금·거래량 보강입니다. 코스피, 기관 매수 힘입어 1%대 상승···'중동 변수' 상승폭은 축소    서울파이낸스 가치 66.0, 성장 80.0, 안정성 73.0 기준으로 종합 72.3점입니다.",관심 유지 · 눌림 확인
한국주식,003490,대한항공,"대한항공은 현재 정상 상태입니다. 수급점수 65.2, 기준 거래대금·거래량 보강입니다. 코스피, 기관 매수 힘입어 1%대 상승···'중동 변수' 상승폭은 축소    서울파이낸스 가치 50.0, 성장 50.0, 안정성 37.0 기준으로 종합 46.1점입니다.",무리한 추격 금지
한국주식,000720,현대건설,"현대건설은 현재 정상 상태입니다. 수급점수 65.2, 기준 거래대금·거래량 보강입니다. 코스피, 기관 매수 힘입어 1%대 상승···'중동 변수' 상승폭은 축소    서울파이낸스 가치 50.0, 성장 52.0, 안정성 37.0 기준으로 종합 46.7점입니다.",무리한 추격 금지
한국주식,028670,팬오션,"팬오션은 현재 정상 상태입니다. 수급점수 63.5, 기준 거래대금·거래량 보강입니다. 코스피, 기관 매수 힘입어 1%대 상승···'중동 변수' 상승폭은 축소    서울파이낸스 가치 50.0, 성장 57.3, 안정성 55.0 기준으로 종합 53.7점입니다.",무리한 추격 금지
한국주식,000810,삼성화재해상보험,"삼성화재해상보험은 현재 정상 상태입니다. 수급점수 63.5, 기준 거래대금·거래량 보강입니다. 코스피, 기관 매수 힘입어 1%대 상승···'중동 변수' 상승폭은 축소    서울파이낸스 가치 50.0, 성장 80.0, 안정성 37.0 기준으로 종합 55.1점입니다.",무리한 추격 금지
