시장,종목코드,종목명,현재가,기준가,손절가,목표가,호가,수급점수,다음행동
<<<<<<< HEAD
미국주식,SNDK,SanDisk,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,85.1,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
미국주식,NBIS,Nebius,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,68.8,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
미국주식,CRCL,Circle,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,54.9,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
미국주식,BMNR,BMNR,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,62.5,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
=======
>>>>>>> 406077dbd4079231d812b3e19dce6fc7291c4dce
미국주식,NVDA,NVIDIA,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,81.1,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
미국주식,GOOGL,Alphabet,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,77.7,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
미국주식,MSFT,Microsoft,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,74.2,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
미국주식,AAPL,Apple,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,66.4,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
미국주식,AMZN,Amazon,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,68.2,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
