시장,항목,행수,상태,설명
전체,v91 통합 업데이트,-,정상,v86~v91 로드맵 통합: 안정성·결과추적·신뢰도·내러티브·대시보드·백업
전체,결과 추적 엔진,9,준비,outcome_history.csv 생성 및 신규 예측 대기 행 추가
전체,백업/복구,-,정상,history/리포트 보호 및 마지막 정상 리포트 메타 생성
국장,홈 5개 카드,5,정상,첫 화면 고정
국장,선택종목 fallback,4,정상,장중이 아니어도 후보/직전장 값 사용
국장,신뢰도 점수,4,정상,수급·재무·가격·데이터 충분도 기반
국장,운영 대시보드,6,정상,오늘 TOP/주의/업데이트 상태 요약
미장,홈 5개 카드,5,정상,첫 화면 고정
미장,선택종목 fallback,5,정상,장중이 아니어도 후보/직전장 값 사용
미장,신뢰도 점수,5,정상,수급·재무·가격·데이터 충분도 기반
미장,운영 대시보드,6,정상,오늘 TOP/주의/업데이트 상태 요약
